Country	averageannualgrowth9000	averageannualgrowth0019	ID	id_row
Albania	1.6	3.9	Q222	0
Antigua and Barbuda	4.3	2.6	Q781	1
Argentina	3.6	2.1	Q414	2
Australia	2.7	2.5	Q408	3
Austria	2.5	1.2	Q40	4
Azerbaijan	-2.1	9.4	Q227	5
Bahamas, The	0.1	5.8	Q778	6
Bangladesh	7.3	8.6	Q902	7
Belarus	-1.9	6.0	Q184	8
Belgium	3.3	0.9	Q31	9
Belize	2.8	1.5	Q242	10
Benin	3.9	2.5	Q962	11
Bhutan	6.6	8.4	Q917	12
Bolivia	4.1	5.0	Q750	13
Botswana	2.6	0.6	Q963	14
Brazil	2.1	1.6	Q155	15
Brunei Darussalam	2.0	-1.3	Q921	16
Bulgaria	-0.5	2.8	Q219	17
Burkina Faso	5.5	7.1	Q965	18
Burundi	-5.2	1.4	Q967	19
Cabo Verde	9.0	4.2	Q1011	20
Cambodia	14.5	9.9	Q424	21
Cameroon	-2.0	4.1	Q1009	22
Chile	6.2	1.8	Q298	23
China	13.7	9.9	Q148	24
Colombia	1.1	3.7	Q739	25
Comoros	1.6	2.8	Q970	26
Congo, Dem. Rep.	-8.3	8.5	Q974	27
Congo, Rep.	4.5	2.6	Q971	28
Costa Rica	4.3	1.9	Q800	29
Croatia	3.6	0.0	Q224	30
Cuba	-1.4	2.9	Q241	31
Cyprus	0.8	-1.1	Q229	32
Czech Republic	1.8	3.2	Q213	33
Denmark	2.6	0.0	Q35	34
Dominica	3.9	1.2	Q784	35
Dominican Republic	7.9	4.4	Q786	36
Ecuador	1.5	3.7	Q736	37
Egypt, Arab Rep.	4.5	3.6	Q79	38
El Salvador	4.3	1.9	Q792	39
Estonia	6.2	3.5	Q191	40
Eswatini	3.1	2.9	Q1050	41
Ethiopia	4.2	13.9	Q115	42
Fiji	4.0	2.8	Q712	43
Finland	3.5	0.5	Q33	44
France	1.2	0.1	Q142	45
Gabon	1.6	0.0	Q1000	46
Germany	-0.2	1.4	Q183	47
Greece	4.3	-2.8	Q41	48
Grenada	6.4	0.3	Q769	49
Guatemala	3.8	2.6	Q774	50
Guinea	4.7	3.0	Q1006	51
Guyana	6.2	4.1	Q734	52
Haiti	-3.9	3.4	Q790	53
Honduras	3.8	2.9	Q783	54
Hungary	6.7	1.4	Q28	55
Iceland	5.2	2.0	Q189	56
India	6.0	6.9	Q668	57
Indonesia	5.3	4.4	Q252	58
Iran, Islamic Rep.	1.5	1.8	Q794	59
Iraq	16.1	5.1	Q796	60
Ireland	12.5	4.4	Q27	61
Israel	4.3	2.4	Q801	62
Italy	0.9	-1.0	Q38	63
Jamaica	-0.8	-0.8	Q766	64
Japan	0.4	0.5	Q17	65
Jordan	4.4	4.7	Q810	66
Kazakhstan	-8.6	5.4	Q232	67
Kenya	1.2	5.2	Q114	68
Kiribati	6.9	4.7	Q710	69
Korea, Rep.	6.3	3.9	Q884	70
Kyrgyz Republic	-10.3	4.3	Q813	71
Latvia	5.5	1.1	Q211	72
Lebanon	4.9	3.5	Q822	73
Lesotho	8.0	1.9	Q1013	74
Lithuania	4.8	3.9	Q37	75
Luxembourg	4.0	0.3	Q32	76
Madagascar	0.5	4.9	Q1019	77
Malawi	2.0	5.9	Q1020	78
Malaysia	7.8	2.9	Q833	79
Maldives	12.5	7.5	Q826	80
Mali	7.0	2.4	Q912	81
Mauritania	1.1	1.4	Q1025	82
Mauritius	5.3	1.7	Q1027	83
Mexico	3.1	0.9	Q96	84
Micronesia, Fed. Sts.	-0.8	-1.5	Q702	85
Moldova	-7.1	2.1	Q217	86
Mongolia	1.5	6.8	Q711	87
Morocco	2.8	3.3	Q1028	88
Mozambique	11.0	7.8	Q1029	89
Namibia	1.9	3.7	Q1030	90
Nepal	7.1	3.1	Q837	91
Netherlands	1.9	0.6	Q55	92
New Zealand	2.7	1.4	Q664	93
Nicaragua	2.4	4.0	Q811	94
Niger	0.5	5.5	Q1032	95
Nigeria	-0.6	1.8	Q1033	96
North Macedonia	-1.6	4.3	Q221	97
Norway	3.9	-0.2	Q20	98
Pakistan	4.1	4.4	Q843	99
Panama	6.1	9.7	Q804	100
Paraguay	2.6	3.2	Q733	101
