Country	averageannualgrowth9000	averageannualgrowth0019	ID	id_row
Albania	3.8	3.3	Q222	0
Antigua and Barbuda	0.8	1.2	Q781	1
Argentina	3.1	1.7	Q414	2
Australia	3.5	1.5	Q408	3
Austria	1.3	1.2	Q40	4
Azerbaijan	-1.7	4.0	Q227	5
Bahamas, The	-0.6	-2.6	Q778	6
Bangladesh	2.6	4.1	Q902	7
Belarus	-4.0	3.6	Q184	8
Belgium	2.6	-0.3	Q31	9
Belize	5.7	0.2	Q242	10
Benin	5.5	4.6	Q962	11
Bhutan	1.7	2.2	Q917	12
Bolivia	2.9	3.4	Q750	13
Botswana	0.3	2.4	Q963	14
Brazil	3.5	3.3	Q155	15
Brunei Darussalam	4.2	1.1	Q921	16
Bulgaria	-0.7	-1.6	Q219	17
Burkina Faso	5.8	3.2	Q965	18
Burundi	-1.9	-0.5	Q967	19
Cabo Verde	11.5	2.3	Q1011	20
Cambodia	3.8	3.8	Q424	21
Cameroon	4.7	3.7	Q1009	22
Chile	5.0	3.5	Q298	23
China	4.0	4.1	Q148	24
Colombia	1.4	2.6	Q739	25
Comoros	1.6	2.1	Q970	26
Congo, Dem. Rep.	1.4	2.9	Q974	27
Congo, Rep.	-0.6	5.1	Q971	28
Costa Rica	5.2	2.1	Q800	29
Croatia	1.1	-1.8	Q224	30
Cuba	-2.9	0.8	Q241	31
Cyprus	3.4	-2.7	Q229	32
Czech Republic	-1.5	0.4	Q213	33
Denmark	4.9	-0.5	Q35	34
Dominica	-1.8	-0.3	Q784	35
Dominican Republic	2.7	4.6	Q786	36
Ecuador	3.6	3.7	Q736	37
Egypt, Arab Rep.	3.1	3.2	Q79	38
El Salvador	-2.4	-0.1	Q792	39
Estonia	11.1	2.2	Q191	40
Eswatini	0.9	1.7	Q1050	41
Ethiopia	2.6	6.7	Q115	42
Fiji	0.5	0.2	Q712	43
Finland	-0.3	1.8	Q33	44
France	2.2	0.7	Q142	45
Gabon	2.0	3.0	Q1000	46
Gambia, The	2.8	-0.3	Q1005	47
Germany	-3.6	0.3	Q183	48
Greece	0.6	-0.2	Q41	49
Grenada	-1.4	3.0	Q769	50
Guatemala	2.8	3.0	Q774	51
Guinea	4.5	4.7	Q1006	52
Guyana	7.1	-0.3	Q734	53
Haiti	-1.2	0.0	Q790	54
Honduras	1.2	3.9	Q783	55
Hungary	-0.1	1.4	Q28	56
Iceland	-1.5	0.0	Q189	57
India	3.2	3.3	Q668	58
Indonesia	2.1	3.8	Q252	59
Iran, Islamic Rep.	3.2	3.1	Q794	60
Iraq	4.7	-4.8	Q796	61
Ireland	-2.0	1.7	Q27	62
Israel	3.7	1.5	Q801	63
Italy	2.1	0.1	Q38	64
Jamaica	-0.5	1.6	Q766	65
Japan	1.0	-1.7	Q17	66
Jordan	-3.9	5.3	Q810	67
Kazakhstan	-8.0	3.2	Q232	68
Kenya	1.9	3.1	Q114	69
Kiribati	-3.1	1.8	Q710	70
Korea, Rep.	1.9	1.4	Q884	71
Kyrgyz Republic	1.5	1.9	Q813	72
Latvia	-0.1	2.0	Q211	73
Lebanon	6.4	2.3	Q822	74
Lesotho	2.1	0.1	Q1013	75
Lithuania	-2.3	1.2	Q37	76
Luxembourg	-1.0	-5.7	Q32	77
Madagascar	2.3	1.2	Q1019	78
Malawi	8.6	2.2	Q1020	79
Malaysia	0.3	2.6	Q833	80
Maldives	3.1	-0.1	Q826	81
Mali	3.0	5.0	Q912	82
Mauritania	0.4	1.7	Q1025	83
Mauritius	0.0	1.5	Q1027	84
Mexico	1.4	1.9	Q96	85
Micronesia, Fed. Sts.	-0.2	1.0	Q702	86
Moldova	-1.5	2.1	Q217	87
Mongolia	0.3	6.2	Q711	88
Morocco	0.4	4.6	Q1028	89
Mozambique	4.7	5.2	Q1029	90
Namibia	4.2	-0.8	Q1030	91
Nepal	2.5	3.1	Q837	92
Netherlands	1.6	1.4	Q55	93
New Zealand	2.9	1.2	Q664	94
Nicaragua	4.9	2.9	Q811	95
Niger	4.3	6.0	Q1032	96
Nigeria	3.4	6.4	Q1033	97
North Macedonia	0.2	0.7	Q221	98
Norway	2.6	2.9	Q20	99
Pakistan	4.4	2.5	Q843	100
Panama	3.5	0.4	Q804	101
Paraguay	3.8	5.8	Q733	102
Peru	5.5	3.4	Q419	103
Philippines	1.9	2.7	Q928	104
Poland	-8.1	0.2	Q36	105
Portugal	-1.7	0.4	Q45	106
Romania	-1.7	0.5	Q218	107
Russian Federation	-4.9	1.7	Q159	108
Rwanda	3.2	5.0	Q1037	109
Samoa	-1.7	-1.6	Q683	110
Saudi Arabia	1.6	2.4	Q851	111
Senegal	2.4	4.3	Q1041	112
Serbia	0.7	1.0	Q403	113
Seychelles	0.3	-0.1	Q1042	114
Sierra Leone	0.1	5.3	Q1044	115
Singapore	-2.9	0.6	Q334	116
Slovak Republic	-2.5	8.5	Q214	117
Slovenia	0.8	0.8	Q215	118
South Africa	1.0	2.0	Q258	119
Spain	6.1	1.1	Q29	120
Sri Lanka	1.6	3.5	Q854	121
St. Kitts and Nevis	-0.8	-0.3	Q763	122
St. Lucia	-5.4	-1.1	Q760	123
St. Vincent and the Grenadines	-3.2	1.1	Q757	124
Sudan	7.2	2.9	Q1049	125
Suriname	-1.9	3.7	Q730	126
Sweden	-1.4	1.8	Q34	127
Switzerland	-0.2	-0.1	Q39	128
Tajikistan	-6.8	7.3	Q863	129
Tanzania	3.2	4.3	Q924	130
Thailand	-2.6	1.5	Q869	131
Togo	4.0	1.7	Q945	132
Tonga	2.1	-0.4	Q678	133
Trinidad and Tobago	3.3	-1.9	Q754	134
Tunisia	2.6	2.7	Q948	135
Turkey	1.4	2.8	Q43	136
Tuvalu	0.4	1.7	Q672	137
Uganda	3.4	2.3	Q1036	138
Ukraine	-5.6	3.6	Q212	139
United Kingdom	0.0	0.7	Q145	140
Uruguay	3.8	1.7	Q77	141
Uzbekistan	0.5	5.8	Q265	142
Vanuatu	2.7	3.0	Q686	143
Venezuela, RB	1.2	1.9	Q717	144
Vietnam	4.3	3.1	Q881	145
West Bank and Gaza	0.7	-0.5	Q407199	146
Yemen, Rep.	5.1	-0.1	Q805	147
Zambia	3.6	-1.2	Q953	148
Zimbabwe	4.3	-2.8	Q954	149
