Country	Expenditure2010	Expenditure2018	ID	id_row
Afghanistan	23.0	34.0	Q889	0
Albania	27.0	24.0	Q222	1
Angola	36.0	45.0	Q916	2
Armenia	24.0	21.0	Q399	3
Australia	10.0	10.0	Q408	4
Austria	11.0	11.0	Q40	5
Azerbaijan	18.0	16.0	Q227	6
Bahamas, The	42.0	33.0	Q778	7
Bangladesh	21.0	25.0	Q902	8
Barbados	28.0	25.0	Q244	9
Belarus	12.0	14.0	Q184	10
Belgium	6.0	6.0	Q31	11
Belize	40.0	52.0	Q242	12
Bhutan	38.0	31.0	Q917	13
Bosnia and Herzegovina	28.0	26.0	Q225	14
Botswana	41.0	45.0	Q963	15
Brazil	14.0	12.0	Q155	16
Bulgaria	20.0	19.0	Q219	17
Burkina Faso	46.0	46.0	Q965	18
Cabo Verde	43.0	39.0	Q1011	19
Cambodia	36.0	47.0	Q424	20
Cameroon	36.0	40.0	Q1009	21
Canada	11.0	11.0	Q16	22
Central African Republic	25.0	49.0	Q929	23
Chile	21.0	22.0	Q298	24
Macao SAR, China	28.0	32.0	Q14773	25
Colombia	18.0	13.0	Q739	26
Congo, Rep.	25.0	25.0	Q971	27
Costa Rica	48.0	41.0	Q800	28
Cote d'Ivoire	44.0	31.0	Q1008	29
Croatia	16.0	16.0	Q224	30
Cyprus	35.0	28.0	Q229	31
Czech Republic	12.0	14.0	Q213	32
Denmark	11.0	11.0	Q35	33
Dominican Republic	37.0	39.0	Q786	34
Egypt, Arab Rep.	25.0	27.0	Q79	35
El Salvador	38.0	41.0	Q792	36
Equatorial Guinea	17.0	23.0	Q983	37
Estonia	18.0	18.0	Q191	38
Ethiopia	14.0	12.0	Q115	39
Fiji	39.0	30.0	Q712	40
Finland	9.0	8.0	Q33	41
France	18.0	18.0	Q142	42
Gabon	36.0	55.0	Q1000	43
Georgia	18.0	15.0	Q230	44
Germany	6.0	6.0	Q183	45
Ghana	36.0	36.0	Q117	46
Greece	22.0	22.0	Q41	47
Guatemala	30.0	34.0	Q774	48
Honduras	56.0	46.0	Q783	49
Hungary	12.0	20.0	Q28	50
Iceland	18.0	24.0	Q189	51
India	9.0	9.0	Q668	52
Indonesia	15.0	16.0	Q252	53
Ireland	16.0	27.0	Q27	54
Israel	23.0	23.0	Q801	55
Italy	14.0	14.0	Q38	56
Jamaica	38.0	37.0	Q766	57
Japan	6.0	6.0	Q17	58
Jordan	52.0	47.0	Q810	59
Kazakhstan	7.0	6.0	Q232	60
Kiribati	45.0	33.0	Q710	61
Korea, Rep.	10.0	10.0	Q884	62
Kuwait	27.0	33.0	Q817	63
Latvia	14.0	19.0	Q211	64
Lebanon	21.0	23.0	Q822	65
Lesotho	41.0	45.0	Q1013	66
Lithuania	14.0	16.0	Q37	67
Luxembourg	18.0	18.0	Q32	68
Madagascar	59.0	52.0	Q1019	69
Malawi	23.0	31.0	Q1020	70
Malaysia	31.0	35.0	Q833	71
Mali	34.0	41.0	Q912	72
Malta	31.0	31.0	Q233	73
Marshall Islands	45.0	38.0	Q709	74
Mauritius	35.0	35.0	Q1027	75
Mexico	12.0	11.0	Q96	76
Micronesia, Fed. Sts.	36.0	24.0	Q702	77
Moldova	14.0	13.0	Q217	78
Mongolia	29.0	17.0	Q711	79
Morocco	42.0	46.0	Q1028	80
Mozambique	43.0	54.0	Q1029	81
Myanmar	16.0	22.0	Q836	82
Namibia	46.0	49.0	Q1030	83
Nepal	28.0	23.0	Q837	84
Netherlands	7.0	8.0	Q55	85
New Zealand	24.0	24.0	Q664	86
Nicaragua	38.0	39.0	Q811	87
North Macedonia	17.0	15.0	Q221	88
Norway	16.0	16.0	Q20	89
Palau	36.0	38.0	Q695	90
Paraguay	55.0	53.0	Q733	91
Peru	18.0	20.0	Q419	92
Philippines	36.0	38.0	Q928	93
Poland	14.0	14.0	Q36	94
Portugal	25.0	22.0	Q45	95
Romania	18.0	23.0	Q218	96
Russian Federation	16.0	13.0	Q159	97
Samoa	40.0	47.0	Q683	98
San Marino	34.0	27.0	Q238	99
Saudi Arabia	60.0	54.0	Q851	100
Seychelles	26.0	34.0	Q1042	101
Singapore	30.0	25.0	Q334	102
Slovak Republic	14.0	14.0	Q214	103
Slovenia	19.0	19.0	Q215	104
Solomon Islands	35.0	37.0	Q685	105
South Africa	15.0	14.0	Q258	106
Spain	11.0	10.0	Q29	107
Sri Lanka	28.0	27.0	Q854	108
St. Kitts and Nevis	42.0	45.0	Q763	109
St. Lucia	47.0	40.0	Q760	110
St. Vincent and the Grenadines	47.0	50.0	Q757	111
Sudan	31.0	37.0	Q1049	112
Sweden	9.0	9.0	Q34	113
Switzerland	7.0	7.0	Q39	114
Tanzania	20.0	21.0	Q924	115
Thailand	40.0	27.0	Q869	116
Timor-Leste	15.0	21.0	Q574	117
Togo	34.0	38.0	Q945	118
Tonga	46.0	43.0	Q678	119
Trinidad and Tobago	24.0	31.0	Q754	120
Turkey	22.0	22.0	Q43	121
Ukraine	12.0	15.0	Q212	122
United Arab Emirates	30.0	36.0	Q878	123
United Kingdom	13.0	16.0	Q145	124
United States	10.0	10.0	Q30	125
Uruguay	23.0	25.0	Q77	126
Vanuatu	52.0	49.0	Q686	127
West Bank and Gaza	56.0	54.0	Q407199	128
Zambia	45.0	38.0	Q953	129
Zimbabwe	49.0	37.0	Q954	130
