Country	Numberofprocedures	Timerequired	Cost	ID	id_row
Afghanistan	4.0	8.5	0.0	Q889	0
Albania	5.0	4.5	0.0	Q222	1
Algeria	12.0	18.0	0.0	Q262	2
Angola	8.0	36.0	0.0	Q916	3
Antigua and Barbuda	9.0	19.0	0.0	Q781	4
Argentina	12.0	11.5	0.0	Q414	5
Armenia	3.0	4.0	0.0	Q399	6
Australia	3.0	2.0	0.0	Q408	7
Austria	8.0	21.0	11.5	Q40	8
Azerbaijan	3.0	3.5	0.0	Q227	9
Bahamas, The	7.0	11.5	0.0	Q778	10
Bahrain	6.0	8.3	2.9	Q398	11
Bangladesh	9.0	19.5	0.0	Q902	12
Barbados	7.0	16.0	0.0	Q244	13
Belarus	4.0	8.5	0.0	Q184	14
Belgium	5.0	5.0	0.0	Q31	15
Belize	9.0	48.0	0.0	Q242	16
Benin	6.0	8.5	5.0	Q962	17
Bhutan	8.0	12.0	0.0	Q917	18
Bolivia	12.0	39.5	0.0	Q750	19
Bosnia and Herzegovina	13.0	80.0	10.2	Q225	20
Botswana	9.0	48.0	0.0	Q963	21
Brazil	11.0	16.6	0.0	Q155	22
Brunei Darussalam	3.0	5.5	0.0	Q921	23
Bulgaria	7.0	23.0	0.0	Q219	24
Burkina Faso	3.0	13.0	6.3	Q965	25
Burundi	4.0	5.0	0.0	Q967	26
Cabo Verde	9.0	9.0	0.0	Q1011	27
Cambodia	9.0	99.0	70.2	Q424	28
Cameroon	6.0	13.5	12.0	Q1009	29
Canada	2.0	1.5	0.0	Q16	30
Central African Republic	10.0	22.0	35.2	Q929	31
Chad	8.0	58.0	25.3	Q657	32
Chile	6.0	4.0	0.0	Q298	33
China	4.0	8.5	0.0	Q148	34
Hong Kong SAR, China	2.0	1.5	0.0	Q8646	35
Colombia	7.0	10.0	0.0	Q739	36
Comoros	9.0	16.0	17.2	Q970	37
Congo, Dem. Rep.	4.0	7.0	4.6	Q974	38
Congo, Rep.	11.0	49.5	2.3	Q971	39
Costa Rica	10.0	23.0	0.0	Q800	40
Cote d'Ivoire	4.0	6.0	2.7	Q1008	41
Croatia	7.0	19.5	5.5	Q224	42
Cyprus	5.0	6.0	0.0	Q229	43
Czech Republic	9.0	24.5	0.0	Q213	44
Denmark	5.0	3.5	10.2	Q35	45
Djibouti	6.0	14.0	0.0	Q977	46
Dominica	5.0	12.0	0.0	Q784	47
Dominican Republic	7.0	16.5	0.1	Q786	48
Ecuador	11.0	48.5	0.0	Q736	49
Egypt, Arab Rep.	5.0	12.5	0.0	Q79	50
El Salvador	9.0	16.5	2.6	Q792	51
Equatorial Guinea	16.0	33.0	22.8	Q983	52
Eritrea	13.0	84.0	93.6	Q986	53
Estonia	3.0	3.5	13.1	Q191	54
Ethiopia	11.0	32.0	0.0	Q115	55
Fiji	11.0	40.0	0.0	Q712	56
Finland	3.0	13.0	5.9	Q33	57
France	5.0	4.0	0.0	Q142	58
Gabon	7.0	10.0	2.4	Q1000	59
Gambia, The	6.0	8.0	0.0	Q1005	60
Georgia	1.0	1.0	0.0	Q230	61
Germany	9.0	8.0	29.8	Q183	62
Ghana	8.0	13.0	1.0	Q117	63
Greece	3.0	4.0	0.0	Q41	64
Grenada	6.0	12.0	0.0	Q769	65
Guatemala	6.0	15.0	0.6	Q774	66
Guinea	6.0	15.0	5.3	Q1006	67
Guinea-Bissau	9.0	8.5	5.8	Q1007	68
Guyana	7.0	18.0	0.0	Q734	69
Haiti	12.0	97.0	11.0	Q790	70
Honduras	11.0	42.0	0.0	Q783	71
Hungary	6.0	7.0	36.2	Q28	72
Iceland	5.0	11.5	7.4	Q189	73
India	10.0	17.5	0.0	Q668	74
Indonesia	11.0	12.6	0.0	Q252	75
Iran, Islamic Rep.	10.0	72.5	0.0	Q794	76
Iraq	8.0	26.5	14.6	Q796	77
Ireland	3.0	11.0	0.0	Q27	78
Israel	3.0	11.0	0.0	Q801	79
Italy	7.0	11.0	0.0	Q38	80
Jamaica	2.0	3.0	0.0	Q766	81
Japan	8.0	11.1	0.0	Q17	82
Jordan	7.0	12.5	0.1	Q810	83
Kazakhstan	4.0	5.0	0.0	Q232	84
Kenya	7.0	23.0	0.0	Q114	85
Kiribati	7.0	31.0	11.9	Q710	86
Korea, Rep.	3.0	8.0	0.0	Q884	87
