Country	Bothsexes	Males	Females	ID	id_row
Guyana	30.2	46.6	14.2	Q734	0
Lesotho	28.9	22.7	32.6	Q1013	1
Russia	26.5	48.3	7.5	Q159	2
Lithuania	25.7	47.5	6.7	Q37	3
Suriname	23.2	36.1	10.9	Q730	4
Ivory Coast	23.0	32.0	13.0	Q1008	5
Kazakhstan	22.8	40.1	7.7	Q232	6
Equatorial Guinea	22.0	31.3	10.8	Q983	7
Belarus	21.4	39.3	6.2	Q184	8
South Korea	20.2	29.6	11.6	Q884	9
Uganda	20.0	21.2	18.7	Q1036	10
Cameroon	19.5	26.9	12.5	Q1009	11
Zimbabwe	19.1	29.1	11.1	Q954	12
Ukraine	18.5	34.5	4.7	Q212	13
Nigeria	17.3	17.5	17.1	Q1033	14
Latvia	17.2	31.0	5.1	Q211	15
Eswatini	16.7	25.4	9.6	Q1050	16
Togo	16.6	22.7	10.9	Q945	17
India	16.5	18.5	14.5	Q668	18
Uruguay	16.5	26.8	7.1	Q77	19
Sierra Leone	16.1	18.2	14.2	Q1044	20
Benin	15.7	22.6	9.6	Q962	21
Belgium	15.7	22.2	9.4	Q31	22
Chad	15.5	17.1	13.8	Q657	23
Kiribati	15.2	25.9	5.4	Q710	24
Cape Verde	15.1	24.1	7.7	Q1011	25
Burundi	15.0	23.1	7.7	Q967	26
Burkina Faso	14.8	22.4	9.1	Q965	27
Estonia	14.4	25.6	4.4	Q191	28
Japan	14.3	20.5	8.1	Q17	29
Sri Lanka	14.2	23.3	6.2	Q854	30
Sweden	13.8	20.8	6.8	Q34	31
Eritrea	13.8	22.4	6.1	Q986	32
United States	13.7	21.1	6.4	Q30	33
Hungary	13.6	22.2	6.2	Q28	34
El Salvador	13.5	24.8	4.3	Q792	35
Liberia	13.4	13.8	13.0	Q1014	36
Moldova	13.4	24.1	3.8	Q217	37
Poland	13.4	23.9	3.4	Q36	38
Iceland	13.3	21.7	4.7	Q189	39
Slovenia	13.3	22.4	4.5	Q215	40
Mongolia	13.3	23.3	3.8	Q711	41
Bolivia	12.9	16.9	8.9	Q750	42
Thailand	12.9	21.4	4.8	Q869	43
Trinidad and Tobago	12.9	21.9	4.3	Q754	44
South Africa	12.8	21.7	5.1	Q258	45
Haiti	12.2	18.3	6.4	Q790	46
France	12.1	17.9	6.5	Q142	47
Nicaragua	11.9	19.2	5.0	Q811	48
Senegal	11.8	20.3	5.2	Q1041	49
Finland	11.7	15.8	7.4	Q33	50
Australia	11.7	17.4	6.0	Q408	51
Bhutan	11.6	13.8	8.9	Q917	52
New Zealand	11.6	17.3	6.2	Q664	53
Central African Republic	11.6	18.0	6.0	Q929	54
Botswana	11.5	18.3	5.7	Q963	55
Croatia	11.5	18.8	5.1	Q224	56
Namibia	11.5	19.4	4.9	Q1030	57
Austria	11.4	17.5	5.7	Q40	58
Ethiopia	11.4	18.7	4.7	Q115	59
Switzerland	11.3	15.8	6.9	Q39	60
Zambia	11.3	17.5	6.2	Q953	61
F.S. Micronesia	11.3	16.2	6.2	Q702	62
Comoros	11.1	17.6	5.4	Q970	63
Rwanda	11.0	16.9	6.0	Q1037	64
Serbia	10.9	17.3	5.2	Q403	65
Ireland	10.9	17.6	4.2	Q27	66
North Korea	10.6	14.8	8.0	Q423	67
Guinea	10.5	12.7	8.4	Q1006	68
Czech Republic	10.5	17.2	4.2	Q213	69
Dominican Republic	10.5	17.9	3.2	Q786	70
Canada	10.4	15.1	5.8	Q16	71
Luxembourg	10.4	15.0	5.8	Q32	72
Norway	10.1	13.6	6.5	Q20	73
Cuba	10.1	16.4	4.1	Q241	74
Slovakia	10.1	18.4	2.6	Q214	75
Gambia	10.0	12.8	7.3	Q1005	76
Yemen	9.8	13.4	6.2	Q805	77
DR Congo	9.7	15.0	4.9	Q974	78
Chile	9.7	16.0	3.8	Q298	79
Nepal	9.6	11.4	8.0	Q837	80
Netherlands	9.6	12.9	6.4	Q55	81
Tanzania	9.6	14.3	5.4	Q924	82
Gabon	9.6	15.0	4.3	Q1000	83
Sudan	9.5	14.5	4.6	Q1049	84
Paraguay	9.3	12.3	6.2	Q733	85
Laos	9.3	12.9	6.1	Q819	86
Congo	9.3	13.9	5.0	Q971	87
Denmark	9.2	13.2	5.2	Q35	88
Germany	9.1	13.6	4.8	Q183	89
Kyrgyzstan	9.1	14.8	3.7	Q813	90
Argentina	9.1	15.0	3.5	Q414	91
Niger	9.0	11.5	6.7	Q1032	92
Mali	8.9	13.5	4.7	Q912	93
Angola	8.9	14.0	4.6	Q916	94
Ghana	8.7	15.8	2.9	Q117	95
Portugal	8.6	14.3	3.8	Q45	96
Djibouti	8.5	11.9	5.3	Q977	97
Mozambique	8.4	14.0	4.1	Q1029	98
Somalia	8.3	11.5	5.4	Q1045	99
Seychelles	8.3	15.0	2.1	Q1042	100
Myanmar	8.1	6.3	9.8	Q836	101
China	8.0	7.9	8.3	Q148	102
Romania	8.0	13.9	2.4	Q218	103
Singapore	7.9	11.1	4.9	Q334	104
Montenegro	7.9	12.6	3.6	Q236	105
Bulgaria	7.9	13.1	3.2	Q219	106
Malawi	7.8	13.7	3.2	Q1020	107
United Kingdom	7.6	11.9	3.5	Q145	108
Mauritania	7.5	12.1	3.6	Q1025	109
Costa Rica	7.5	12.8	2.3	Q800	110
Guinea-Bissau	7.4	8.9	6.1	Q1007	111
Uzbekistan	7.4	10.3	4.6	Q265	112
Mauritius	7.3	12.5	2.2	Q1027	113
Saint Lucia	7.3	12.7	2.1	Q760	114
Ecuador	7.2	10.7	3.8	Q736	115
Turkmenistan	7.2	11.0	3.7	Q874	116
