Country	Mostrecentyear	Tariff	ID	id_row
Albania	2017	3.0	Q222	0
Angola	2016	22.3	Q916	1
Antigua and Barbuda	2017	13.6	Q781	2
Argentina	2017	7.7	Q414	3
Armenia	2017	5.3	Q399	4
Australia	2017	1.3	Q408	5
Austria	2017	4.7	Q40	6
Bahrain	2017	5.0	Q398	7
Bangladesh	2016	13.6	Q902	8
Barbados	2013	26.0	Q244	9
Belgium	2017	4.7	Q31	10
Belize	2017	17.0	Q242	11
Benin	2017	18.4	Q962	12
Bolivia	2017	8.9	Q750	13
Botswana	2017	3.7	Q963	14
Brazil	2017	8.5	Q155	15
Brunei Darussalam	2017	0.0	Q921	16
Bulgaria	2017	4.7	Q219	17
Burkina Faso	2017	16.4	Q965	18
Burundi	2016	12.5	Q967	19
Cabo Verde	2015	16.5	Q1011	20
Cambodia	2016	15.1	Q424	21
Cameroon	2014	22.9	Q1009	22
Canada	2017	3.7	Q16	23
Central African Republic	2017	17.1	Q929	24
Chad	2016	20.7	Q657	25
Chile	2017	1.3	Q298	26
China	2017	9.1	Q148	27
Hong Kong SAR, China	2017	0.0	Q8646	28
Macao SAR, China	2017	0.0	Q14773	29
Colombia	2017	4.6	Q739	30
Congo, Dem. Rep.	2014	12.1	Q974	31
Congo, Rep.	2015	16.1	Q971	32
Costa Rica	2016	5.1	Q800	33
Cote d'Ivoire	2017	17.6	Q1008	34
Croatia	2017	4.7	Q224	35
Cuba	2017	11.0	Q241	36
Czech Republic	2017	4.7	Q213	37
Denmark	2017	4.7	Q35	38
Djibouti	2014	14.4	Q977	39
Dominica	2017	18.3	Q784	40
Dominican Republic	2017	9.2	Q786	41
Ecuador	2017	6.4	Q736	42
Egypt, Arab Rep.	2017	39.8	Q79	43
El Salvador	2017	4.9	Q792	44
Estonia	2017	4.7	Q191	45
Fiji	2017	27.3	Q712	46
Finland	2017	4.7	Q33	47
France	2017	4.7	Q142	48
Gabon	2016	20.6	Q1000	49
Gambia, The	2013	15.8	Q1005	50
Georgia	2016	4.2	Q230	51
Germany	2017	4.7	Q183	52
Ghana	2017	15.9	Q117	53
Greece	2017	4.7	Q41	54
Grenada	2016	15.1	Q769	55
Guatemala	2015	4.1	Q774	56
Guinea	2017	18.8	Q1006	57
Guinea-Bissau	2017	19.2	Q1007	58
Guyana	2017	17.4	Q734	59
Haiti	2016	9.8	Q790	60
Honduras	2015	6.0	Q783	61
Hungary	2017	4.7	Q28	62
Iceland	2017	9.9	Q189	63
India	2017	16.7	Q668	64
Indonesia	2017	6.8	Q252	65
Ireland	2017	4.7	Q27	66
Israel	2017	5.6	Q801	67
Italy	2017	4.7	Q38	68
Jamaica	2016	18.9	Q766	69
Japan	2017	12.0	Q17	70
Jordan	2017	10.6	Q810	71
Kazakhstan	2017	4.7	Q232	72
Kenya	2016	16.7	Q114	73
Korea, Rep.	2017	21.2	Q884	74
Kuwait	2017	3.4	Q817	75
Kyrgyz Republic	2017	3.6	Q813	76
Lao PDR	2017	2.4	Q819	77
Latvia	2017	4.7	Q211	78
Lesotho	2017	1.6	Q1013	79
Lithuania	2017	4.7	Q37	80
Luxembourg	2017	4.7	Q32	81
North Macedonia	2017	7.3	Q221	82
Madagascar	2017	8.2	Q1019	83
Malawi	2016	10.2	Q1020	84
Malaysia	2016	8.1	Q833	85
Maldives	2017	7.1	Q826	86
Mali	2017	17.3	Q912	87
Malta	2017	4.7	Q233	88
Mauritania	2015	11.9	Q1025	89
Mauritius	2017	1.3	Q1027	90
Mexico	2017	4.5	Q96	91
Moldova	2016	8.1	Q217	92
Mongolia	2017	6.3	Q711	93
