Country	Surveyyear	Poorestquintile	Richestquintile	ID	id_row
Afghanistan	2015	38.0	56.0	Q889	0
Albania	2018	82.0	54.0	Q222	1
Algeria	2013	76.0	83.0	Q262	2
Angola	2016	13.0	57.0	Q916	3
Armenia	2016	91.0	79.0	Q399	4
Bangladesh	2014	69.0	92.0	Q902	5
Belize	2016	83.0	84.0	Q242	6
Benin	2018	43.0	66.0	Q962	7
Bolivia	2008	78.0	81.0	Q750	8
Burundi	2017	73.0	84.0	Q967	9
Cameroon	2014	61.0	91.0	Q1009	10
Chad	2015	6.0	30.0	Q657	11
Comoros	2012	64.0	67.0	Q970	12
Congo, Dem. Rep.	2014	40.0	72.0	Q974	13
Congo, Rep.	2016	36.0	65.0	Q971	14
Costa Rica	2011	14.0	27.0	Q800	15
Cote d'Ivoire	2016	64.0	74.0	Q1008	16
El Salvador	2014	86.0	92.0	Q792	17
Ethiopia	2016	79.0	76.0	Q115	18
Gambia, The	2018	35.0	16.0	Q1005	19
Guinea-Bissau	2014	52.0	62.0	Q1007	20
Guyana	2014	15.0	36.0	Q734	21
Haiti	2017	56.0	69.0	Q790	22
Honduras	2012	60.0	58.0	Q783	23
Iraq	2018	57.0	69.0	Q796	24
Jordan	2018	90.0	83.0	Q810	25
Kenya	2015	85.0	83.0	Q114	26
Kyrgyz Republic	2018	80.0	82.0	Q813	27
Maldives	2017	72.0	77.0	Q826	28
Mexico	2015	31.0	73.0	Q96	29
Moldova	2012	55.0	47.0	Q217	30
Mongolia	2018	99.0	80.0	Q711	31
Mozambique	2018	78.0	88.0	Q1029	32
Namibia	2013	53.0	85.0	Q1030	33
Nepal	2016	41.0	77.0	Q837	34
Papua New Guinea	2018	38.0	80.0	Q691	35
Philippines	2017	15.0	53.0	Q928	36
Sao Tome and Principe	2014	87.0	95.0	Q1039	37
Serbia	2014	73.0	83.0	Q403	38
Sierra Leone	2017	61.0	84.0	Q1044	39
Timor-Leste	2016	78.0	69.0	Q574	40
Togo	2017	65.0	83.0	Q945	41
Tunisia	2018	62.0	72.0	Q948	42
Uganda	2016	99.0	99.0	Q1036	43
Yemen, Rep.	2013	72.0	83.0	Q805	44
Zimbabwe	2015	98.0	83.0	Q954	45
