Country	AnnualGrowth2010	AnnualGrowth2019	ID	id_row
Albania	6.4	0.5	Q222	0
Algeria	1.8	1.8	Q262	1
Angola	12.8	6.4	Q916	2
Antigua and Barbuda	3.4	1.6	Q781	3
Argentina	9.2	47.3	Q414	4
Armenia	9.0	8.5	Q399	5
Aruba	1.9	2.2	Q21203	6
Australia	4.2	1.6	Q408	7
Azerbaijan	11.6	9.7	Q227	8
Bahamas, The	3.4	0.6	Q778	9
Bangladesh	7.2	6.8	Q902	10
Barbados	2.7	0.2	Q244	11
Belarus	9.1	6.5	Q184	12
Belize	7.8	2.0	Q242	13
Benin	8.4	6.5	Q962	14
Bhutan	2.2	2.3	Q917	15
Bolivia	1.0	3.2	Q750	16
Bosnia and Herzegovina	3.2	0.9	Q225	17
Botswana	5.6	1.6	Q963	18
Brazil	8.9	5.4	Q155	19
Brunei Darussalam	0.5	0.4	Q921	20
Bulgaria	4.1	0.0	Q219	21
Burkina Faso	8.4	6.5	Q965	22
Cabo Verde	3.1	1.5	Q1011	23
Cambodia	1.3	1.4	Q424	24
Cameroon	3.3	2.5	Q1009	25
Canada	0.2	0.1	Q16	26
Central African Republic	3.3	2.5	Q929	27
Chad	3.3	2.5	Q657	28
Chile	1.8	2.5	Q298	29
China	2.8	1.5	Q148	30
Hong Kong SAR, China	0.0	0.0	Q8646	31
Macao SAR, China	0.0	0.2	Q14773	32
Colombia	3.7	4.5	Q739	33
Comoros	1.8	1.8	Q970	34
Congo, Dem. Rep.	16.8	5.5	Q974	35
Congo, Rep.	3.3	2.5	Q971	36
Costa Rica	5.3	4.6	Q800	37
Cote d'Ivoire	8.4	6.5	Q1008	38
Czech Republic	1.1	0.4	Q213	39
Dominica	3.3	1.8	Q784	40
Dominican Republic	4.9	7.6	Q786	41
Ecuador	3.9	4.4	Q736	42
Egypt, Arab Rep.	6.2	11.0	Q79	43
Equatorial Guinea	3.3	2.5	Q983	44
Eswatini	3.9	3.7	Q1050	45
Fiji	5.4	3.3	Q712	46
France	1.5	0.8	Q142	47
Gabon	3.3	2.5	Q1000	48
Gambia, The	14.6	9.0	Q1005	49
Georgia	10.1	8.7	Q230	50
Ghana	12.9	13.2	Q117	51
Grenada	3.1	1.3	Q769	52
Guatemala	5.5	5.0	Q774	53
Guinea	17.5	3.1	Q1006	54
Guinea-Bissau	8.4	6.5	Q1007	55
Guyana	2.3	0.9	Q734	56
Haiti	0.7	7.8	Q790	57
Honduras	9.8	8.4	Q783	58
Hungary	4.9	0.1	Q28	59
Indonesia	7.0	6.7	Q252	60
Iran, Islamic Rep.	11.9	12.8	Q794	61
Iraq	6.1	4.8	Q796	62
Israel	1.6	0.7	Q801	63
Jamaica	6.4	3.2	Q766	64
Japan	0.5	0.3	Q17	65
Jordan	3.5	4.9	Q810	66
Kenya	4.6	8.3	Q114	67
Korea, Rep.	3.9	1.9	Q884	68
Kosovo	3.7	1.3	Q1246	69
Kuwait	2.3	1.9	Q817	70
Kyrgyz Republic	2.0	1.5	Q813	71
Lebanon	6.2	9.7	Q822	72
Lesotho	3.7	1.6	Q1013	73
Liberia	3.5	5.0	Q1014	74
Madagascar	10.3	13.0	Q1019	75
Malaysia	2.5	3.0	Q833	76
Maldives	4.0	3.5	Q826	77
Mali	8.4	6.5	Q912	78
Mauritania	8.0	5.7	Q1025	79
Mauritius	8.4	3.7	Q1027	80
Mexico	1.2	3.5	Q96	81
Micronesia, Fed. Sts.	0.9	0.4	Q702	82
Moldova	7.7	4.6	Q217	83
Mongolia	11.9	11.0	Q711	84
Morocco	3.7	3.0	Q1028	85
Mozambique	9.7	9.1	Q1029	86
Myanmar	12.0	8.0	Q836	87
Namibia	5.0	5.7	Q1030	88
New Zealand	4.6	3.0	Q664	89
Nicaragua	3.0	3.1	Q811	90
Niger	8.4	6.5	Q1032	91
Nigeria	6.5	8.9	Q1033	92
North Macedonia	7.5	1.9	Q221	93
Oman	3.8	3.4	Q842	94
Pakistan	8.1	9.1	Q843	95
Panama	3.0	2.2	Q804	96
Papua New Guinea	1.4	0.9	Q691	97
Paraguay	1.2	3.9	Q733	98
Peru	2.1	4.8	Q419	99
Philippines	3.2	4.1	Q928	100
Qatar	2.9	3.6	Q846	101
Romania	7.3	1.8	Q218	102
Russian Federation	6.0	5.4	Q159	103
Rwanda	6.8	7.6	Q1037	104
Samoa	2.7	2.7	Q683	105
San Marino	0.7	1.4	Q238	106
Sao Tome and Principe	11.1	3.8	Q1039	107
Senegal	8.4	6.5	Q1041	108
Seychelles	2.9	3.6	Q1042	109
Sierra Leone	9.5	4.1	Q1044	110
Singapore	0.2	0.2	Q334	111
Solomon Islands	3.3	0.3	Q685	112
South Africa	6.5	7.0	Q258	113
South Sudan	2.0	0.1	Q958	114
Sri Lanka	6.9	8.7	Q854	115
St. Kitts and Nevis	4.6	2.0	Q763	116
St. Lucia	3.3	1.5	Q760	117
St. Vincent and the Grenadines	2.9	1.8	Q757	118
Suriname	6.2	9.0	Q730	119
Switzerland	0.1	-0.4	Q39	120
Tajikistan	8.6	3.8	Q863	121
Tanzania	6.6	7.3	Q924	122
Thailand	1.2	1.4	Q869	123
Timor-Leste	0.8	0.6	Q574	124
Togo	8.4	6.5	Q945	125
Tonga	4.0	2.6	Q678	126
Trinidad and Tobago	1.5	1.5	Q754	127
Turkey	15.3	25.6	Q43	128
Uganda	7.7	9.4	Q1036	129
Ukraine	10.6	12.9	Q212	130
Uruguay	4.2	5.1	Q77	131
Uzbekistan	15.4	16.2	Q265	132
Vanuatu	1.6	0.3	Q686	133
Venezuela, RB	14.8	14.7	Q717	134
Vietnam	11.2	5.0	Q881	135
West Bank and Gaza	0.3	1.4	Q407199	136
Zambia	7.4	8.3	Q953	137
