Country	2000	2005	2010	2019	AverageperioddecreaseActual	AverageperioddecreasePercentage	ID	id_row
Belarus					0.0	0.0	Q184	0
Bosnia and Herzegovina	9.8	7.2	5.1		0.0	0.0	Q225	1
Bulgaria	8.2	7.8	6.9		0.0	0.0	Q219	2
Chile					0.0	0.0	Q298	3
Costa Rica	6.2	5.5	5.0		0.0	0.0	Q800	4
Croatia	6.1				0.0	0.0	Q224	5
Cuba	5.3				0.0	0.0	Q241	6
Estonia	5.6				0.0	0.0	Q191	7
Kuwait					0.0	0.0	Q817	8
Latvia	6.0				0.0	0.0	Q211	9
Lithuania					0.0	0.0	Q37	10
Montenegro	—	—			0.0	0.0	Q236	11
Romania	8.3	6.4	5.6		0.0	0.0	Q218	12
Slovakia	7.3	6.0			0.0	0.0	Q214	13
Turkey	10.2	7.3	5.4		0.0	0.0	Q43	14
Ukraine	13.7				0.0	0.0	Q212	15
Uruguay	7.7	8.1	5.4		0.0	0.0	Q77	16
Brazil	12.0	7.0	5.4		0.0	0.0	Q155	17
Argentina	6.6	6.2	5.9	5.0	0.53	8.72	Q414	18
Kazakhstan	11.0	12.4	8.6	5.5	1.83	17.99	Q232	19
North Macedonia	7.7	8.5	7.0	5.6	0.7	9.09	Q221	20
Russia	10.3	7.5	6.4	5.8	1.5	17.08	Q159	21
Mexico	10.6	9.1	7.7	6.2	1.47	16.34	Q96	22
Tunisia	10.7	8.6	7.9	6.2	1.5	16.43	Q948	23
China	15.8	13.0	10.0	6.5	3.1	25.27	Q148	24
Serbia	—	—	6.7	6.5	0.0	0.0	Q403	25
Colombia	11.3	10.8	9.9	6.7	1.53	15.03	Q739	26
Albania	21.5	16.6	15.1	7.0	4.83	28.49	Q222	27
Azerbaijan	27.5	17.3	12.1	7.4	6.7	35.33	Q227	28
Armenia	18.3	12.7	11.3	7.8	3.5	24.2	Q399	29
Iran	13.5	9.4	8.2	7.9	1.87	15.6	Q794	30
Jamaica	8.6	8.6	9.7	8.2	0.13	0.89	Q766	31
Paraguay	14.0	12.6	11.6	8.3	1.9	15.46	Q733	32
Saudi Arabia	11.5	13.7	9.2	8.5	1.0	7.11	Q851	33
Kyrgyzstan	19.3	14.0	12.4	8.8	3.5	22.64	Q813	34
Peru	20.9	18.2	12.5	8.8	4.03	24.61	Q419	35
Fiji	9.9	9.3	8.6	8.9	0.33	3.37	Q712	36
Trinidad and Tobago	12.1	12.9	12.7	9.1	1.0	7.76	Q754	37
Dominican Republic	18.3	17.2	12.8	9.2	3.03	19.91	Q786	38
Georgia	14.5	10.4	8.4	9.2	1.77	12.66	Q230	39
Panama	20.2	18.3	12.6	9.2	3.67	22.51	Q804	40
Morocco	15.8	17.7	10.0	9.4	2.13	12.49	Q1028	41
El Salvador	16.3	13.3	12.8	9.6	2.23	15.72	Q792	42
Mauritius	15.3	14.0	12.2	9.6	1.9	14.22	Q1027	43
Mongolia	31.8	25.0	15.8	9.7	7.37	32.26	Q711	44
Thailand	18.3	13.2	12.7	9.7	2.87	18.43	Q869	45
