Country	Total_2000	Total_2018	Female_2000	Female_2018	ID	id_row
Afghanistan	5.0	10.3	15.0	21.3	Q889	0
Albania	1.3	1.3	41.6	41.5	Q222	1
Algeria	8.9	12.2	13.5	17.6	Q262	2
Angola	6.7	12.7	49.0	50.2	Q916	3
Argentina	16.3	20.6	42.1	43.0	Q414	4
Armenia	1.2	1.3	46.7	46.2	Q399	5
Australia	9.6	13.3	43.6	46.5	Q408	6
Austria	3.9	4.6	43.5	46.4	Q40	7
Azerbaijan	3.5	5.1	46.7	48.8	Q227	8
Bahamas, The	0.2	0.2	47.9	47.5	Q778	9
Bahrain	0.3	0.9	21.3	20.5	Q398	10
Bangladesh	46.5	68.8	22.6	30.3	Q902	11
Barbados	0.1	0.2	48.4	49.4	Q244	12
Belarus	4.8	5.1	48.8	49.0	Q184	13
Belgium	4.4	5.1	43.0	46.2	Q31	14
Belize	0.1	0.2	32.8	38.7	Q242	15
Benin	2.7	4.7	45.9	49.2	Q962	16
Bhutan	0.2	0.4	42.9	40.8	Q917	17
Bolivia	3.7	5.6	42.1	44.2	Q750	18
Bosnia and Herzegovina	1.3	1.3	38.2	39.2	Q225	19
Botswana	0.6	1.0	45.0	48.8	Q963	20
Brazil	78.5	105.5	40.0	43.6	Q155	21
Brunei Darussalam	0.2	0.2	40.8	42.7	Q921	22
Bulgaria	3.4	3.3	45.9	46.2	Q219	23
Burkina Faso	4.8	7.2	45.8	44.7	Q965	24
Burundi	2.7	4.8	52.2	51.9	Q967	25
Cabo Verde	0.1	0.2	40.1	44.0	Q1011	26
Cambodia	5.6	9.2	51.6	48.4	Q424	27
Cameroon	7.0	11.0	48.3	47.1	Q1009	28
Canada	16.2	20.3	45.7	47.4	Q16	29
Central African Republic	1.5	1.9	46.3	45.7	Q929	30
Chad	3.1	5.8	45.1	45.5	Q657	31
Channel Islands	0.1	0.1	43.1	44.2	Q42314	32
Chile	6.3	9.4	35.0	42.2	Q298	33
China	734.8	783.4	45.1	43.8	Q148	34
Hong Kong SAR, China	3.4	4.0	41.6	49.3	Q8646	35
Macao SAR, China	0.2	0.4	45.5	48.5	Q14773	36
Colombia	18.1	26.2	41.1	42.9	Q739	37
Comoros	0.1	0.2	38.4	42.1	Q970	38
Congo, Dem. Rep.	18.4	28.8	50.2	48.4	Q974	39
Congo, Rep.	1.2	2.1	49.9	49.0	Q971	40
Costa Rica	1.6	2.4	32.6	38.9	Q800	41
Cote d'Ivoire	6.1	8.3	35.0	41.6	Q1008	42
Croatia	2.0	1.8	44.4	46.5	Q224	43
Cuba	4.5	5.1	35.4	38.6	Q241	44
Cyprus	0.4	0.6	40.7	46.0	Q229	45
Czech Republic	5.2	5.5	44.6	44.7	Q213	46
Denmark	2.9	3.0	46.5	47.4	Q35	47
Djibouti	0.3	0.4	37.5	39.8	Q977	48
Dominican Republic	3.3	4.9	34.1	40.2	Q786	49
Ecuador	5.6	8.4	38.3	40.8	Q736	50
Egypt, Arab Rep.	20.0	30.2	21.7	23.5	Q79	51
El Salvador	2.3	2.8	39.5	41.9	Q792	52
Equatorial Guinea	0.2	0.5	40.6	36.8	Q983	53
Estonia	0.7	0.7	48.6	48.3	Q191	54
Eswatini	0.3	0.4	46.4	48.2	Q1050	55
Ethiopia	28.5	51.4	44.8	46.5	Q115	56
Fiji	0.3	0.4	31.7	32.9	Q712	57
Finland	2.6	2.7	47.6	48.0	Q33	58
France	27.4	30.4	45.6	48.0	Q142	59
French Polynesia	0.1	0.1	39.7	43.5	Q30971	60
Gabon	0.3	0.7	39.5	40.0	Q1000	61
Gambia, The	0.4	0.8	41.0	44.0	Q1005	62
Georgia	2.0	2.0	46.5	44.9	Q230	63
Germany	40.3	43.6	43.7	46.3	Q183	64
Ghana	8.3	12.6	48.7	46.6	Q117	65
Greece	4.9	4.8	38.8	43.7	Q41	66
Guam	0.1	0.1	40.6	40.5	Q16635	67
Guatemala	4.1	6.7	34.6	33.1	Q774	68
Guinea	2.8	4.3	53.3	54.5	Q1006	69
Guinea-Bissau	0.5	0.8	47.4	47.8	Q1007	70
Guyana	0.3	0.3	31.2	39.1	Q734	71
Haiti	3.2	5.0	47.0	47.3	Q790	72
Honduras	2.5	4.5	34.7	38.2	Q783	73
Hungary	4.2	4.7	44.6	45.5	Q28	74
Iceland	0.2	0.2	47.3	47.2	Q189	75
India	396.8	487.6	25.6	20.2	Q668	76
Indonesia	98.6	132.7	38.2	39.2	Q252	77
Iran, Islamic Rep.	19.2	27.8	15.4	19.6	Q794	78
Iraq	5.7	10.1	11.5	13.3	Q796	79
Ireland	1.9	2.4	40.7	45.8	Q27	80
