Country	GDP	oftotalgovernmentexpenditure	ID	id_row
Afghanistan	4.1	15.7	Q889	0
Albania	2.5	8.4	Q222	1
Andorra	3.2	19.3	Q228	2
Argentina	5.5	13.3	Q414	3
Armenia	2.7	10.4	Q399	4
Aruba	6.2	21.4	Q21203	5
Australia	5.3	13.8	Q408	6
Austria	5.5	11.0	Q40	7
Azerbaijan	2.5	7.0	Q227	8
Bahrain	2.3	7.2	Q398	9
Bangladesh	2.0	14.6	Q902	10
Barbados	4.7	12.9	Q244	11
Belarus	4.8	12.3	Q184	12
Belgium	6.5	12.3	Q31	13
Belize	7.4	21.3	Q242	14
Benin	4.0	17.7	Q962	15
Bermuda	1.5	7.8	Q23635	16
Bhutan	6.6	22.8	Q917	17
Brunei Darussalam	4.4	11.4	Q921	18
Burkina Faso	6.0	22.7	Q965	19
Burundi	5.0	19.9	Q967	20
Cabo Verde	5.2	16.4	Q1011	21
Cambodia	2.2	8.8	Q424	22
Cameroon	3.1	16.9	Q1009	23
Chad	2.2	17.2	Q657	24
Chile	5.4	21.3	Q298	25
Hong Kong SAR, China	3.3	18.8	Q8646	26
Macao SAR, China	2.7	13.5	Q14773	27
Colombia	4.5	16.0	Q739	28
Congo, Dem. Rep.	1.5	14.0	Q974	29
Congo, Rep.	3.6	15.6	Q971	30
Costa Rica	7.0	26.1	Q800	31
Cote d'Ivoire	4.4	18.3	Q1008	32
Cyprus	6.3	16.7	Q229	33
Czech Republic	5.6	14.2	Q213	34
Djibouti	5.6	14.0	Q977	35
El Salvador	3.6	14.9	Q792	36
Estonia	5.2	13.1	Q191	37
Finland	6.9	12.3	Q33	38
Gambia, The	2.4	11.2	Q1005	39
Georgia	3.8	13.0	Q230	40
Germany	4.8	10.9	Q183	41
Ghana	4.0	18.6	Q117	42
Grenada	3.2	14.0	Q769	43
Guatemala	2.9	23.7	Q774	44
Guinea	2.6	14.9	Q1006	45
Guyana	5.9	16.0	Q734	46
Haiti	2.8	14.4	Q790	47
Honduras	6.1	23.0	Q783	48
Hungary	4.7	10.1	Q28	49
Iceland	7.5	16.8	Q189	50
Iran, Islamic Rep.	4.0	21.1	Q794	51
Ireland	3.7	13.4	Q27	52
Israel	5.8	15.5	Q801	53
Italy	3.8	7.8	Q38	54
Jamaica	5.4	18.6	Q766	55
Japan	3.2	8.4	Q17	56
Jordan	3.6	11.6	Q810	57
Kazakhstan	2.8	13.9	Q232	58
Kenya	5.3	19.1	Q114	59
Kyrgyz Republic	6.0	15.7	Q813	60
Latvia	4.7	12.9	Q211	61
Lesotho	6.5	13.9	Q1013	62
Liberia	2.6	8.1	Q1014	63
Lithuania	4.0	12.0	Q37	64
Madagascar	3.2	19.8	Q1019	65
Malawi	4.7	15.8	Q1020	66
Malaysia	4.5	19.7	Q833	67
Maldives	4.1	11.3	Q826	68
Mali	3.8	16.5	Q912	69
Mauritania	2.6	9.3	Q1025	70
Mauritius	4.8	19.6	Q1027	71
Mexico	4.9	17.9	Q96	72
Moldova	5.5	17.5	Q217	73
Monaco	1.5	7.0	Q235	74
Mongolia	4.1	12.6	Q711	75
Mozambique	5.6	17.9	Q1029	76
Myanmar	2.0	10.3	Q836	77
Nepal	5.2	14.1	Q837	78
Netherlands	5.5	12.8	Q55	79
New Zealand	6.4	16.8	Q664	80
Nicaragua	4.3	17.9	Q811	81
Niger	4.9	16.8	Q1032	82
Norway	8.0	16.0	Q20	83
Pakistan	2.9	14.5	Q843	84
Papua New Guinea	1.9	8.7	Q691	85
Paraguay	3.4	18.2	Q733	86
Peru	3.7	17.1	Q419	87
Poland	4.6	11.3	Q36	88
Qatar	2.9	8.6	Q846	89
Romania	3.0	9.5	Q218	90
Russian Federation	3.7	11.0	Q159	91
Rwanda	3.1	10.8	Q1037	92
Samoa	4.1	10.5	Q683	93
San Marino	3.1	13.1	Q238	94
Sao Tome and Principe	5.1	20.1	Q1039	95
Senegal	4.7	21.5	Q1041	96
Serbia	3.7	9.3	Q403	97
Seychelles	4.4	11.7	Q1042	98
Sierra Leone	7.1	32.5	Q1044	99
Slovak Republic	3.9	9.4	Q214	100
Slovenia	4.8	11.7	Q215	101
South Africa	6.2	18.9	Q258	102
South Sudan	1.0	0.9	Q958	103
Spain	4.2	10.0	Q29	104
Sri Lanka	2.1	11.3	Q854	105
St. Lucia	3.7	14.4	Q760	106
St. Vincent and the Grenadines	5.7	18.8	Q757	107
Sweden	7.7	15.7	Q34	108
Switzerland	5.1	15.5	Q39	109
Tanzania	3.7	20.6	Q924	110
Timor-Leste	4.1	7.9	Q574	111
Togo	5.4	21.8	Q945	112
Turks and Caicos Islands	2.9	12.1	Q18221	113
Uganda	2.5	10.9	Q1036	114
Ukraine	5.4	13.1	Q212	115
United Kingdom	5.5	13.8	Q145	116
Uruguay	4.8	14.9	Q77	117
Uzbekistan	5.3	23.0	Q265	118
Vanuatu	4.7	12.7	Q686	119
Vietnam	4.2	14.5	Q881	120
Zambia	4.7	17.0	Q953	121
Zimbabwe	4.6	19.0	Q954	122
