Country	Millions	Percentage	ID	id_row
Afghanistan	2605.0	13.4	Q889	0
Albania	10122.0	67.2	Q222	1
Algeria	5710.0	3.2	Q262	2
Angola	54563.0	54.0	Q916	3
Argentina	280516.0	56.1	Q414	4
Armenia	11019.0	87.5	Q399	5
Azerbaijan	16212.0	36.4	Q227	6
Bangladesh	52124.0	18.2	Q902	7
Belarus	38844.0	67.7	Q184	8
Belize	1380.0	76.8	Q242	9
Benin	3691.0	35.9	Q962	10
Bhutan	2549.0	109.2	Q917	11
Bolivia	13280.0	33.8	Q750	12
Bosnia and Herzegovina	15824.0	80.4	Q225	13
Botswana	1749.0	9.7	Q963	14
Brazil	557823.0	30.3	Q155	15
Bulgaria	39874.0	60.3	Q219	16
Burkina Faso	3286.0	23.4	Q965	17
Burundi	589.0	19.2	Q967	18
Cabo Verde	1735.0	89.3	Q1011	19
Cambodia	13347.0	58.2	Q424	20
Cameroon	10865.0	28.7	Q1009	21
Central African Republic	779.0	32.7	Q929	22
Chad	3242.0	29.3	Q657	23
China	1962304.0	14.5	Q148	24
Colombia	134940.0	42.3	Q739	25
Comoros	191.0	16.5	Q970	26
Congo, Dem. Rep.	4984.0	10.9	Q974	27
Congo, Rep.	5147.0	51.1	Q971	28
Costa Rica	27819.0	49.0	Q800	29
Cote d'Ivoire	15660.0	37.9	Q1008	30
Djibouti	3264.0	157.6	Q977	31
Dominica	279.0	55.3	Q784	32
Dominican Republic	33905.0	43.8	Q786	33
Ecuador	45019.0	42.6	Q736	34
Egypt, Arab Rep.	98705.0	40.4	Q79	35
El Salvador	17486.0	71.1	Q792	36
Ethiopia	28027.0	33.4	Q115	37
Fiji	852.0	16.7	Q712	38
Gabon	6767.0	43.0	Q1000	39
Gambia, The	681.0	42.7	Q1005	40
Georgia	17118.0	110.6	Q230	41
Ghana	23316.0	36.3	Q117	42
Grenada	645.0	58.8	Q769	43
Guatemala	22349.0	29.0	Q774	44
Guinea	2555.0	24.6	Q1006	45
Guinea-Bissau	421.0	28.9	Q1007	46
Guyana	1609.0	44.6	Q734	47
Haiti	2213.0	22.8	Q790	48
Honduras	9709.0	43.7	Q783	49
India	521391.0	19.3	Q668	50
Indonesia	379664.0	37.6	Q252	51
Jamaica	16307.0	108.0	Q766	52
Jordan	32045.0	76.1	Q810	53
Kazakhstan	156921.0	105.7	Q232	54
Kenya	31511.0	36.1	Q114	55
Kosovo	2297.0	28.5	Q1246	56
Kyrgyz Republic	8120.0	103.0	Q813	57
Lao PDR	15588.0	90.2	Q819	58
Lebanon	79345.0	145.1	Q822	59
Lesotho	915.0	29.2	Q1013	60
Liberia	1256.0	44.7	Q1014	61
North Macedonia	8744.0	72.0	Q221	62
Madagascar	3716.0	31.8	Q1019	63
Malawi	2266.0	32.2	Q1020	64
Maldives	2332.0	48.0	Q826	65
Mali	4896.0	29.5	Q912	66
Mauritania	5218.0	97.8	Q1025	67
Mauritius	11207.0	71.8	Q1027	68
Mexico	452991.0	38.0	Q96	69
Moldova	7296.0	61.3	Q217	70
Mongolia	29377.0	253.9	Q711	71
Montenegro	7951.0	144.1	Q236	72
Morocco	49041.0	42.2	Q1028	73
Mozambique	15218.0	107.6	Q1029	74
Myanmar	14936.0	21.5	Q836	75
Nepal	5478.0	18.9	Q837	76
Nicaragua	11618.0	90.7	Q811	77
Niger	3260.0	36.1	Q1032	78
Nigeria	47047.0	12.4	Q1033	79
Pakistan	90957.0	27.6	Q843	80
Papua New Guinea	17718.0	78.4	Q691	81
Paraguay	15806.0	39.9	Q733	82
Peru	66697.0	31.3	Q419	83
Philippines	78824.0	19.9	Q928	84
Romania	112116.0	48.0	Q218	85
Russian Federation	453938.0	28.1	Q159	86
Rwanda	5403.0	58.0	Q1037	87
Samoa	427.0	51.3	Q683	88
Sao Tome and Principe	250.0	58.8	Q1039	89
Senegal	12273.0	52.4	Q1041	90
Serbia	34339.0	71.7	Q403	91
Sierra Leone	1713.0	45.1	Q1044	92
Solomon Islands	389.0	29.1	Q685	93
Somalia	2932.0	39.4	Q1045	94
South Africa	179306.0	50.6	Q258	95
Sri Lanka	52626.0	60.8	Q854	96
St. Lucia	616.0	35.1	Q760	97
St. Vincent and the Grenadines	328.0	37.6	Q757	98
Sudan	21596.0	56.9	Q1049	99
Eswatini	509.0	10.9	Q1050	100
Tajikistan	5977.0	67.7	Q863	101
Tanzania	18585.0	33.1	Q924	102
Thailand	169241.0	35.1	Q869	103
Timor-Leste	158.0	6.7	Q574	104
Togo	1761.0	33.3	Q945	105
Tonga	189.0	41.3	Q678	106
Tunisia	34661.0	90.0	Q948	107
Turkey	445139.0	59.0	Q43	108
Turkmenistan	907.0	2.3	Q874	109
Uganda	12330.0	46.3	Q1036	110
Ukraine	114512.0	89.6	Q212	111
Uzbekistan	17630.0	33.9	Q265	112
Vanuatu	402.0	45.9	Q686	113
Vietnam	108096.0	46.7	Q881	114
Yemen, Rep.	7037.0	26.1	Q805	115
Zambia	19116.0	73.7	Q953	116
Zimbabwe	12286.0	39.8	Q954	117
