Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	1.5	0.3	Q889	0
Albania	-3.9	-1.3	Q222	1
Angola	0.8	-6.8	Q916	2
Armenia	-5.0	-1.8	Q399	3
Australia	-4.0	-0.4	Q408	4
Austria	-3.1	0.0	Q40	5
Azerbaijan	15.4	9.5	Q227	6
Bahamas, The	-2.6	-3.3	Q778	7
Bangladesh	-0.8	-1.5	Q902	8
Barbados	-7.8	-4.9	Q244	9
Belarus	-1.4	4.1	Q184	10
Belgium	-3.2	-0.2	Q31	11
Belize	-0.8	-1.4	Q242	12
Bhutan	2.0	-2.5	Q917	13
Bosnia and Herzegovina	-2.2	2.0	Q225	14
Botswana	-7.5	-2.4	Q963	15
Brazil	-2.1	-6.8	Q155	16
Bulgaria	-3.1	1.6	Q219	17
Burkina Faso	-4.0	-4.2	Q965	18
Cambodia	-3.5	0.0	Q424	19
Cameroon	-1.6	-2.2	Q1009	20
Canada	-2.2	0.7	Q16	21
Central African Republic	-8.4	0.3	Q929	22
Chile	-0.4	-1.7	Q298	23
Colombia	-4.6	-1.9	Q739	24
Congo, Rep.	39.8	6.3	Q971	25
Cote d'Ivoire	-0.6	-3.4	Q1008	26
Croatia	-6.6	0.3	Q224	27
Cyprus	-4.7	-5.3	Q229	28
Czech Republic	-3.8	0.7	Q213	29
Denmark	-2.6	0.4	Q35	30
Dominican Republic	-2.8	-2.2	Q786	31
Egypt, Arab Rep.	-7.7	-10.7	Q79	32
El Salvador	-3.1	-0.6	Q792	33
Equatorial Guinea	-4.5	0.1	Q983	34
Estonia	0.0	-0.8	Q191	35
Ethiopia	-2.7	-4.0	Q115	36
Fiji	-2.6	-4.4	Q712	37
Finland	-2.3	0.0	Q33	38
France	-6.8	-2.6	Q142	39
Gabon	1.7	0.4	Q1000	40
Georgia	-4.2	-1.7	Q230	41
Germany	-3.3	1.1	Q183	42
Ghana	-7.2	-3.8	Q117	43
Greece	-10.9	0.6	Q41	44
Guatemala	-3.3	-1.9	Q774	45
Honduras	-3.0	-0.9	Q783	46
Hungary	-3.5	-2.3	Q28	47
Iceland	0.0	10.0	Q189	48
India	-3.5	-1.9	Q668	49
Indonesia	-0.7	-1.8	Q252	50
Ireland	-32.0	0.1	Q27	51
Israel	-3.7	-3.5	Q801	52
Italy	-3.8	-2.3	Q38	53
Jamaica	-6.3	1.2	Q766	54
Japan	-7.5	-3.2	Q17	55
Jordan	-5.0	-1.5	Q810	56
Kazakhstan	4.6	1.3	Q232	57
Kiribati	-7.1	16.9	Q710	58
Korea, Rep.	1.5	2.4	Q884	59
Kuwait	16.0	-20.9	Q817	60
Latvia	-11.8	-0.2	Q211	61
Lebanon	-7.5	-11.8	Q822	62
Lesotho	-3.0	-4.2	Q1013	63
Lithuania	-7.0	0.4	Q37	64
Luxembourg	-0.8	2.3	Q32	65
Madagascar	-0.6	-1.1	Q1019	66
Malawi	0.0	-5.9	Q1020	67
Malaysia	-5.0	-3.6	Q833	68
Mali	-2.2	-4.6	Q912	69
Malta	-2.4	1.8	Q233	70
Marshall Islands	3.5	2.5	Q709	71
Mauritius	-2.3	-1.9	Q1027	72
Mexico	-4.0	-2.2	Q96	73
Micronesia, Fed. Sts.	1.0	24.4	Q702	74
Moldova	-2.1	-0.9	Q217	75
Mongolia	2.6	3.5	Q711	76
Morocco	-4.0	-3.7	Q1028	77
Mozambique	-3.2	-2.2	Q1029	78
Myanmar	1.6	-5.9	Q836	79
Namibia	-4.7	-2.0	Q1030	80
Nepal	-1.4	-3.1	Q837	81
Netherlands	-4.1	1.6	Q55	82
New Zealand	-2.6	1.2	Q664	83
Nicaragua	-0.7	-1.9	Q811	84
North Macedonia	-2.5	-1.8	Q221	85
Norway	11.8	8.6	Q20	86
Palau	-1.0	6.3	Q695	87
Paraguay	1.4	-1.0	Q733	88
Peru	0.5	-2.2	Q419	89
Philippines	-3.3	-3.1	Q928	90
Poland	-6.1	0.1	Q36	91
Portugal	-10.5	-0.6	Q45	92
Romania	-6.8	-2.9	Q218	93
Russian Federation	-1.9	3.0	Q159	94
Samoa	-8.1	1.3	Q683	95
Saudi Arabia	4.4	-5.9	Q851	96
Seychelles	1.1	3.2	Q1042	97
Singapore	7.5	4.8	Q334	98
Slovak Republic	-6.7	-1.2	Q214	99
Slovenia	-5.3	0.9	Q215	100
Solomon Islands	7.0	1.7	Q685	101
South Africa	-4.0	-5.1	Q258	102
Spain	-4.9	-1.3	Q29	103
Sri Lanka	-6.3	-5.4	Q854	104
St. Kitts and Nevis	-3.6	1.9	Q763	105
St. Lucia	-0.5	-0.9	Q760	106
St. Vincent and the Grenadines	-2.9	-1.6	Q757	107
Sudan	-4.6	-1.9	Q1049	108
Sweden	-0.2	1.5	Q34	109
Switzerland	0.2	0.9	Q39	110
Tanzania	0.0	-0.3	Q924	111
Thailand	-0.6	-0.5	Q869	112
Timor-Leste	186.4	-2.8	Q574	113
Togo	-0.3	-0.8	Q945	114
Tonga	-1.2	2.2	Q678	115
Trinidad and Tobago	-1.5	-6.8	Q754	116
Turkey	-3.0	-2.1	Q43	117
Ukraine	-6.5	-1.7	Q212	118
United Arab Emirates	0.1	0.3	Q878	119
United Kingdom	-9.1	-2.0	Q145	120
United States	-10.0	-5.2	Q30	121
Uruguay	-0.9	-2.1	Q77	122
Uzbekistan	7.5	2.8	Q265	123
Vanuatu	-2.5	6.4	Q686	124
Zambia	-1.1	-8.6	Q953	125
Zimbabwe	2.7	-10.4	Q954	126
