Country	ReferenceYear	Populationbelow190aday	Populationbelow320aday	Populationbelow550aday	ID	id_row
Albania	2017	1.7	10.4	38.0	Q222	0
Algeria	2011	0.5	3.9	29.2	Q262	1
Angola	2018	47.6	69.8	87.2	Q916	2
Argentina	2018	1.0	3.0	9.6	Q414	3
Armenia	2018	2.1	13.0	50.4	Q399	4
Australia	2014	0.5	0.7	0.7	Q408	5
Austria	2017	0.3	0.4	0.7	Q40	6
Azerbaijan	2005	0.0	0.0	8.2	Q227	7
Bangladesh	2016	14.8	52.9	84.5	Q902	8
Belarus	2018	0.0	0.0	0.4	Q184	9
Belgium	2017	0.1	0.2	0.3	Q31	10
Belize	1999	13.9	28.1	53.0	Q242	11
Benin	2015	49.5	76.2	90.6	Q962	12
Bhutan	2017	1.5	12.0	38.6	Q917	13
Bolivia	2018	4.5	10.6	23.1	Q750	14
Bosnia and Herzegovina	2011	0.1	0.8	3.9	Q225	15
Botswana	2015	16.1	38.5	60.4	Q963	16
Brazil	2018	4.4	9.2	19.9	Q155	17
Bulgaria	2017	1.3	3.1	7.5	Q219	18
Burkina Faso	2014	43.7	76.4	92.3	Q965	19
Burundi	2013	71.8	89.3	96.8	Q967	20
Cabo Verde	2015	3.2	14.9	40.8	Q1011	21
Cameroon	2014	23.8	44.7	68.9	Q1009	22
Canada	2013	0.5	0.5	0.7	Q16	23
Central African Republic	2008	66.3	83.1	92.8	Q929	24
Chad	2011	38.4	66.5	86.2	Q657	25
Chile	2017	0.3	0.7	3.7	Q298	26
China	2016	0.5	5.4	23.9	Q148	27
Colombia	2018	4.1	10.9	27.8	Q739	28
Comoros	2014	17.6	36.9	62.3	Q970	29
Congo, Dem. Rep.	2012	76.6	91.0	97.7	Q974	30
Congo, Rep.	2011	37.0	61.3	82.4	Q971	31
Costa Rica	2018	1.4	3.6	10.9	Q800	32
Cote d'Ivoire	2015	28.2	57.4	82.3	Q1008	33
Croatia	2017	0.5	1.2	3.8	Q224	34
Cyprus	2017	0.0	0.1	0.1	Q229	35
Czech Republic	2017	0.0	0.1	0.4	Q213	36
Denmark	2017	0.1	0.2	0.2	Q35	37
Djibouti	2017	17.1	40.2	70.6	Q977	38
Dominican Republic	2018	0.4	2.6	13.8	Q786	39
Ecuador	2018	3.3	9.7	24.2	Q736	40
Egypt, Arab Rep.	2017	3.2	26.1	70.4	Q79	41
El Salvador	2018	1.5	7.7	25.7	Q792	42
Estonia	2017	0.3	0.6	1.1	Q191	43
Ethiopia	2015	30.8	68.9	90.2	Q115	44
Fiji	2013	1.4	14.1	48.6	Q712	45
Finland	2017	0.1	0.1	0.1	Q33	46
France	2017	0.0	0.0	0.1	Q142	47
Gabon	2017	3.4	11.2	32.2	Q1000	48
Gambia, The	2015	10.1	37.8	72.5	Q1005	49
Georgia	2018	4.5	15.7	42.9	Q230	50
Germany	2016	0.0	0.2	0.5	Q183	51
Ghana	2016	13.3	30.5	56.9	Q117	52
Greece	2017	0.9	1.6	4.4	Q41	53
Guatemala	2014	8.7	24.2	48.8	Q774	54
Guinea	2012	35.3	70.3	92.3	Q1006	55
Guinea-Bissau	2010	67.1	84.5	93.4	Q1007	56
Guyana	1998	13.7	28.9	55.5	Q734	57
Haiti	2012	24.2	49.9	78.4	Q790	58
Honduras	2018	16.5	30.0	50.3	Q783	59
