Country	Trade	Financialsector	Businessregulatoryenvironment	Average	ID	id_row
Afghanistan	3.5	2.0	2.0	2.5	Q889	0
Bangladesh	3.0	2.5	3.0	2.8	Q902	1
Benin	4.0	2.5	3.5	3.3	Q962	2
Bhutan	3.5	3.0	3.5	3.3	Q917	3
Burkina Faso	4.0	3.0	3.5	3.5	Q965	4
Burundi	4.0	2.5	3.0	3.2	Q967	5
Cabo Verde	4.5	3.5	3.5	3.8	Q1011	6
Cambodia	4.5	3.0	2.5	3.3	Q424	7
Cameroon	4.0	3.0	3.0	3.3	Q1009	8
Central African Republic	3.0	2.5	2.0	2.5	Q929	9
Chad	3.0	2.5	2.5	2.7	Q657	10
Comoros	3.5	2.5	3.0	3.0	Q970	11
Congo, Dem. Rep.	3.5	2.5	3.0	3.0	Q974	12
Congo, Rep.	3.5	2.5	2.0	2.7	Q971	13
Cote d'Ivoire	4.0	3.0	3.0	3.3	Q1008	14
Djibouti	4.0	3.0	3.0	3.3	Q977	15
Dominica	4.0	3.5	3.5	3.7	Q784	16
Eritrea	1.5	1.0	1.0	1.2	Q986	17
Ethiopia	3.0	3.0	3.5	3.2	Q115	18
Gambia, The	4.0	2.5	3.0	3.2	Q1005	19
Ghana	4.5	3.0	3.5	3.7	Q117	20
Grenada	4.0	3.5	3.0	3.5	Q769	21
Guinea	4.0	2.5	3.0	3.2	Q1006	22
Guinea-Bissau	4.0	2.0	2.5	2.8	Q1007	23
Guyana	3.5	3.5	2.5	3.2	Q734	24
Haiti	4.5	3.0	2.0	3.2	Q790	25
Honduras	4.0	3.5	2.5	3.3	Q783	26
Kenya	4.0	3.0	4.0	3.7	Q114	27
Kiribati	3.5	2.5	2.5	2.8	Q710	28
Kosovo	4.5	4.0	4.0	4.2	Q1246	29
Kyrgyz Republic	4.5	3.0	3.0	3.5	Q813	30
Lao PDR	4.0	2.0	3.0	3.0	Q819	31
Lesotho	4.0	3.0	3.5	3.5	Q1013	32
Liberia	3.5	2.5	2.5	2.8	Q1014	33
Madagascar	4.0	3.0	3.0	3.3	Q1019	34
Malawi	3.5	3.5	3.0	3.3	Q1020	35
Maldives	4.0	3.0	3.5	3.5	Q826	36
Mali	4.0	3.0	3.0	3.3	Q912	37
Marshall Islands	3.0	2.0	2.5	2.5	Q709	38
Mauritania	4.0	2.5	3.0	3.2	Q1025	39
Micronesia, Fed. Sts.	4.0	2.5	2.0	2.8	Q702	40
Moldova	4.5	2.5	4.0	3.7	Q217	41
Mongolia	4.0	2.0	3.5	3.2	Q711	42
Mozambique	4.0	3.0	3.0	3.3	Q1029	43
Myanmar	3.5	3.0	2.5	3.0	Q836	44
Nepal	3.5	4.0	3.5	3.7	Q837	45
Nicaragua	4.5	2.5	2.5	3.2	Q811	46
Niger	4.0	2.5	3.5	3.3	Q1032	47
Nigeria	3.0	2.5	3.5	3.0	Q1033	48
Pakistan	4.0	3.5	3.5	3.7	Q843	49
Papua New Guinea	4.0	3.5	3.0	3.5	Q691	50
Rwanda	4.5	3.5	4.5	4.2	Q1037	51
Samoa	4.0	3.5	3.5	3.7	Q683	52
Sao Tome and Principe	3.5	2.5	3.0	3.0	Q1039	53
Senegal	4.5	3.5	3.5	3.8	Q1041	54
Sierra Leone	3.5	2.5	3.0	3.0	Q1044	55
Solomon Islands	3.5	3.0	3.0	3.2	Q685	56
Somalia	1.5	2.0	1.0	1.5	Q1045	57
South Sudan	2.0	2.0	1.5	1.8	Q958	58
St. Lucia	4.0	3.0	3.5	3.5	Q760	59
St. Vincent and the Grenadines	4.0	3.5	3.5	3.7	Q757	60
Sudan	2.5	2.5	2.5	2.5	Q1049	61
Tajikistan	3.5	2.0	3.0	2.8	Q863	62
Tanzania	4.0	3.0	3.0	3.3	Q924	63
Timor-Leste	4.0	2.5	2.0	2.8	Q574	64
Togo	4.0	2.5	3.5	3.3	Q945	65
Tonga	4.5	3.5	2.5	3.5	Q678	66
Tuvalu	3.5	2.5	2.5	2.8	Q672	67
Uganda	4.5	3.5	3.0	3.7	Q1036	68
Uzbekistan	4.0	2.5	3.5	3.3	Q265	69
Vanuatu	4.0	3.0	3.0	3.3	Q686	70
Yemen, Rep.	2.5	1.5	2.0	2.0	Q805	71
Zambia	4.0	3.5	4.0	3.8	Q953	72
Zimbabwe	3.0	2.5	3.0	2.8	Q954	73
