Country	ReferenceYear	Mostrecenyear	Bottom40Baseline	Bottom40Recent	TotalpopulationBaseline	TotalpopulationRecent	ID	id_row
Albania	2014	2017	3.7	3.9	7.9	8.1	Q222	0
Argentina	2013	2018	8.8	8.1	23.5	21.7	Q414	1
Armenia	2013	2018	3.3	3.5	6.2	6.9	Q399	2
Austria	2012	2017	28.3	30.4	53.7	57.0	Q40	3
Bangladesh	2010	2016	1.9	2.0	3.5	3.9	Q902	4
Belarus	2013	2018	12.0	12.5	20.4	20.4	Q184	5
Belgium	2012	2017	27.3	27.9	47.9	48.9	Q31	6
Benin	2011	2015	1.1	0.9	2.7	2.7	Q962	7
Bhutan	2012	2017	3.5	3.8	8.1	8.8	Q917	8
Bolivia	2013	2018	4.4	4.8	14.2	13.1	Q750	9
Botswana	2009	2015	2.0	2.1	9.6	7.7	Q963	10
Brazil	2013	2018	5.6	5.4	20.2	20.9	Q155	11
Chile	2013	2017	8.0	9.7	21.7	25.2	Q298	12
China	2013	2016	3.9	5.0	9.5	11.6	Q148	13
Colombia	2013	2018	3.9	4.4	14.1	14.4	Q739	14
Costa Rica	2013	2018	7.0	7.5	22.8	23.5	Q800	15
Croatia	2012	2017	8.5	11.0	17.3	21.3	Q224	16
Cyprus	2012	2017	23.9	24.3	47.6	45.8	Q229	17
Czech Republic	2012	2017	15.8	18.8	26.3	30.2	Q213	18
Denmark	2012	2017	28.4	30.3	49.7	54.1	Q35	19
Dominican Republic	2011	2016	4.2	5.4	12.6	15.5	Q786	20
Ecuador	2013	2018	4.5	4.8	13.5	13.8	Q736	21
Egypt, Arab Rep.	2012	2017	3.3	2.9	5.6	5.2	Q79	22
El Salvador	2013	2018	3.9	4.7	10.1	11.1	Q792	23
Estonia	2012	2017	11.6	17.0	23.1	32.7	Q191	24
Ethiopia	2010	2015	1.5	1.5	2.9	3.1	Q115	25
Finland	2012	2017	28.9	29.7	49.4	51.0	Q33	26
France	2012	2017	26.7	27.6	52.5	53.0	Q142	27
Georgia	2013	2018	3.0	3.4	7.1	7.7	Q230	28
Germany	2011	2016	28.2	27.9	52.5	54.7	Q183	29
Ghana	2012	2016	2.4	2.3	6.2	6.6	Q117	30
Greece	2012	2017	9.6	10.5	22.4	22.5	Q41	31
Honduras	2013	2018	2.1	2.3	8.0	8.7	Q783	32
Hungary	2012	2017	9.8	12.4	18.7	23.5	Q28	33
Iceland	2010	2015	27.1	31.6	45.5	53.6	Q189	34
Indonesia	2014	2018	2.4	2.9	5.4	6.5	Q252	35
Iran, Islamic Rep.	2014	2017	7.0	7.0	16.3	17.3	Q794	36
Ireland	2011	2016	21.4	25.3	42.6	49.5	Q27	37
Israel	2010	2016	11.2	14.3	31.1	36.2	Q801	38
Italy	2012	2017	18.3	18.8	39.9	42.0	Q38	39
Kazakhstan	2012	2017	6.5	6.5	11.5	11.2	Q232	40
Kosovo	2012	2017	4.7	5.2	8.4	9.2	Q1246	41
Kyrgyz Republic	2013	2018	2.9	3.3	5.0	5.7	Q813	42
