Country	ReferenceYear	GiniIndex	ID	id_row
Albania	2017	33.2	Q222	0
Algeria	2011	27.6	Q262	1
Angola	2018	51.3	Q916	2
Argentina	2018	41.4	Q414	3
Armenia	2018	34.4	Q399	4
Australia	2014	34.4	Q408	5
Austria	2017	29.7	Q40	6
Azerbaijan	2005	26.6	Q227	7
Bangladesh	2016	32.4	Q902	8
Belarus	2018	25.2	Q184	9
Belgium	2017	27.4	Q31	10
Belize	1999	53.3	Q242	11
Benin	2015	47.8	Q962	12
Bhutan	2017	37.4	Q917	13
Bolivia	2018	42.2	Q750	14
Bosnia and Herzegovina	2011	33.0	Q225	15
Botswana	2015	53.3	Q963	16
Brazil	2018	53.9	Q155	17
Bulgaria	2017	40.4	Q219	18
Burkina Faso	2014	35.3	Q965	19
Burundi	2013	38.6	Q967	20
Cameroon	2014	46.6	Q1009	21
Canada	2013	33.8	Q16	22
Cabo Verde	2015	42.4	Q1011	23
Central African Republic	2008	56.2	Q929	24
Chad	2011	43.3	Q657	25
Chile	2017	44.4	Q298	26
China	2016	38.5	Q148	27
Colombia	2018	50.4	Q739	28
Comoros	2014	45.3	Q970	29
Congo, Dem. Rep.	2012	42.1	Q974	30
Congo, Rep.	2011	48.9	Q971	31
Costa Rica	2018	48.0	Q800	32
Cote d'Ivoire	2015	41.5	Q1008	33
Croatia	2017	30.4	Q224	34
Cyprus	2017	31.4	Q229	35
Czech Republic	2017	24.9	Q213	36
Denmark	2017	28.7	Q35	37
Djibouti	2017	41.6	Q977	38
Dominican Republic	2018	43.7	Q786	39
Ecuador	2018	45.4	Q736	40
Egypt, Arab Rep.	2017	31.5	Q79	41
El Salvador	2018	38.6	Q792	42
Estonia	2017	30.4	Q191	43
Ethiopia	2015	35.0	Q115	44
Fiji	2013	36.7	Q712	45
Finland	2017	27.4	Q33	46
France	2017	31.6	Q142	47
Gabon	2017	38.0	Q1000	48
Gambia, The	2015	35.9	Q1005	49
Georgia	2018	36.4	Q230	50
Germany	2016	31.9	Q183	51
Ghana	2016	43.5	Q117	52
Greece	2017	34.4	Q41	53
Guatemala	2014	48.3	Q774	54
Guinea	2012	33.7	Q1006	55
Guinea-Bissau	2010	50.7	Q1007	56
Guyana	1998	44.6	Q734	57
Haiti	2012	41.1	Q790	58
Honduras	2018	52.1	Q783	59
Hungary	2017	30.6	Q28	60
Iceland	2015	26.8	Q189	61
India	2011	37.8	Q668	62
Indonesia	2018	39.0	Q252	63
Iran, Islamic Rep.	2017	40.8	Q794	64
Iraq	2012	29.5	Q796	65
Ireland	2016	32.8	Q27	66
Israel	2016	39.0	Q801	67
Italy	2017	35.9	Q38	68
Jamaica	2004	45.5	Q766	69
Japan	2013	32.9	Q17	70
Jordan	2010	33.7	Q810	71
Kazakhstan	2017	27.5	Q232	72
Kenya	2015	40.8	Q114	73
Kiribati	2006	37.0	Q710	74
Korea, Rep.	2012	31.6	Q884	75
Kosovo	2017	29.0	Q1246	76
Kyrgyz Republic	2018	27.7	Q813	77
Lao PDR	2012	36.4	Q819	78
Latvia	2017	35.6	Q211	79
Lebanon	2011	31.8	Q822	80
Lesotho	2017	44.9	Q1013	81
Liberia	2016	35.3	Q1014	82
Lithuania	2017	37.3	Q37	83
Luxembourg	2017	34.9	Q32	84
North Macedonia	2017	34.2	Q221	85
Madagascar	2012	42.6	Q1019	86
Malawi	2016	44.7	Q1020	87
Malaysia	2015	41.0	Q833	88
Maldives	2016	31.3	Q826	89
Mali	2009	33.0	Q912	90
Malta	2017	29.2	Q233	91
Mauritania	2014	32.6	Q1025	92
Mauritius	2017	36.8	Q1027	93
Mexico	2018	45.4	Q96	94
Micronesia, Fed. Sts.	2013	40.1	Q702	95
Moldova	2018	25.7	Q217	96
Mongolia	2018	32.7	Q711	97
Montenegro	2015	39.0	Q236	98
Morocco	2013	39.5	Q1028	99
Mozambique	2014	54.0	Q1029	100
Myanmar	2017	30.7	Q836	101
Namibia	2015	59.1	Q1030	102
Nepal	2010	32.8	Q837	103
Netherlands	2017	28.5	Q55	104
Nicaragua	2014	46.2	Q811	105
Niger	2014	34.3	Q1032	106
Nigeria	2009	43.0	Q1033	107
Norway	2017	27.0	Q20	108
Pakistan	2015	33.5	Q843	109
Panama	2018	49.2	Q804	110
Papua New Guinea	2009	41.9	Q691	111
Paraguay	2018	46.2	Q733	112
Peru	2018	42.8	Q419	113
Philippines	2015	44.4	Q928	114
Poland	2017	29.7	Q36	115
Portugal	2017	33.8	Q45	116
Romania	2017	36.0	Q218	117
Russian Federation	2018	37.5	Q159	118
Rwanda	2016	43.7	Q1037	119
Samoa	2013	38.7	Q683	120
Sao Tome and Principe	2017	56.3	Q1039	121
Senegal	2011	40.3	Q1041	122
Serbia	2017	36.2	Q403	123
Seychelles	2013	46.8	Q1042	124
Sierra Leone	2018	35.7	Q1044	125
Slovak Republic	2016	25.2	Q214	126
Slovenia	2017	24.2	Q215	127
Solomon Islands	2013	37.1	Q685	128
South Africa	2014	63.0	Q258	129
South Sudan	2009	46.3	Q958	130
Spain	2017	34.7	Q29	131
Sri Lanka	2016	39.8	Q854	132
St. Lucia	2016	51.2	Q760	133
Sudan	2014	34.2	Q1049	134
Suriname	1999	57.6	Q730	135
