Country	Resilience	ID	id_row
Algeria	3.5	Q262	0
Antigua and Barbuda	2.8	Q781	1
Argentina	3.3	Q414	2
Armenia	3.0	Q399	3
Australia	4.0	Q408	4
Bangladesh	4.0	Q902	5
Barbados	4.0	Q244	6
Bolivia	2.3	Q750	7
Botswana	3.0	Q963	8
Brazil	4.5	Q155	9
Brunei Darussalam	2.8	Q921	10
Bulgaria	3.5	Q219	11
Burundi	3.3	Q967	12
Canada	4.3	Q16	13
Cabo Verde	3.5	Q1011	14
Cayman Islands	3.0	Q5785	15
Chile	2.8	Q298	16
Colombia	3.8	Q739	17
Comoros	1.8	Q970	18
Costa Rica	4.5	Q800	19
Cote d'Ivoire	2.5	Q1008	20
Cuba	4.5	Q241	21
Czech Republic	2.8	Q213	22
Dominican Republic	3.0	Q786	23
Ecuador	4.8	Q736	24
El Salvador	3.3	Q792	25
Fiji	2.8	Q712	26
Finland	3.5	Q33	27
Georgia	2.8	Q230	28
Germany	4.3	Q183	29
Ghana	3.3	Q117	30
Guatemala	3.3	Q774	31
Guinea-Bissau	1.0	Q1007	32
Honduras	3.8	Q783	33
India	3.3	Q668	34
Indonesia	3.3	Q252	35
Italy	3.5	Q38	36
Jamaica	3.8	Q766	37
Japan	4.5	Q17	38
Kenya	4.0	Q114	39
Lao PDR	2.3	Q819	40
Lebanon	3.0	Q822	41
Lesotho	2.5	Q1013	42
North Macedonia	3.3	Q221	43
Madagascar	3.8	Q1019	44
Malawi	1.8	Q1020	45
Malaysia	3.8	Q833	46
Maldives	2.3	Q826	47
Marshall Islands	1.8	Q709	48
Mauritius	3.5	Q1027	49
Mexico	4.3	Q96	50
Mongolia	2.8	Q711	51
Morocco	3.0	Q1028	52
Mozambique	4.0	Q1029	53
Nepal	2.8	Q837	54
New Zealand	3.8	Q664	55
Nicaragua	3.8	Q811	56
Nigeria	4.0	Q1033	57
Norway	3.8	Q20	58
Pakistan	3.5	Q843	59
Panama	3.0	Q804	60
Paraguay	3.8	Q733	61
Peru	3.0	Q419	62
Poland	3.3	Q36	63
Romania	3.3	Q218	64
Samoa	3.5	Q683	65
Senegal	2.8	Q1041	66
Sierra Leone	3.0	Q1044	67
Solomon Islands	2.0	Q685	68
Sri Lanka	3.5	Q854	69
St. Kitts and Nevis	3.5	Q763	70
St. Lucia	3.3	Q760	71
Sweden	3.8	Q34	72
Switzerland	4.8	Q39	73
Syrian Arab Republic	3.5	Q858	74
Tanzania	3.5	Q924	75
Thailand	3.8	Q869	76
Turks and Caicos Islands	2.3	Q18221	77
United States	3.5	Q30	78
Vanuatu	2.0	Q686	79
Venezuela, RB	2.8	Q717	80
Yemen, Rep.	2.3	Q805	81
Zambia	3.8	Q953	82
