Country	Childrenwithfever	ID	id_row
Afghanistan	11.8	Q889	0
Angola	18.1	Q916	1
Armenia	9.3	Q399	2
Bangladesh	5.0	Q902	3
Benin	17.5	Q962	4
Burkina Faso	51.1	Q965	5
Burundi	47.0	Q967	6
Cambodia	0.3	Q424	7
Cameroon	38.2	Q1009	8
Chad	26.9	Q657	9
Congo, Dem. Rep.	29.2	Q974	10
Dominican Republic	14.9	Q786	11
Ethiopia	7.7	Q115	12
Gambia, The	6.7	Q1005	13
Ghana	50.1	Q117	14
Guatemala	0.4	Q774	15
Guinea	24.8	Q1006	16
Guinea-Bissau	28.0	Q1007	17
Guyana	7.4	Q734	18
Haiti	1.1	Q790	19
India	20.1	Q668	20
Indonesia	0.2	Q252	21
Kenya	27.1	Q114	22
Liberia	65.5	Q1014	23
Madagascar	10.1	Q1019	24
Malawi	29.4	Q1020	25
Mali	18.7	Q912	26
Mozambique	32.7	Q1029	27
Myanmar	0.8	Q836	28
Namibia	8.4	Q1030	29
Nepal	2.0	Q837	30
Nigeria	43.5	Q1033	31
Pakistan	9.2	Q843	32
Papua New Guinea	21.3	Q691	33
Philippines	0.3	Q928	34
Rwanda	19.6	Q1037	35
Sao Tome and Principe	1.4	Q1039	36
Senegal	4.7	Q1041	37
Sierra Leone	57.0	Q1044	38
South Africa	0.5	Q258	39
South Sudan	31.9	Q958	40
Tanzania	36.2	Q924	41
Timor-Leste	10.0	Q574	42
Togo	31.1	Q945	43
Uganda	71.5	Q1036	44
Vanuatu	5.1	Q686	45
Yemen, Rep.	1.2	Q805	46
Zambia	34.9	Q953	47
Zimbabwe	1.0	Q954	48
