Country	value ('90-'00)	value ('00-'19)
Afghanistan	..	9.8
Albania	5	4.6
Algeria	..	6.8
American Samoa	..	..
Andorra	..	..
Angola	..	6.3
Antigua and Barbuda	3.9	1.5
Argentina	4.4	3.2
Armenia	..	..
Aruba	..	..
Australia	4.1	3.1
Austria	2.6	1.6
Azerbaijan	-1.6	8.6
Bahamas, The	0.4	0.4
Bahrain	..	4.7
Bangladesh	4.2	5.9
Barbados	..	..
Belarus	-0.4	4
Belgium	2.5	1.8
Belize	4.7	3.4
Benin	4.4	5.3
Bermuda	..	..
Bhutan	7.2	8.4
Bolivia	4.9	4.4
Bosnia and Herzegovina	..	2
Botswana	8.2	6.8
Brazil	2.7	2.8
Brunei Darussalam	2.2	3.3
Bulgaria	-5.3	3.7
Burkina Faso	3.8	6.1
Burundi	..	3.7
Cabo Verde	13.4	3.1
Cambodia	7.7	7.7
Cameroon	-0.1	4.6
Canada	..	2
Cayman Islands	..	0.4
Central African Republic	..	2.1
Chad	..	3.5
Channel Islands	..	..
Chile	6.8	4.9
China	10.3	10
Hong Kong SAR, China	..	3.9
Macao SAR, China	..	5.4
Colombia	4.7	4.4
Comoros	1.6	3.2
Congo, Dem. Rep.	-4.7	5.5
Congo, Rep.	-2.2	4.7
Costa Rica	4	5
Cote d'Ivoire	..	4.2
Croatia	2.9	1.8
Cuba	..	4.9
Curacao	..	..
Cyprus	6.5	2.4
Czech Republic	2.1	2.3
Denmark	2.7	1.4
Djibouti	..	..
Dominica	3.2	1.3
Dominican Republic	5.4	5.1
Ecuador	2.1	4.1
Egypt, Arab Rep.	3.1	5.4
El Salvador	3.3	2.1
Equatorial Guinea	..	5.6
Eritrea	..	..
Estonia	6.2	2.7
Eswatini	3	3.9
Ethiopia	5.6	11.8
Faroe Islands	..	..
Fiji	3	3.1
Finland	3.1	1.1
France	2.3	1.5
French Polynesia	..	..
Gabon	0	4.9
Gambia, The	4	3.3
Georgia	..	5.9
Germany	2.6	1.3
Ghana	..	6.8
Greece	3.5	-0.4
Greenland	..	1.3
Grenada	3.7	2.4
Guam	..	..
Guatemala	4.7	4.4
Guinea	3	4.5
Guinea-Bissau	..	5
Guyana	4.3	4.9
Haiti	1.6	1.2
Honduras	4.7	5.5
Hungary	1.8	2.2
Iceland	7.3	3.2
India	7.7	7.8
Indonesia	3.4	7
Iran, Islamic Rep.	3.5	3.9
Iraq	..	4
Ireland	7.1	3.3
Isle of Man	..	..
Israel	4.5	4.1
Italy	1.9	0.4
Jamaica	0.9	0.7
Japan	1.6	0.7
Jordan	4.8	4.6
Kazakhstan	1.1	7.2
Kenya	..	6
Kiribati	5.7	2.5
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	7.2	3.8
Kosovo	..	4.2
Kuwait	..	..
Kyrgyz Republic	-5	6
Lao PDR	..	..
Latvia	6.1	3.5
Lebanon	5.5	4.4
Lesotho	3.6	4.4
Liberia	..	12.4
Libya	..	..
Liechtenstein	..	..
Lithuania	5.4	3.4
Luxembourg	6.3	3
Madagascar	5.7	2.9
Malawi	3.7	5.5
Malaysia	9	7.1
Maldives	6.9	5.9
Mali	3.5	5.3
Malta	..	..
Marshall Islands	..	1.4
Mauritania	6	5.8
Mauritius	6.3	5.1
Mexico	3.4	2.7
Micronesia, Fed. Sts.	-0.7	-0.1
Moldova	1.9	4.5
Monaco	..	..
Mongolia	..	..
Montenegro	..	2.8
Morocco	3.1	4.2
