Country	% Areas
Afghanistan	0.1
Albania	17.7
Algeria	7.5
American Samoa	15.8
Andorra	26.7
Angola	7
Antigua and Barbuda	18.6
Argentina	8.8
Armenia	23.1
Aruba	18.9
Australia	19.3
Austria	28.4
Azerbaijan	10.2
Bahamas, The	36.6
Bahrain	6.6
Bangladesh	4.6
Barbados	1.3
Belarus	9.4
Belgium	23.3
Belize	37.7
Benin	29.6
Bermuda	2.1
Bhutan	48
Bolivia	30.9
Bosnia and Herzegovina	1.4
Botswana	29.1
Brazil	29.4
Brunei Darussalam	46.9
Bulgaria	34.7
Burkina Faso	14.9
Burundi	7.6
Cabo Verde	2.9
Cambodia	26
Cameroon	10.6
Canada	9.7
Cayman Islands	10.8
Central African Republic	18.1
Chad	20.4
Channel Islands	..
Chile	18.5
China	15.4
Hong Kong SAR, China	41.9
Macao SAR, China	..
Colombia	14.8
Comoros	10.2
Congo, Dem. Rep.	13.8
Congo, Rep.	40.7
Costa Rica	27.6
Cote d'Ivoire	22.9
Croatia	38.3
Cuba	16.6
Curacao	15.5
Cyprus	18.7
Czech Republic	22.2
Denmark	18.1
Djibouti	1.6
Dominica	22
Dominican Republic	26.2
Ecuador	21.7
Egypt, Arab Rep.	13.1
El Salvador	8.8
Equatorial Guinea	19.3
Eritrea	4.9
Estonia	20.2
Eswatini	4.2
Ethiopia	18.5
Faroe Islands	2.3
Fiji	5.4
Finland	15
France	25.8
French Polynesia	2
Gabon	22.4
Gambia, The	4.1
Georgia	8.3
Germany	37.8
Ghana	15.1
Greece	35.2
Greenland	41.2
Grenada	9.8
Guam	22.5
Guatemala	20
Guinea	35.6
Guinea-Bissau	16.7
Guyana	8.7
Haiti	1.9
Honduras	23.9
Hungary	22.6
Iceland	18.2
India	6
Indonesia	12.2
Iran, Islamic Rep.	8.6
Iraq	1.5
Ireland	14.4
Isle of Man	3.7
Israel	19.9
Italy	21.5
Jamaica	15.9
Japan	29.4
Jordan	1.8
Kazakhstan	3.3
Kenya	12.4
Kiribati	22.4
Korea, Dem. Peopleâ€™s Rep.	2.4
Korea, Rep.	11.7
Kosovo	..
Kuwait	17.5
Kyrgyz Republic	6.7
Lao PDR	16.7
Latvia	18.2
Lebanon	2.6
Lesotho	0.3
Liberia	4.1
Libya	0.2
Liechtenstein	11.9
Lithuania	17
Luxembourg	40.9
North Macedonia	9.7
Madagascar	5.6
Malawi	22.9
Malaysia	19.1
Maldives	1.2
Mali	8.2
Malta	30.3
Marshall Islands	11.9
Mauritania	0.6
Mauritius	4.7
Mexico	14.5
Micronesia, Fed. Sts.	0
Moldova	4.2
Monaco	33.2
Mongolia	17.7
Montenegro	6.4
Morocco	30.8
Mozambique	21.6
Myanmar	6.4
Namibia	37.9
Nepal	23.6
Netherlands	11.2
New Caledonia	54.4
New Zealand	32.5
Nicaragua	37.2
Niger	17.3
Nigeria	13.9
Northern Mariana Islands	7.7
Norway	17.1
Oman	2.6
Pakistan	12.3
Palau	28
Panama	20.9
Papua New Guinea	3.1
Paraguay	14.3
Peru	21.3
Philippines	15.3
Poland	39.7
Portugal	22.9
Puerto Rico	7.3
Qatar	13.2
Romania	24.5
Russian Federation	9.7
Rwanda	9.1
Samoa	7.3
San Marino	..
Sao Tome and Principe	29.3
Saudi Arabia	4.8
Senegal	25.4
Serbia	6.6
Seychelles	42.1
Sierra Leone	9.4
Singapore	5.6
Sint Maarten (Dutch part)	0
Slovak Republic	37.6
Slovenia	53.6
Solomon Islands	2.2
Somalia	0.8
South Africa	8
South Sudan	15.5
Spain	28.1
Sri Lanka	29.9
St. Kitts and Nevis	3.3
St. Lucia	18.7
St. Martin (French part)	12.8
St. Vincent and the Grenadines	22.4
Sudan	2.3
Suriname	14.5
Sweden	14.9
Switzerland	9.7
Syrian Arab Republic	0.7
Tajikistan	22.3
Tanzania	38.1
Thailand	18.8
Timor-Leste	13.1
Togo	27.6
Tonga	15.9
Trinidad and Tobago	30.6
Tunisia	7.9
Turkey	0.2
Turkmenistan	3.2
Turks and Caicos Islands	44.4
Tuvalu	2
Uganda	16.1
Ukraine	4
United Arab Emirates	18
United Kingdom	28.7
United States	13
Uruguay	3.4
Uzbekistan	3.4
Vanuatu	4.2
Venezuela, RB	54.1
Vietnam	7.6
Virgin Islands (U.S.)	13.8
West Bank and Gaza	8.4
Yemen, Rep.	0.8
Zambia	37.9
Zimbabwe	27.2
World	14.7
East Asia & Pacific	16.5
Europe & Central Asia	11.7
Latin America & Caribbean	23.5
Middle East & North Africa	6.7
North America	11.3
South Asia	7.3
Sub-Saharan Africa	17.7
Low income	13.9
Lower middle income	14.3
Upper middle income	14.8
High income	15.1
