Country	Both sexes	Males	Females
Guyana	30.2	46.6	14.2
Lesotho	28.9	22.7	32.6
Russia	26.5	48.3	7.5
Lithuania	25.7	47.5	6.7
Suriname	23.2	36.1	10.9
Ivory Coast	23.0	32.0	13.0
Kazakhstan	22.8	40.1	7.7
Equatorial Guinea	22.0	31.3	10.8
Belarus	21.4	39.3	6.2
South Korea	20.2	29.6	11.6
Uganda	20.0	21.2	18.7
Cameroon	19.5	26.9	12.5
Zimbabwe	19.1	29.1	11.1
Ukraine	18.5	34.5	4.7
Nigeria	17.3	17.5	17.1
Latvia	17.2	31.0	5.1
Eswatini	16.7	25.4	9.6
Togo	16.6	22.7	10.9
India	16.5	18.5	14.5
Uruguay	16.5	26.8	7.1
Sierra Leone	16.1	18.2	14.2
Benin	15.7	22.6	9.6
Belgium	15.7	22.2	9.4
Chad	15.5	17.1	13.8
Kiribati	15.2	25.9	5.4
Cape Verde	15.1	24.1	7.7
Burundi	15.0	23.1	7.7
Burkina Faso	14.8	22.4	9.1
Estonia	14.4	25.6	4.4
Japan	14.3	20.5	8.1
Sri Lanka	14.2	23.3	6.2
Sweden	13.8	20.8	6.8
Eritrea	13.8	22.4	6.1
United States	13.7	21.1	6.4
Hungary	13.6	22.2	6.2
El Salvador	13.5	24.8	4.3
Liberia	13.4	13.8	13.0
Moldova	13.4	24.1	3.8
Poland	13.4	23.9	3.4
Iceland	13.3	21.7	4.7
Slovenia	13.3	22.4	4.5
Mongolia	13.3	23.3	3.8
Bolivia	12.9	16.9	8.9
Thailand	12.9	21.4	4.8
Trinidad and Tobago	12.9	21.9	4.3
South Africa	12.8	21.7	5.1
Haiti	12.2	18.3	6.4
France	12.1	17.9	6.5
Nicaragua	11.9	19.2	5.0
Senegal	11.8	20.3	5.2
Finland	11.7	15.8	7.4
Australia	11.7	17.4	6.0
Bhutan	11.6	13.8	8.9
New Zealand	11.6	17.3	6.2
Central African Republic	11.6	18.0	6.0
Botswana	11.5	18.3	5.7
Croatia	11.5	18.8	5.1
Namibia	11.5	19.4	4.9
Austria	11.4	17.5	5.7
Ethiopia	11.4	18.7	4.7
Switzerland	11.3	15.8	6.9
Zambia	11.3	17.5	6.2
F.S. Micronesia	11.3	16.2	6.2
Comoros	11.1	17.6	5.4
Rwanda	11.0	16.9	6.0
Serbia	10.9	17.3	5.2
Ireland	10.9	17.6	4.2
North Korea	10.6	14.8	8.0
Guinea	10.5	12.7	8.4
Czech Republic	10.5	17.2	4.2
Dominican Republic	10.5	17.9	3.2
Canada	10.4	15.1	5.8
Luxembourg	10.4	15.0	5.8
Norway	10.1	13.6	6.5
Cuba	10.1	16.4	4.1
Slovakia	10.1	18.4	2.6
Gambia	10.0	12.8	7.3
Yemen	9.8	13.4	6.2
DR Congo	9.7	15.0	4.9
Chile	9.7	16.0	3.8
Nepal	9.6	11.4	8.0
Netherlands	9.6	12.9	6.4
Tanzania	9.6	14.3	5.4
Gabon	9.6	15.0	4.3
Sudan	9.5	14.5	4.6
Paraguay	9.3	12.3	6.2
Laos	9.3	12.9	6.1
Congo	9.3	13.9	5.0
Denmark	9.2	13.2	5.2
Germany	9.1	13.6	4.8
Kyrgyzstan	9.1	14.8	3.7
Argentina	9.1	15.0	3.5
Niger	9.0	11.5	6.7
Mali	8.9	13.5	4.7
Angola	8.9	14.0	4.6
Ghana	8.7	15.8	2.9
Portugal	8.6	14.3	3.8
Djibouti	8.5	11.9	5.3
Mozambique	8.4	14.0	4.1
Somalia	8.3	11.5	5.4
Seychelles	8.3	15.0	2.1
Myanmar	8.1	6.3	9.8
China	8.0	7.9	8.3
Romania	8.0	13.9	2.4
Singapore	7.9	11.1	4.9
Montenegro	7.9	12.6	3.6
Bulgaria	7.9	13.1	3.2
Malawi	7.8	13.7	3.2
United Kingdom	7.6	11.9	3.5
Mauritania	7.5	12.1	3.6
Costa Rica	7.5	12.8	2.3
Guinea-Bissau	7.4	8.9	6.1
Uzbekistan	7.4	10.3	4.6
Mauritius	7.3	12.5	2.2
Saint Lucia	7.3	12.7	2.1
Ecuador	7.2	10.7	3.8
Turkmenistan	7.2	11.0	3.7
Turkey	7.2	11.3	3.2
Papua New Guinea	7.0	10.2	3.8
Vietnam	7.0	10.8	3.4
Colombia	7.0	11.5	2.8
Madagascar	6.9	10.5	3.6
