Country	Manufactoring %
Afghanistan	..
Albania	20
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	29
Armenia	..
Aruba	..
Australia	21
Austria	10
Azerbaijan	42
Bahamas, The	54
Bahrain	7
Bangladesh	24
Barbados	..
Belarus	..
Belgium	12
Belize	..
Benin	..
Bermuda	10
Bhutan	..
Bolivia	37
Bosnia and Herzegovina	..
Botswana	20
Brazil	17
Brunei Darussalam	..
Bulgaria	20
Burkina Faso	..
Burundi	..
Cambodia	7
Cameroon	36
Canada	12
Cabo Verde	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	14
Hong Kong SAR, China	7
Macao SAR, China	3
Colombia	30
Comoros	..
Congo, Dem. Rep.	73
Congo, Rep.	73
Costa Rica	45
Cote d'Ivoire	..
Croatia	24
Cuba	..
Curacao	..
Cyprus	37
Czech Republic	12
Denmark	18
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	20
Egypt, Arab Rep.	16
El Salvador	29
Equatorial Guinea	..
Eritrea	60
Estonia	17
Eswatini	..
Ethiopia	54
Faroe Islands	..
Fiji	53
Finland	6
France	13
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	37
Germany	8
Ghana	..
Greece	25
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	15
Iceland	37
India	13
Indonesia	18
Iran, Islamic Rep.	10
Iraq	..
Ireland	14
Isle of Man	..
Israel	12
Italy	9
Jamaica	..
Japan	11
Jordan	30
Kazakhstan	..
Kenya	29
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	8
Kosovo	..
Kuwait	8
Kyrgyz Republic	35
Lao PDR	42
Latvia	27
Lebanon	26
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	27
Luxembourg	8
Madagascar	0
Malawi	71
Malaysia	8
Maldives	..
Mali	..
Malta	14
Marshall Islands	..
Mauritania	..
Mauritius	20
Mexico	25
Micronesia, Fed. Sts.	..
Moldova	65
Monaco	..
Mongolia	49
Montenegro	..
Morocco	34
Mozambique	..
Myanmar	..
Namibia	..
Nepal	45
Netherlands	17
New Caledonia	..
New Zealand	33
Nicaragua	..
Niger	16
Nigeria	..
North Macedonia	32
Northern Mariana Islands	..
Norway	16
Oman	12
Pakistan	21
Palau	..
Panama	56
Papua New Guinea	52
Paraguay	66
Peru	33
Philippines	28
Poland	5
Portugal	13
Puerto Rico	8
Qatar	4
Romania	32
Russian Federation	20
Rwanda	75
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	12
Senegal	33
Serbia	31
Seychelles	..
Sierra Leone	..
Singapore	3
Sint Maarten (Dutch part)	..
Slovak Republic	10
Slovenia	10
Solomon Islands	..
Somalia	..
South Africa	15
South Sudan	..
Spain	14
Sri Lanka	39
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	66
Suriname	..
Sweden	7
Switzerland	8
Syrian Arab Republic	-63
Tajikistan	..
Tanzania	45
Thailand	18
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	21
Tunisia	19
Turkey	18
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	64
Ukraine	..
United Arab Emirates	..
United Kingdom	14
United States	13
Uruguay	39
Uzbekistan	..
Vanuatu	..
Venezuela, RB	22
Vietnam	30
Virgin Islands (U.S.)	..
West Bank and Gaza	32
Yemen, Rep.	43
Zambia	..
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
