Country	Young	Old
Afghanistan	77	5
Albania	25	21
Algeria	49	10
American Samoa	..	..
Andorra	..	..
Angola	91	4
Antigua and Barbuda	32	13
Argentina	38	18
Armenia	31	17
Aruba	26	21
Australia	30	25
Austria	22	29
Azerbaijan	33	9
Bahamas, The	31	11
Bahrain	24	3
Bangladesh	40	8
Barbados	26	24
Belarus	25	22
Belgium	27	30
Belize	45	7
Benin	77	6
Bermuda	..	..
Bhutan	37	9
Bolivia	49	12
Bosnia and Herzegovina	22	25
Botswana	55	7
Brazil	30	13
Brunei Darussalam	31	7
Bulgaria	23	33
Burkina Faso	84	5
Burundi	87	4
Cabo Verde	42	7
Cambodia	48	7
Cameroon	77	5
Canada	24	27
Cayman Islands	..	..
Central African Republic	82	5
Chad	92	5
Channel Islands	22	26
Chile	28	17
China	25	16
Hong Kong SAR, China	18	25
Macao SAR, China	19	15
Colombia	33	13
Comoros	68	5
Congo, Dem. Rep.	90	6
Congo, Rep.	75	5
Costa Rica	31	14
Cote d'Ivoire	75	5
Croatia	23	32
Cuba	23	23
Curacao	29	27
Cyprus	24	20
Czech Republic	24	31
Denmark	26	31
Djibouti	44	7
Dominica	..	..
Dominican Republic	43	11
Ecuador	43	11
Egypt, Arab Rep.	56	9
El Salvador	42	13
Equatorial Guinea	61	4
Eritrea	..	..
Estonia	26	31
Eswatini	65	7
Ethiopia	72	6
Faroe Islands	..	..
Fiji	45	9
Finland	26	36
France	29	33
French Polynesia	33	13
Gabon	63	6
Gambia, The	83	5
Georgia	31	23
Germany	21	33
Ghana	63	5
Greece	22	34
Greenland	..	..
Grenada	36	15
Guam	37	16
Guatemala	55	8
Guinea	81	5
Guinea-Bissau	77	5
Guyana	43	10
Haiti	53	8
Honduras	49	8
Hungary	22	30
Iceland	30	23
India	40	10
Indonesia	39	9
Iran, Islamic Rep.	36	9
Iraq	65	6
Ireland	33	22
Isle of Man	..	..
Israel	47	20
Italy	21	36
Jamaica	35	13
Japan	21	47
Jordan	54	6
Kazakhstan	46	12
Kenya	67	4
Kiribati	60	7
Korea, Dem. Peopleâ€™s Rep.	28	13
Korea, Rep.	18	21
Kosovo	..	..
Kuwait	29	4
Kyrgyz Republic	52	7
Lao PDR	51	7
Latvia	26	32
Lebanon	38	11
Lesotho	52	8
Liberia	73	6
Libya	42	7
Liechtenstein	..	..
Lithuania	23	31
Luxembourg	22	20
Madagascar	71	5
Malawi	81	5
Malaysia	34	10
Maldives	26	5
Mali	94	5
Malta	22	32
Marshall Islands	..	..
Mauritania	70	6
Mauritius	24	17
Mexico	39	11
Micronesia, Fed. Sts.	49	7
Moldova	22	17
Monaco	..	..
Mongolia	47	6
Montenegro	27	23
Morocco	41	11
Mozambique	84	5
Myanmar	38	9
Namibia	62	6
Nepal	46	9
Netherlands	25	30
New Caledonia	33	14
New Zealand	30	25
Nicaragua	46	8
Niger	105	5
Nigeria	82	5
North Macedonia	24	20
Northern Mariana Islands	..	..
Norway	27	26
Oman	30	3
Pakistan	58	7
Palau	..	..
Panama	41	13
Papua New Guinea	58	6
Paraguay	45	10
Peru	38	13
Philippines	47	8
Poland	23	27
Portugal	21	35
Puerto Rico	25	31
Qatar	16	2
Romania	24	29
Russian Federation	27	23
Rwanda	70	5
Samoa	66	9
San Marino	..	..
Sao Tome and Principe	77	5
Saudi Arabia	35	5
Senegal	79	6
Serbia	24	29
Seychelles	35	11
Sierra Leone	72	5
Singapore	16	16
Sint Maarten (Dutch part)	..	..
Slovak Republic	23	24
Slovenia	23	31
Solomon Islands	71	6
Somalia	91	6
South Africa	44	8
South Sudan	76	6
Spain	22	30
Sri Lanka	37	17
St. Kitts and Nevis	..	..
St. Lucia	25	14
St. Martin (French part)	..	..
St. Vincent and the Grenadines	33	14
Sudan	71	6
Suriname	41	11
Sweden	28	32
Switzerland	23	28
Syrian Arab Republic	48	7
Tajikistan	62	5
Tanzania	82	5
Thailand	24	18
Timor-Leste	64	7
Togo	73	5
Tonga	59	10
Trinidad and Tobago	30	16
Tunisia	36	13
Turkey	36	13
Turkmenistan	48	7
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	90	4
Ukraine	24	25
United Arab Emirates	17	1
United Kingdom	28	29
United States	28	25
Uruguay	32	23
Uzbekistan	43	7
Vanuatu	67	6
Venezuela, RB	42	12
Vietnam	34	11
Virgin Islands (U.S.)	32	33
West Bank and Gaza	66	5
Yemen, Rep.	68	5
Zambia	83	4
Zimbabwe	77	5
World	39	14
East Asia & Pacific	28	16
Europe & Central Asia	28	25
Latin America & Caribbean	36	13
Middle East & North Africa	46	8
North America	28	25
South Asia	42	9
Sub-Saharan Africa	77	5
Low income	76	6
Lower middle income	47	9
Upper middle income	31	15
High income	25	28
