Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Afghanistan	..	2.8
Albania	3.8	3.3
Algeria	..	6.2
American Samoa	..	..
Andorra	..	..
Angola	..	7.4
Antigua and Barbuda	0.8	1.2
Argentina	3.1	1.7
Armenia	..	..
Aruba	..	..
Australia	3.5	1.5
Austria	1.3	1.2
Azerbaijan	-1.7	4
Bahamas, The	-0.6	-2.6
Bahrain	..	2
Bangladesh	2.6	4.1
Barbados	..	..
Belarus	-4	3.6
Belgium	2.6	-0.3
Belize	5.7	0.2
Benin	5.5	4.6
Bermuda	..	2.3
Bhutan	1.7	2.2
Bolivia	2.9	3.4
Bosnia and Herzegovina	..	-0.1
Botswana	0.3	2.4
Brazil	3.5	3.3
Brunei Darussalam	4.2	1.1
Bulgaria	-0.7	-1.6
Burkina Faso	5.8	3.2
Burundi	-1.9	-0.5
Cabo Verde	11.5	2.3
Cambodia	3.8	3.8
Cameroon	4.7	3.7
Canada	..	2.7
Cayman Islands	..	3.6
Central African Republic	..	-5.1
Chad	..	2.9
Channel Islands	..	..
Chile	5	3.5
China	4	4.1
Hong Kong SAR, China	..	-3.1
Macao SAR, China	..	..
Colombia	1.4	2.6
Comoros	1.6	2.1
Congo, Dem. Rep.	1.4	2.9
Congo, Rep.	-0.6	5.1
Costa Rica	5.2	2.1
Cote d'Ivoire	..	3.1
Croatia	1.1	-1.8
Cuba	-2.9	0.8
Curacao	..	..
Cyprus	3.4	-2.7
Czech Republic	-1.5	0.4
Denmark	4.9	-0.5
Djibouti	..	..
Dominica	-1.8	-0.3
Dominican Republic	2.7	4.6
Ecuador	3.6	3.7
Egypt, Arab Rep.	3.1	3.2
El Salvador	-2.4	-0.1
Equatorial Guinea	..	4.5
Eritrea	..	..
Estonia	11.1	2.2
Eswatini	0.9	1.7
Ethiopia	2.6	6.7
Faroe Islands	..	..
Fiji	0.5	0.2
Finland	-0.3	1.8
France	2.2	0.7
French Polynesia	..	..
Gabon	2	3
Gambia, The	2.8	-0.3
Georgia	..	1.4
Germany	-3.6	0.3
Ghana	..	3.6
Greece	0.6	-0.2
Greenland	..	0.6
Grenada	-1.4	3
Guam	..	..
Guatemala	2.8	3
Guinea	4.5	4.7
Guinea-Bissau	..	2.4
Guyana	7.1	-0.3
Haiti	-1.2	0
Honduras	1.2	3.9
Hungary	-0.1	1.4
Iceland	-1.5	0
India	3.2	3.3
Indonesia	2.1	3.8
Iran, Islamic Rep.	3.2	3.1
Iraq	4.7	-4.8
Ireland	-2	1.7
Isle of Man	..	..
Israel	3.7	1.5
Italy	2.1	0.1
Jamaica	-0.5	1.6
Japan	1	-1.7
Jordan	-3.9	5.3
Kazakhstan	-8	3.2
Kenya	1.9	3.1
Kiribati	-3.1	1.8
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.9	1.4
