Country	Male	Female
Afghanistan	22.5	7.2
Albania	42	38.1
Algeria	56.3	29.3
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	46.5	50.8
Armenia	55.8	40.9
Aruba	..	..
Australia	99.9	99.2
Austria	97.9	98.4
Azerbaijan	29.4	27.7
Bahamas, The	..	..
Bahrain	86.3	75.4
Bangladesh	64.6	35.8
Barbados	..	..
Belarus	80.9	81.3
Belgium	98.4	98.8
Belize	..	..
Benin	48.6	28.6
Bermuda	..	..
Bhutan	..	..
Bolivia	55	53.9
Bosnia and Herzegovina	63.2	54.7
Botswana	56.2	46.8
Brazil	72.8	67.5
British Virgin Islands	..	..
Brunei Darussalam	..	..
Bulgaria	70.6	73.6
Burkina Faso	51.3	34.5
Burundi	..	..
Cabo Verde	..	..
Cambodia	21.8	21.5
Cameroon	39.2	30
Canada	99.6	99.9
Cayman Islands	..	..
Central African Republic	18.1	9.7
Chad	29	14.9
Channel Islands	..	..
Chile	77.8	71.3
China	84	76.4
Hong Kong SAR, China	96	94.7
Macao SAR, China	..	..
Colombia	49.4	42.5
Comoros	..	..
Congo, Dem. Rep.	27.4	24.2
Congo, Rep.	31.2	21
Costa Rica	75.5	60.9
Cote d'Ivoire	46.6	35.6
Croatia	89.8	82.7
Cuba	..	..
Curacao	..	..
Cyprus	87.3	90
Czech Republic	83.6	78.6
Denmark	99.8	100
Djibouti	..	..
Dominica	..	..
Dominican Republic	58.4	54.1
Ecuador	60.2	42.6
Egypt, Arab Rep.	38.7	27
El Salvador	37.6	24.4
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	97.5	98.4
Eswatini	..	..
Ethiopia	40.9	29.1
Faroe Islands	..	..
Fiji	..	..
Finland	100	99.6
France	97	91.3
French Polynesia	..	..
Gabon	63.8	53.7
Gambia, The	..	..
Georgia	58.5	63.6
Germany	99.1	99.2
Ghana	61.8	53.7
Gibraltar	..	..
Greece	86.4	84.5
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	46.4	42.1
Guinea	27.3	19.7
Guinea-Bissau	..	..
Guyana	..	..
Haiti	35.4	30
Honduras	50.2	41
Hungary	78.2	72.2
Iceland	..	..
India	83	76.6
Indonesia	46.2	51.4
Iran, Islamic Rep.	96.5	91.6
Iraq	25.8	19.5
Ireland	95.4	95.3
Isle of Man	..	..
Israel	91.9	93.7
Italy	96.1	91.6
Jamaica	..	..
Japan	98.5	98.1
Jordan	56.3	26.6
Kazakhstan	56.9	60.3
Kenya	85.8	77.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	95	94.7
Kosovo	61.1	43.7
Kuwait	83.3	73.5
Kyrgyz Republic	41.2	38.9
Lao PDR	26.1	31.9
Latvia	94.1	92.5
Lebanon	56.7	32.9
Lesotho	44.6	46.5
Liberia	43.7	28.2
Libya	70.7	59.6
Liechtenstein	..	..
Lithuania	85.1	81
Luxembourg	99.3	98.2
North Macedonia	80.4	72.9
Madagascar	19.6	16.3
Malawi	37.9	29.8
Malaysia	87.9	82.5
Maldives	..	..
Mali	45.5	25.7
Malta	97.8	97
Marshall Islands	..	..
Mauritania	26.3	15.5
Mauritius	92.7	87.1
Mexico	41.1	33.3
Micronesia, Fed. Sts.	..	..
Moldova	42.9	44.6
Monaco	..	..
Mongolia	90.8	95
Montenegro	69.2	67.6
Morocco	41.5	16.8
Mozambique	51.1	32.9
Myanmar	26	26
Namibia	80.6	80.7
Nauru	..	..
Nepal	50	41.6
Netherlands	99.4	99.8
New Caledonia	..	..
New Zealand	99	99.3
Nicaragua	37.4	24.8
Niger	19.9	10.9
Nigeria	51.4	27.3
Northern Mariana Islands	..	..
Norway	99.5	100
Oman	..	..
Pakistan	34.6	7
Palau	..	..
Panama	50.9	42.3
Papua New Guinea	..	..
Paraguay	51.2	46
Peru	51	34.4
Philippines	30	38.9
Poland	85.4	88
Portugal	94.2	90.6
Puerto Rico	..	..
Qatar	..	..
Romania	62.4	53.6
Russian Federation	75.3	76.1
Rwanda	55.7	45
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	80.5	58.2
Senegal	46.7	38.4
Serbia	72.9	70.1
Seychelles	..	..
Sierra Leone	24.8	15.4
Singapore	99.7	96.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	85.3	83.1
Slovenia	98.2	96.9
Solomon Islands	..	..
Somalia	..	..
South Africa	68.4	70
South Sudan	12.5	4.7
Spain	95.9	91.6
Sri Lanka	73.9	73.4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Sweden	99.5	100
Switzerland	98	98.9
Syrian Arab Republic	..	..
Tajikistan	52.1	42.1
Tanzania	51.6	42.2
Thailand	83.7	79.8
Timor-Leste	..	..
Togo	53	37.6
Tonga	..	..
Trinidad and Tobago	88.2	73.6
Tunisia	45.7	28.4
Turkey	83	54.3
Turkmenistan	45.7	35.5
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	66.1	52.7
Ukraine	65	61.3
United Arab Emirates	92.7	76.4
United Kingdom	96.7	96.1
United States	93.6	92.7
Uruguay	67.6	60.6
Uzbekistan	38.3	36
Vanuatu	..	..
Venezuela, RB	77.3	70
Vietnam	31.2	30.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	34.4	15.9
Yemen, Rep.	..	..
Zambia	51.7	40.3
Zimbabwe	59.2	51.7
World	72.3	64.8
East Asia & Pacific	75.9	71.5
Europe & Central Asia	83.7	79.4
Latin America & Caribbean	58.6	52
Middle East & North Africa	56.8	38
North America	94.2	93.4
South Asia	74.8	64.1
Sub-Saharan Africa	48.4	36.9
Low income	40	29.9
Lower middle income	62.7	53
Upper middle income	77	69.3
High income	94.5	92.9
