Country	Survey Year	Trade
Afghanistan	2014	8.1
Albania	2019	1.1
Algeria	2007	14.1
American Samoa	..	..
Andorra	..	..
Angola	2010	6.7
Antigua and Barbuda	2010	6.4
Argentina	2017	6.5
Armenia	2013	7.3
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	1.9
Bahamas, The	2010	6.1
Bahrain	..	..
Bangladesh	2013	7
Barbados	2010	6.5
Belarus	2018	1.4
Belgium	..	..
Belize	2010	6.2
Benin	2016	17.9
Bermuda	..	..
Bhutan	2015	12.7
Bolivia	2017	9.7
Bosnia and Herzegovina	2019	1.3
Botswana	2010	6.2
Brazil	2009	16.4
Brunei Darussalam	..	..
Bulgaria	2019	4.8
Burkina Faso	2009	7.4
Burundi	2014	20.6
Cambodia	2016	4.9
Cameroon	2016	6.7
Canada	..	..
Cabo Verde	2009	..
Cayman Islands	..	..
Central African Republic	2011	9.5
Chad	2018	11.9
Channel Islands	..	..
Chile	2010	10.8
China	2012	7.6
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	12.5
Comoros	..	..
Congo, Dem. Rep.	2013	6.3
Congo, Rep.	2009	..
Costa Rica	2010	10
Cote d'Ivoire	2016	19.6
Croatia	2019	2.1
Cuba	..	..
Curacao	..	..
Cyprus	2019	14.1
Czech Republic	2019	3.8
Denmark	..	..
Djibouti	2013	10.4
Dominica	2010	4.8
Dominican Republic	2016	9.4
Ecuador	2017	9.2
Egypt, Arab Rep.	2016	7.5
El Salvador	2016	2.9
Equatorial Guinea	..	..
Eritrea	2009	9.6
Estonia	2019	1.8
Ethiopia	2015	7.7
Faroe Islands	..	..
Fiji	2009	11.6
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	3.8
Gambia, The	2018	4.8
Georgia	2019	2.5
Germany	2005	4.7
Ghana	2013	7.8
Greece	2018	2.4
Greenland	..	..
Grenada	2010	9.3
Guam	..	..
Guatemala	2017	4.5
Guinea	2016	4.3
Guinea-Bissau	2006	5.6
Guyana	2010	11.5
Haiti	..	..
Honduras	2016	3.8
Hungary	2019	1.9
Iceland	..	..
India	2014	5.8
Indonesia	2015	8.3
Iran, Islamic Rep.	..	..
Iraq	2011	11.8
Ireland	2005	2.6
Isle of Man	..	..
Israel	2013	4.6
Italy	2019	5.5
Jamaica	2010	13.1
Japan	..	..
Jordan	2019	4.7
Kazakhstan	2019	9
Kenya	2018	9.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	7.2
Kosovo	2019	2.8
Kuwait	..	..
Kyrgyz Republic	2019	1.8
Lao PDR	2018	7.2
Latvia	2019	2.1
Lebanon	2019	12.3
Lesotho	2016	4
Liberia	2017	10
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	4
Luxembourg	..	..
North Macedonia	2019	4.4
Madagascar	2013	8.6
Malawi	2014	11.4
Malaysia	2015	6.3
Maldives	..	..
Mali	2016	16.5
Malta	2019	3.5
Marshall Islands	..	..
Mauritania	2014	26
Mauritius	2009	10.3
Mexico	2010	7
Micronesia, Fed. Sts.	2009	18.3
Moldova	2019	2.3
Monaco	..	..
Mongolia	2019	4.6
Montenegro	2019	1.3
Morocco	2019	6.7
Mozambique	2018	39.3
Myanmar	2016	10.2
Namibia	2014	8.2
Nepal	2013	8.5
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	5.2
Niger	2017	2.6
Nigeria	2014	6
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	11.4
Palau	..	..
Panama	2010	7.6
Papua New Guinea	2015	..
Paraguay	2017	8.6
Peru	2017	8.4
Philippines	2015	14.5
Poland	2019	3.1
Portugal	2019	13.7
Puerto Rico	..	..
Qatar	..	..
Romania	2013	1.1
Russian Federation	2019	15.6
Rwanda	2019	8
Samoa	2009	10.4
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	7.1
Serbia	2019	1.6
Seychelles	..	..
Sierra Leone	2017	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	2.5
Slovenia	2019	4.7
Solomon Islands	2015	6.3
Somalia	..	..
South Africa	2007	4.5
South Sudan	2014	..
Spain	2005	4.9
Sri Lanka	2011	7.6
St. Kitts and Nevis	2010	6.7
St. Lucia	2010	4.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	4.2
Sudan	2014	..
Suriname	2018	17.7
Eswatini	2016	4.1
Sweden	2014	2.4
Switzerland	..	..
Syrian Arab Republic	2009	5.1
Tajikistan	2019	2.1
Tanzania	2013	12.4
Thailand	2016	1.9
Timor-Leste	2015	6.3
Togo	2016	8.2
Tonga	2009	2.3
Trinidad and Tobago	2010	7.3
Tunisia	2013	3
Turkey	2019	2.6
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	10
Ukraine	2019	3.9
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	2.1
Uzbekistan	2019	3.7
Vanuatu	2009	..
Venezuela, RB	2010	18.4
Vietnam	2015	6.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	5.3
Yemen, Rep.	2013	11.2
Zambia	2019	10.8
Zimbabwe	2016	5.9
