Country	Total (1990)	Total (2019)	Male (2019)	Female (2019)
Afghanistan	178	60	64	57
Albania	41	10	11	9
Algeria	50	23	25	22
American Samoa	..	..	..	..
Andorra	13	3	3	3
Angola	222	75	80	69
Antigua and Barbuda	14	7	7	6
Argentina	29	9	10	8
Armenia	49	12	13	11
Aruba	..	..	..	..
Australia	9	4	4	3
Austria	10	4	4	3
Azerbaijan	95	20	22	18
Bahamas, The	24	13	14	12
Bahrain	23	7	7	7
Bangladesh	144	31	33	29
Barbados	18	13	14	12
Belarus	15	3	4	3
Belgium	10	3	4	3
Belize	38	12	14	11
Benin	175	90	96	84
Bermuda	..	..	..	..
Bhutan	127	29	31	26
Bolivia	122	26	29	23
Bosnia and Herzegovina	18	6	6	5
Botswana	48	42	45	38
Brazil	63	14	16	12
Brunei Darussalam	13	11	13	10
Bulgaria	18	7	7	6
Burkina Faso	199	88	92	83
Burundi	174	57	61	52
Cabo Verde	61	15	16	13
Cambodia	116	27	30	23
Cameroon	136	75	81	69
Canada	8	5	5	5
Cayman Islands	..	..	..	..
Central African Republic	177	110	116	104
Chad	212	114	120	107
Channel Islands	..	..	..	..
Chile	19	7	8	6
China	54	8	8	7
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	35	14	15	12
Comoros	124	63	68	58
Congo, Dem. Rep.	185	85	91	78
Congo, Rep.	90	48	52	44
Costa Rica	17	9	9	8
Cote d'Ivoire	152	79	87	71
Croatia	13	5	5	4
Cuba	14	5	6	5
Curacao	..	..	..	..
Cyprus	11	2	3	2
Czech Republic	12	3	4	3
Denmark	9	4	4	3
Djibouti	118	58	62	52
Dominica	17	35	39	34
Dominican Republic	60	28	31	25
Ecuador	54	14	16	12
Egypt, Arab Rep.	86	20	22	19
El Salvador	60	13	15	12
Equatorial Guinea	178	82	88	76
Eritrea	153	41	46	35
Estonia	18	2	3	2
Eswatini	67	49	54	45
Ethiopia	200	51	56	45
Faroe Islands	..	..	..	..
Fiji	29	26	28	23
Finland	7	2	3	2
France	9	5	5	4
French Polynesia	..	..	..	..
Gabon	92	43	47	38
Gambia, The	167	52	56	47
Georgia	48	10	11	9
Germany	9	4	4	4
Ghana	127	46	51	41
Greece	10	4	4	3
Greenland	..	..	..	..
Grenada	22	17	18	15
Guam	..	..	..	..
Guatemala	80	25	27	22
Guinea	231	99	105	93
Guinea-Bissau	221	79	85	72
Guyana	60	29	33	25
Haiti	145	63	68	57
Honduras	58	17	19	15
Hungary	17	4	4	3
Iceland	7	2	2	2
India	126	34	34	35
Indonesia	84	24	26	21
Iran, Islamic Rep.	56	14	15	13
Iraq	54	26	28	23
Ireland	9	3	4	3
Isle of Man	..	..	..	..
Israel	12	4	4	3
Italy	10	3	3	3
Jamaica	30	14	16	12
Japan	6	3	3	2
Jordan	36	16	17	14
Kazakhstan	52	11	12	9
Kenya	102	43	47	39
Kiribati	96	51	56	46
Korea, Dem. Peopleâ€™s Rep.	43	17	19	15
Korea, Rep.	15	3	4	3
Kosovo	..	..	..	..
Kuwait	18	8	9	7
Kyrgyz Republic	65	18	20	16
Lao PDR	153	46	50	41
Latvia	17	4	4	3
Lebanon	32	7	8	7
Lesotho	85	86	94	79
Liberia	263	85	91	78
Libya	42	12	13	10
Liechtenstein	..	..	..	..
Lithuania	15	4	4	3
Luxembourg	9	3	3	3
Madagascar	157	51	55	46
Malawi	243	42	46	37
Malaysia	17	9	9	8
Maldives	86	8	8	7
Mali	230	94	99	88
Malta	11	7	8	6
Marshall Islands	49	32	35	28
Mauritania	118	73	79	67
Mauritius	23	16	18	14
Mexico	45	14	16	13
Micronesia, Fed. Sts.	55	29	32	26
Moldova	33	14	16	13
Monaco	8	3	3	3
Mongolia	108	16	18	14
Montenegro	17	2	3	2
Morocco	79	21	24	19
Mozambique	243	74	79	70
Myanmar	115	45	49	40
Namibia	72	42	46	39
Nepal	140	31	33	29
Netherlands	8	4	4	4
New Caledonia	..	..	..	..
New Zealand	11	5	5	4
Nicaragua	67	17	19	15
Niger	329	80	84	77
Nigeria	210	117	124	110
North Macedonia	36	6	7	6
Northern Mariana Islands	..	..	..	..
Norway	9	2	3	2
Oman	39	11	13	10
Pakistan	140	67	72	63
Palau	35	17	19	15
Panama	31	15	16	13
Papua New Guinea	85	45	49	41
Paraguay	45	19	21	17
Peru	80	13	14	12
Philippines	57	27	30	24
Poland	17	4	5	4
Portugal	15	4	4	3
Puerto Rico	..	..	..	..
Qatar	21	7	7	6
Romania	31	7	8	6
Russian Federation	22	6	6	5
Rwanda	150	34	38	31
Samoa	30	15	16	14
San Marino	14	2	2	2
Sao Tome and Principe	108	30	33	27
Saudi Arabia	44	7	7	6
Senegal	139	45	49	41
Serbia	28	5	6	5
Seychelles	16	14	15	13
Sierra Leone	260	109	115	103
Singapore	8	3	3	2
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	15	6	6	5
Slovenia	10	2	2	2
Solomon Islands	38	20	21	18
Somalia	178	117	123	111
South Africa	57	35	37	31
South Sudan	250	96	101	92
Spain	9	3	3	3
Sri Lanka	22	7	8	7
St. Kitts and Nevis	31	15	17	14
St. Lucia	22	22	24	20
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	24	15	16	13
Sudan	131	58	63	53
Suriname	45	18	20	16
Sweden	7	3	3	2
Switzerland	8	4	4	4
Syrian Arab Republic	37	22	23	20
Tajikistan	102	34	38	30
Tanzania	165	50	54	47
Thailand	37	9	10	8
Timor-Leste	175	44	48	40
Togo	145	67	72	61
Tonga	22	17	15	18
Trinidad and Tobago	30	18	19	16
Tunisia	55	17	18	15
Turkey	74	10	11	9
Turkmenistan	80	42	48	36
Turks and Caicos Islands	..	..	..	..
Tuvalu	53	24	26	22
Uganda	182	46	51	41
Ukraine	19	8	9	8
United Arab Emirates	17	8	8	7
United Kingdom	9	4	5	4
United States	11	7	7	6
Uruguay	23	7	8	6
Uzbekistan	72	17	20	15
Vanuatu	35	26	28	24
Venezuela, RB	30	24	26	22
Vietnam	51	20	23	17
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	45	19	21	18
Yemen, Rep.	126	58	62	54
Zambia	180	62	66	57
Zimbabwe	77	55	59	50
World	93	38	40	36
East Asia & Pacific	57	14	16	13
Europe & Central Asia	31	8	9	7
Latin America & Caribbean	55	16	18	15
Middle East & North Africa	65	22	23	20
North America	11	6	7	6
South Asia	130	40	41	40
Sub-Saharan Africa	179	76	81	70
Low income	183	68	73	62
Lower middle income	124	49	51	47
Upper middle income	55	13	14	12
High income	13	5	6	5
