Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018	Tertiary_1999	Tertiary_2018
Afghanistan	..	10.3	..	11.3	..	..
Albania	..	34.2	..	8	..	13.8
Algeria	12.2	..	21.1	..	..	..
American Samoa	..	..	..	..	..	..
Andorra	..	12.3	..	13.9	..	22.3
Angola	..	..	..	..	..	..
Antigua and Barbuda	..	..	..	..	..	..
Argentina	12.4	15	16.6	20.6	17.7	16.9
Armenia	..	10.2	..	..	..	9.9
Aruba	11.6	..	18.6	..	31.5	100.2
Australia	16.7	19.3	..	15	..	17.8
Austria	24.4	23.5	29.3	27.7	51.6	36.2
Azerbaijan	..	..	..	..	..	19.4
Bahamas, The	..	..	..	..	..	..
Bahrain	..	..	..	..	..	..
Bangladesh	..	..	10	9.9	40.4	29.9
Barbados	10.6	20.8	17.4	28	53.2	..
Belarus	..	..	..	35.7	..	17.9
Belgium	..	21.9	..	..	..	32.2
Belize	16.9	16.6	18	27.3	..	27.3
Benin	10.9	..	22.2	..	192.5	..
Bermuda	..	..	..	..	..	23.9
Bhutan	..	..	..	..	..	..
Bolivia	..	..	..	..	..	..
Bosnia and Herzegovina	..	..	..	43.5	..	23.7
Botswana	..	..	..	..	..	..
Brazil	10.6	..	..	..	56.2	..
Brunei Darussalam	..	8.9	..	23.6	..	31.9
Bulgaria	12.3	..	14	..	12.5	..
Burkina Faso	..	..	..	19.9	..	351.5
Burundi	12	..	53.3	..	1033.4	..
Cabo Verde	..	16.7	..	19.7	..	38.3
Cambodia	5.6	..	10.8	..	..	..
Cameroon	..	..	..	..	..	..
Canada	..	..	..	..	42.9	31.4
Cayman Islands	..	..	..	..	..	..
Central African Republic	..	..	..	..	..	..
Chad	9.4	..	29.4	..	442.7	..
Channel Islands	..	..	..	..	..	..
Chile	13.9	18.4	14.3	18.7	18.6	20.3
China	5.9	..	11.4	..	89.1	..
Hong Kong SAR, China	12.2	14.8	..	22	..	24.2
Macao SAR, China	7.5	..	10.1	..	53.5	19.1
Colombia	15.2	17	16	17.6	37.6	21.6
Comoros	5.5	..	..	..	..	..
Congo, Dem. Rep.	..	..	..	..	..	..
Congo, Rep.	..	..	..	..	..	..
Costa Rica	17.5	20.8	24.1	21.1	..	37.5
Cote d'Ivoire	14.3	13.3	41.4	18.8	141.2	150.2
Croatia	..	..	..	..	35	..
Cuba	25	..	37.1	..	77.7	..
