Country	Ages 0-14	Ages 15-64	Ages 65+
Afghanistan	42	55	3
Albania	17	68	14
Algeria	31	63	7
American Samoa	..	..	..
Andorra	..	..	..
Angola	47	51	2
Antigua and Barbuda	22	69	9
Argentina	25	64	11
Armenia	21	68	11
Aruba	18	68	14
Australia	19	65	16
Austria	14	67	19
Azerbaijan	23	70	6
Bahamas, The	22	70	7
Bahrain	19	79	3
Bangladesh	27	68	5
Barbados	17	67	16
Belarus	17	68	15
Belgium	17	64	19
Belize	30	65	5
Benin	42	55	3
Bermuda	..	..	..
Bhutan	25	69	6
Bolivia	31	62	7
Bosnia and Herzegovina	15	68	17
Botswana	34	62	4
Brazil	21	70	9
Brunei Darussalam	23	72	5
Bulgaria	15	64	21
Burkina Faso	45	53	2
Burundi	45	52	2
Cabo Verde	28	67	5
Cambodia	31	64	5
Cameroon	42	55	3
Canada	16	67	18
Cayman Islands	..	..	..
Central African Republic	44	53	3
Chad	47	51	2
Channel Islands	15	67	18
Chile	19	69	12
China	18	71	11
Hong Kong SAR, China	12	70	17
Macao SAR, China	14	75	11
Colombia	23	69	9
Comoros	39	58	3
Congo, Dem. Rep.	46	51	3
Congo, Rep.	42	56	3
Costa Rica	21	69	10
Cote d'Ivoire	42	55	3
Croatia	15	65	21
Cuba	16	68	16
Curacao	18	64	17
Cyprus	17	69	14
Czech Republic	16	64	20
Denmark	16	64	20
Djibouti	29	66	5
Dominica	..	..	..
Dominican Republic	28	65	7
Ecuador	28	65	7
Egypt, Arab Rep.	34	61	5
El Salvador	27	65	8
Equatorial Guinea	37	61	2
Eritrea	..	..	..
Estonia	16	64	20
Eswatini	38	58	4
Ethiopia	40	56	4
Faroe Islands	..	..	..
Fiji	29	65	6
Finland	16	62	22
France	18	62	20
French Polynesia	23	69	9
Gabon	37	59	4
Gambia, The	44	53	3
Georgia	20	65	15
Germany	14	65	22
Ghana	37	60	3
Greece	14	64	22
Greenland	..	..	..
Grenada	24	67	10
Guam	24	66	10
Guatemala	34	61	5
Guinea	43	54	3
Guinea-Bissau	42	55	3
Guyana	28	65	7
Haiti	33	62	5
Honduras	31	64	5
Hungary	14	66	20
Iceland	20	65	15
India	27	67	6
Indonesia	26	68	6
Iran, Islamic Rep.	25	69	6
Iraq	38	59	3
Ireland	21	65	14
Isle of Man	..	..	..
Israel	28	60	12
Italy	13	64	23
Jamaica	24	68	9
Japan	13	59	28
Jordan	34	63	4
Kazakhstan	29	63	8
Kenya	39	58	2
Kiribati	36	60	4
Korea, Dem. Peopleâ€™s Rep.	20	71	9
Korea, Rep.	13	72	15
Kosovo	..	..	..
Kuwait	22	76	3
Kyrgyz Republic	33	63	5
Lao PDR	32	64	4
Latvia	16	63	20
Lebanon	26	67	7
Lesotho	32	63	5
Liberia	41	56	3
Libya	28	67	4
Liechtenstein	..	..	..
Lithuania	15	65	20
Luxembourg	16	70	14
Madagascar	40	57	3
Malawi	43	54	3
Malaysia	24	69	7
Maldives	20	76	4
Mali	47	50	2
Malta	14	65	21
Marshall Islands	..	..	..
Mauritania	40	57	3
Mauritius	17	71	12
Mexico	26	66	7
Micronesia, Fed. Sts.	31	64	4
Moldova	16	72	12
Monaco	..	..	..
Mongolia	31	65	4
Montenegro	18	66	15
Morocco	27	66	7
Mozambique	44	53	3
Myanmar	26	68	6
Namibia	37	59	4
Nepal	30	65	6
Netherlands	16	65	20
New Caledonia	22	68	9
New Zealand	20	64	16
Nicaragua	30	65	5
Niger	50	48	3
Nigeria	44	54	3
North Macedonia	16	70	14
Northern Mariana Islands	..	..	..
Norway	17	65	17
Oman	22	75	2
Pakistan	35	61	4
Palau	..	..	..
Panama	27	65	8
Papua New Guinea	35	61	4
Paraguay	29	64	7
Peru	25	66	8
Philippines	30	64	5
Poland	15	67	18
Portugal	13	64	22
Puerto Rico	16	64	20
Qatar	14	85	2
Romania	16	66	19
Russian Federation	18	67	15
Rwanda	40	57	3
Samoa	38	57	5
San Marino	..	..	..
Sao Tome and Principe	42	55	3
Saudi Arabia	25	72	3
Senegal	43	54	3
Serbia	16	66	19
Seychelles	24	68	8
Sierra Leone	41	56	3
Singapore	12	75	12
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	16	68	16
Slovenia	15	65	20
Solomon Islands	40	56	4
Somalia	46	51	3
South Africa	29	66	5
South Sudan	42	55	3
Spain	15	66	20
Sri Lanka	24	65	11
St. Kitts and Nevis	..	..	..
St. Lucia	18	72	10
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	22	68	10
Sudan	40	56	4
Suriname	27	66	7
Sweden	18	62	20
Switzerland	15	66	19
Syrian Arab Republic	31	64	5
Tajikistan	37	60	3
Tanzania	44	54	3
Thailand	17	71	12
Timor-Leste	37	58	4
Togo	41	56	3
Tonga	35	59	6
Trinidad and Tobago	20	69	11
Tunisia	24	67	9
Turkey	24	67	9
Turkmenistan	31	65	5
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	47	52	2
Ukraine	16	67	17
United Arab Emirates	15	84	1
United Kingdom	18	64	19
United States	19	65	16
Uruguay	20	65	15
Uzbekistan	29	67	5
Vanuatu	39	58	4
Venezuela, RB	27	65	8
Vietnam	23	69	8
Virgin Islands (U.S.)	19	61	20
West Bank and Gaza	39	58	3
Yemen, Rep.	39	58	3
Zambia	44	53	2
Zimbabwe	42	55	3
World	26	65	9
East Asia & Pacific	20	69	11
Europe & Central Asia	18	65	17
