Country	Total	per capita	Grants	Technical cooperation
Afghanistan	3789	102	3322	300
Albania	343,00	120,00	181,00	94,00
Algeria	144,00	3,00	80,00	178,00
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	159	5	139	47
Antigua and Barbuda	17,00	174,00	3,00	1,00
Argentina	71,00	2,00	30,00	46,00
Armenia	139	47	112	45
Aruba	..	..	..	..
Australia	..	..	..	..
Austria	..	..	..	..
Azerbaijan	84,00	8,00	46,00	43,00
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	3.040,00	19,00	1.330,00	197,00
Barbados	..	..	..	..
Belarus	117	12	56	65
Belgium	..	..	..	..
Belize	33	87	17	4
Benin	570	50	328	82
Bermuda	..	..	..	..
Bhutan	100	133	49	18
Bolivia	727,00	64,00	237,00	71,00
Bosnia and Herzegovina	352	106	226	68
Botswana	82,00	37,00	70,00	13,00
Brazil	429,00	2,00	242,00	181,00
Brunei Darussalam	..	..	..	..
Bulgaria	..	..	..	..
Burkina Faso	1111	56	721	107
Burundi	450	40	380	26
Cabo Verde	83,00	153,00	43,00	26,00
Cambodia	769,00	47,00	448,00	121,00
Cameroon	1.164,00	46,00	469,00	145,00
Canada	..	..	..	..
Cayman Islands	..	..	..	..
Central African Republic	656,00	141,00	487,00	23,00
Chad	875	57	555	17
Channel Islands	..	..	..	..
Chile	..	..	..	..
China	-737,00	-1,00	192,00	516,00
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	1.763,00	36,00	741,00	160,00
Comoros	87,00	104,00	52,00	18,00
Congo, Dem. Rep.	2.510,00	30,00	2.241,00	113,00
Congo, Rep.	144,00	28,00	81,00	25,00
Costa Rica	94	19	26	24
Cote d'Ivoire	954	38	727	93
Croatia	..	..	..	..
Cuba	747,00	66,00	511,00	23,00
Curacao	..	..	..	..
Cyprus	..	..	..	..
Czech Republic	..	..	..	..
Denmark	..	..	..	..
Djibouti	177,00	185,00	120,00	13,00
Dominica	27,00	372,00	28,00	1,00
Dominican Republic	87,00	8,00	105,00	25,00
Ecuador	396,00	23,00	122,00	57,00
Egypt, Arab Rep.	2.064,00	21,00	345,00	225,00
El Salvador	249,00	39,00	264,00	29,00
Equatorial Guinea	6,00	4,00	7,00	2,00
Eritrea	84,00	..	82,00	5,00
Estonia	..	..	..	..
Ethiopia	4.930,00	45,00	2.366,00	206,00
Faroe Islands	..	..	..	..
Fiji	111	126	66	46
Finland	..	..	..	..
France	..	..	..	..
French Polynesia	..	..	..	..
Gabon	116,00	55,00	20,00	27,00
Gambia, The	233	102	126	34
Georgia	589	158	314	68
Germany	..	..	..	..
Ghana	1067	36	714	132
Greece	..	..	..	..
Greenland	..	..	..	..
Grenada	31,00	275,00	0,00	2,00
Guam	..	..	..	..
Guatemala	394,00	24,00	343,00	58,00
Guinea	591	48	367	58
Guinea-Bissau	152	81	80	16
Guyana	102,00	132,00	44,00	8,00
Haiti	992,00	89,00	790,00	71,00
Honduras	660	69	303	51
Hungary	..	..	..	..
Iceland	..	..	..	..
India	2454	2	689	410
Indonesia	949	4	697	362
Iran, Islamic Rep.	166,00	2,00	65,00	113,00
Iraq	2.300,00	60,00	1.719,00	184,00
Ireland	..	..	..	..
Isle of Man	..	..	..	..
Israel	..	..	..	..
Italy	..	..	..	..
Jamaica	99,00	34,00	97,00	16,00
Japan	..	..	..	..
Jordan	2.524,00	254,00	2.346,00	206,00
Kazakhstan	76,00	4,00	91,00	35,00
Kenya	2.488,00	48,00	1.504,00	145,00
Kiribati	74,00	640,00	51,00	21,00
Korea, Dem. Peopleâ€™s Rep.	121,00	5,00	118,00	4,00
Korea, Rep.	..	..	..	..
Kosovo	345	192	267	79
Kuwait	..	..	..	..
Kyrgyz Republic	414	65	384	52
Lao PDR	565	80	337	108
Latvia	..	..	..	..
Lebanon	1.420,00	207,00	1.202,00	101,00
Lesotho	152	72	133	9
Liberia	571	118	436	33
Libya	303,00	45,00	269,00	35,00
Liechtenstein	..	..	..	..
Lithuania	..	..	..	..
Luxembourg	..	..	..	..
North Macedonia	170	82	134	80
Madagascar	691	26	374	100
Malawi	1271	70	974	90
Malaysia	-38,00	-1,00	26,00	41,00
Maldives	119,00	231,00	73,00	6,00
Mali	1492	78	1034	162
Malta	..	..	..	..
Marshall Islands	54,00	922,00	51,00	3,00
Mauritania	447	102	180	30
Mauritius	67,00	53,00	38,00	17,00
Mexico	540	4	319	120
Micronesia, Fed. Sts.	99,00	877,00	74,00	5,00
Moldova	231,00	85,00	132,00	90,00
Monaco	..	..	..	..
Mongolia	332	105	116	78
Montenegro	155,00	249,00	58,00	10,00
Morocco	812	23	474	297
Mozambique	1.820,00	62,00	1.344,00	148,00
Myanmar	1.688,00	31,00	887,00	219,00
