Country	%_2000	%_2018
Afghanistan	22.9	21
Albania	24.7	24.5
Algeria	47.6	45.2
American Samoa	..	..
Andorra	..	..
Angola	6.2	16.2
Antigua and Barbuda	..	..
Argentina	36.2	28.2
Armenia	14.9	44.6
Aruba	..	..
Australia	11.2	10.7
Austria	5.6	9.4
Azerbaijan	21.2	15.3
Bahamas, The	19.1	28.1
Bahrain	11.6	10.9
Bangladesh	10.4	16.5
Barbados	24.1	30.2
Belarus	18.4	8.4
Belgium	18.3	15.3
Belize	33.5	25.4
Benin	0.7	5.1
Bermuda	..	..
Bhutan	6.1	12
Bolivia	8.1	7
Bosnia and Herzegovina	58.2	45.7
Botswana	35.9	42.9
Brazil	23.4	32.3
British Virgin Islands	..	..
Brunei Darussalam	20.9	29.7
Bulgaria	29.6	11.9
Burkina Faso	3.4	12.1
Burundi	2.1	1.7
Cabo Verde	24	31.6
Cambodia	2.2	1.1
Cameroon	10.2	6.3
Canada	11.4	9.6
Cayman Islands	..	..
Central African Republic	6	5.4
Chad	1	2.6
Channel Islands	16.3	15.3
Chile	30.8	20
China	6	9.1
Colombia	44.5	24.4
Comoros	8.5	8.5
Congo, Dem. Rep.	3.7	6.1
Congo, Rep.	38.8	21
Costa Rica	14.5	32.2
Cote d'Ivoire	5.6	6.1
Croatia	41.3	29.4
Cuba	11.9	4.2
Curacao	..	..
Cyprus	13.6	15.7
Czech Republic	16.5	7.2
Denmark	7	8.2
Djibouti	16.9	20.1
Dominica	..	..
Dominican Republic	20.7	19.7
Ecuador	12.6	10.4
Egypt, Arab Rep.	45.2	40
El Salvador	8.2	11.6
Equatorial Guinea	12.1	11.5
Eritrea	8.2	8.3
Estonia	19.6	11.4
Eswatini	54.3	49
Ethiopia	6.8	4.2
Faroe Islands	..	..
Fiji	14.3	22.4
Finland	30.9	16.8
France	22.5	19.9
French Polynesia	39.7	42.1
Gabon	42.5	42.1
Gambia, The	17.2	16.8
Georgia	20.4	34.1
Germany	7.4	5.1
Ghana	16.4	8.4
Gibraltar	..	..
Greece	38.2	43.9
Greenland	..	..
Grenada	..	..
Guam	30.6	13.9
Guatemala	5.2	8.1
Guinea	4.7	4.3
Guinea-Bissau	3.6	3.4
Guyana	31.6	28
Haiti	23.1	38.2
Honduras	8.5	16
Hong Kong SAR, China	10.2	7.9
Hungary	10.4	10.7
Iceland	3.8	5.5
India	16.9	24.3
Indonesia	19.3	16.4
Iran, Islamic Rep.	32.7	42.3
Iraq	19.2	62.8
Ireland	6.7	12.7
Isle of Man	..	..
Israel	17.4	7.4
Italy	35.7	34.8
Jamaica	43.5	30.8
Japan	7.9	3.1
Jordan	46.6	55.7
Kazakhstan	25.2	3.9
Kenya	6.5	7.3
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	5.7	5.5
Korea, Rep.	8.6	10.1
Kosovo	..	..
Kuwait	8.3	28.4
Kyrgyz Republic	13.4	22.7
Lao PDR	3.7	1.6
Latvia	21.7	11.8
Lebanon	19.7	21.3
Lesotho	59.2	40.5
Liberia	3.7	2
Libya	61.5	68.9
Liechtenstein	..	..
Lithuania	27.3	10.1
Luxembourg	7.3	11.8
Macao SAR, China	7.2	4
Madagascar	7	2.8
Malawi	8.5	8
Malaysia	10	11.9
Maldives	5.1	11.3
Mali	8.3	17
Malta	10.5	6.9
Marshall Islands	..	..
Mauritania	15.3	16.5
Mauritius	29.4	30.8
Mexico	6.2	7.6
Micronesia, Fed. Sts.	..	..
Moldova	15.4	7.2
Monaco	..	..
Mongolia	9.7	21.2
Montenegro	64	23.6
Morocco	17	22.8
Mozambique	3.9	6.7
Myanmar	1.5	4.7
Namibia	42.8	38.5
Nauru	..	..
Nepal	2	1.7
Netherlands	5.9	6.7
New Caledonia	46.9	36.3
New Zealand	12.4	10.8
Nicaragua	14.4	14.4
Niger	1.9	0.4
Nigeria	8.7	18.1
North Macedonia	61.1	43.2
Northern Mariana Islands	..	..
Norway	11.2	8.6
Oman	15	33.5
Pakistan	0.7	6.8
Palau	..	..
Panama	10.6	15.4
Papua New Guinea	4.4	3.3
Paraguay	22	12.1
Peru	8.7	8.4
Philippines	12	8.1
Poland	37.1	12
Portugal	11.8	20.8
Puerto Rico	15.9	16.7
Qatar	10.4	1.8
Romania	15.8	16.3
Russian Federation	22.2	18
Rwanda	0.9	2.1
Samoa	14.2	22.3
San Marino	..	..
Sao Tome and Principe	26.6	31.5
Saudi Arabia	33	62.7
Senegal	11.8	8.7
Serbia	30	31.8
Seychelles	..	..
Sierra Leone	3.5	5.6
Singapore	9.7	12.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	33.3	16.1
Slovenia	18.4	9.5
Solomon Islands	3.5	1.4
Somalia	17.8	16.7
South Africa	59	59.2
South Sudan	17.9	17.5
Spain	32.2	33.3
Sri Lanka	30.7	29.4
St. Kitts and Nevis	..	..
St. Lucia	38	51.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	41.3	43.9
Sudan	29	42.9
Suriname	52	21.6
Sweden	7.9	15.5
Switzerland	4.1	7.4
Syrian Arab Republic	31	46.6
Tajikistan	25.9	20.3
Tanzania	5.3	4.3
Thailand	6.2	4.7
Timor-Leste	12.5	15.1
Togo	7.4	3.6
Tonga	13.6	6.7
Trinidad and Tobago	8.2	6.1
Tunisia	27.6	38.3
Turkey	11.9	24.6
Turkmenistan	18.5	5.6
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	5.3	3
Ukraine	20.7	19.4
United Arab Emirates	6.3	13.1
United Kingdom	10.3	10.2
United States	8.8	7.6
Uruguay	34.6	30.8
