Country	%
Afghanistan	57
Albania	65
Algeria	82
American Samoa	..
Andorra	..
Angola	82
Antigua and Barbuda	..
Argentina	..
Armenia	99
Aruba	..
Australia	..
Austria	..
Azerbaijan	93
Bahamas, The	..
Bahrain	..
Bangladesh	68
Barbados	..
Belarus	..
Belgium	..
Belize	85
Benin	85
Bermuda	..
Bhutan	..
Bolivia	86
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	..
Burundi	89
Cabo Verde	..
Cambodia	68
Cameroon	86
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	77
Channel Islands	..
Chile	..
China	96
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	82
Congo, Rep.	91
Costa Rica	..
Cote d'Ivoire	80
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	..
Egypt, Arab Rep.	93
El Salvador	..
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	90
Ethiopia	86
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	69
Georgia	..
Germany	..
Ghana	64
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	73
Guinea-Bissau	26
Guyana	43
Haiti	8
Honduras	..
Hungary	..
Iceland	..
India	93
Indonesia	92
Iran, Islamic Rep.	..
Iraq	68
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	..
Kazakhstan	94
Kenya	95
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	99
Lao PDR	94
Latvia	..
Lebanon	..
Lesotho	85
Liberia	91
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	..
Malawi	78
Malaysia	..
Maldives	..
Mali	90
Malta	..
Marshall Islands	..
Mauritania	8
Mauritius	..
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	80
Montenegro	..
Morocco	..
Mozambique	..
Myanmar	81
Namibia	74
Nepal	94
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	59
Nigeria	..
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	88
Pakistan	..
Palau	..
Panama	..
Papua New Guinea	..
Paraguay	..
Peru	89
Philippines	52
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	91
Samoa	96
San Marino	..
Sao Tome and Principe	91
Saudi Arabia	..
Senegal	62
Serbia	..
Seychelles	..
Sierra Leone	85
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	88
Somalia	..
South Africa	91
South Sudan	..
Spain	..
Sri Lanka	95
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	34
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	91
Tanzania	76
Thailand	85
Timor-Leste	84
Togo	77
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	100
Turks and Caicos Islands	..
Tuvalu	..
Uganda	91
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	..
Vanuatu	63
Venezuela, RB	..
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	88
Yemen, Rep.	49
Zambia	88
Zimbabwe	..
World	..
East Asia & Pacific	92
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	89
Sub-Saharan Africa	80
Low income	75
Lower middle income	87
Upper middle income	..
High income	..
