Country	Imports (2010)	Imports (2019)
Afghanistan	19	8
Albania	11	10
Algeria	67	60
American Samoa	..	..
Andorra	..	..
Angola	73	49
Antigua and Barbuda	22	52
Argentina	35	36
Armenia	13	8
Aruba	43	45
Australia	27	27
Austria	35	48
Azerbaijan	56	47
Bahamas, The	33	41
Bahrain	11	10
Bangladesh	8	17
Barbados	62	65
Belarus	28	43
Belgium	46	54
Belize	21	25
Benin	22	25
Bermuda	29	42
Bhutan	28	42
Bolivia	18	34
Bosnia and Herzegovina	27	18
Botswana	49	55
Brazil	48	53
Brunei Darussalam	22	52
Bulgaria	44	27
Burkina Faso	35	28
Burundi	14	14
Cabo Verde	16	40
Cambodia	24	13
Cameroon	46	29
Canada	37	38
Cayman Islands	..	31
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	26	39
China	3	26
Hong Kong SAR, China	46	34
Macao SAR, China	43	44
Colombia	28	22
Comoros	6	16
Congo, Dem. Rep.	19	26
Congo, Rep.	66	16
Costa Rica	25	32
Cote d'Ivoire	20	30
Croatia	49	44
Cuba	..	..
Curacao	49	43
Cyprus	21	37
Czech Republic	45	49
Denmark	31	39
Djibouti	14	3
Dominica	21	50
Dominican Republic	12	25
Ecuador	14	15
Egypt, Arab Rep.	21	30
El Salvador	22	20
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	42	39
Eswatini	74	63
Ethiopia	25	20
Faroe Islands	57	..
Fiji	13	21
Finland	59	62
France	50	55
French Polynesia	27	24
Gabon	34	..
Gambia, The	27	2
Georgia	11	12
Germany	39	50
Ghana	25	70
Greece	22	18
Greenland	..	..
Grenada	22	46
Guam	..	..
Guatemala	18	19
Guinea	32	38
Guinea-Bissau	38	22
Guyana	39	54
Haiti	10	18
Honduras	10	22
Hungary	60	59
Iceland	45	36
India	58	61
Indonesia	35	37
Iran, Islamic Rep.	..	..
Iraq	3	5
Ireland	78	88
Isle of Man	..	..
Israel	46	46
Italy	43	43
Jamaica	37	44
Japan	48	65
Jordan	7	5
Kazakhstan	67	52
Kenya	30	43
Kiribati	12	19
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	46	51
Kosovo	47	26
Kuwait	18	33
Kyrgyz Republic	25	13
Lao PDR	8	5
Latvia	34	43
Lebanon	41	26
Lesotho	14	11
Liberia	82	19
Libya	4	1
Liechtenstein	..	..
Lithuania	16	27
Luxembourg	28	40
Madagascar	52	33
Malawi	24	30
Malaysia	35	39
Maldives	16	39
Mali	23	25
Malta	56	66
Marshall Islands	26	0
Mauritania	57	57
Mauritius	44	37
Mexico	17	10
Micronesia, Fed. Sts.	28	..
Moldova	22	28
Monaco	..	..
Mongolia	25	33
Montenegro	53	47
Morocco	28	28
Mozambique	45	78
Myanmar	33	50
Namibia	65	55
Nepal	16	14
Netherlands	64	68
New Caledonia	56	56
New Zealand	37	35
Nicaragua	24	16
Niger	20	30
Nigeria	26	44
North Macedonia	46	49
Northern Mariana Islands	..	..
Norway	41	41
Oman	31	30
Pakistan	25	39
Palau	30	18
Panama	9	21
Papua New Guinea	61	68
Paraguay	2	2
Peru	28	29
Philippines	15	30
Poland	45	50
Portugal	38	40
Puerto Rico	..	..
Qatar	18	20
Romania	54	49
Russian Federation	42	44
Rwanda	3	11
Samoa	34	49
San Marino	..	..
Sao Tome and Principe	1	34
Saudi Arabia	28	32
Senegal	24	23
Serbia	41	44
Seychelles	30	55
Sierra Leone	43	38
Singapore	47	49
Sint Maarten (Dutch part)	41	58
Slovak Republic	37	44
Slovenia	44	51
Solomon Islands	43	44
Somalia	..	..
South Africa	30	33
South Sudan	..	29
Spain	74	47
Sri Lanka	13	13
St. Kitts and Nevis	33	51
St. Lucia	26	54
St. Martin (French part)	..	..
St. Vincent and the Grenadines	18	30
Sudan	2	18
Suriname	50	77
Sweden	50	58
Switzerland	60	66
Syrian Arab Republic	6	..
Tajikistan	12	17
Tanzania	12	21
Thailand	35	37
Timor-Leste	77	42
Togo	15	15
Tonga	18	26
Trinidad and Tobago	27	57
Tunisia	20	14
Turkey	18	40
Turkmenistan	..	..
Turks and Caicos Islands	..	1
Tuvalu	50	..
Uganda	19	31
Ukraine	26	22
United Arab Emirates	..	..
United Kingdom	42	52
United States	37	40
Uruguay	22	41
Uzbekistan	..	6
Vanuatu	15	22
Venezuela, RB	46	47
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	15	19
Yemen, Rep.	32	30
Zambia	28	15
Zimbabwe	36	33
World	38	44
East Asia & Pacific	29	39
Europe & Central Asia	46	51
Latin America & Caribbean	28	26
Middle East & North Africa	29	28
North America	37	39
South Asia	49	55
Sub-Saharan Africa	32	36
Low income	19	26
Lower middle income	39	44
Upper middle income	20	30
High income	44	48
