Country	Total
Afghanistan	32
Albania	12
Algeria	24
American Samoa	..
Andorra	7
Angola	41
Antigua and Barbuda	15
Argentina	17
Armenia	14
Aruba	12
Australia	13
Austria	10
Azerbaijan	14
Bahamas, The	14
Bahrain	14
Bangladesh	18
Barbados	11
Belarus	10
Belgium	10
Belize	21
Benin	36
Bermuda	8
Bhutan	17
Bolivia	22
Bosnia and Herzegovina	8
Botswana	25
Brazil	14
Brunei Darussalam	15
Bulgaria	9
Burkina Faso	38
Burundi	39
Cabo Verde	19
Cambodia	22
Cameroon	35
Canada	10
Cayman Islands	10
Central African Republic	35
Chad	42
Channel Islands	10
Chile	12
China	11
Hong Kong SAR, China	7
Macao SAR, China	11
Colombia	15
Comoros	32
Congo, Dem. Rep.	41
Congo, Rep.	33
Costa Rica	14
Cote d'Ivoire	36
Croatia	9
Cuba	10
Curacao	11
Cyprus	10
Czech Republic	11
Denmark	11
Djibouti	21
Dominica	..
Dominican Republic	20
Ecuador	20
Egypt, Arab Rep.	26
El Salvador	18
Equatorial Guinea	33
Eritrea	30
Estonia	11
Eswatini	26
Ethiopia	32
Faroe Islands	13
Fiji	21
Finland	9
France	11
French Polynesia	15
Gabon	32
Gambia, The	39
Georgia	13
Germany	10
Ghana	29
Greece	8
Greenland	15
Grenada	16
Guam	17
Guatemala	25
Guinea	36
Guinea-Bissau	35
Guyana	20
Haiti	24
Honduras	22
Hungary	10
Iceland	12
India	18
Indonesia	18
Iran, Islamic Rep.	19
Iraq	29
Ireland	13
Isle of Man	..
Israel	21
Italy	7
Jamaica	16
Japan	7
Jordan	22
Kazakhstan	22
Kenya	29
Kiribati	28
Korea, Dem. Peopleâ€™s Rep.	14
Korea, Rep.	6
Kosovo	16
Kuwait	14
Kyrgyz Republic	27
Lao PDR	24
Latvia	10
Lebanon	18
Lesotho	27
Liberia	33
Libya	19
Liechtenstein	10
Lithuania	10
Luxembourg	10
Madagascar	33
Malawi	34
Malaysia	17
Maldives	14
Mali	42
Malta	9
Marshall Islands	..
Mauritania	34
Mauritius	10
Mexico	18
Micronesia, Fed. Sts.	23
Moldova	10
Monaco	6
Mongolia	24
Montenegro	12
Morocco	19
Mozambique	38
Myanmar	18
Namibia	29
Nepal	20
Netherlands	10
New Caledonia	15
New Zealand	12
Nicaragua	21
Niger	46
Nigeria	38
North Macedonia	11
Northern Mariana Islands	..
Norway	10
Oman	19
Pakistan	28
Palau	14
Panama	19
Papua New Guinea	27
Paraguay	21
Peru	18
Philippines	21
Poland	10
Portugal	9
Puerto Rico	7
Qatar	10
Romania	10
Russian Federation	12
Rwanda	32
Samoa	24
San Marino	7
Sao Tome and Principe	32
Saudi Arabia	18
Senegal	35
Serbia	9
Seychelles	17
Sierra Leone	33
Singapore	9
Sint Maarten (Dutch part)	..
Slovak Republic	11
Slovenia	9
Solomon Islands	32
Somalia	42
South Africa	21
South Sudan	35
Spain	8
Sri Lanka	16
St. Kitts and Nevis	..
St. Lucia	12
St. Martin (French part)	15
St. Vincent and the Grenadines	14
Sudan	32
Suriname	19
Sweden	11
Switzerland	10
Syrian Arab Republic	24
Tajikistan	31
Tanzania	37
Thailand	10
Timor-Leste	29
Togo	33
Tonga	24
Trinidad and Tobago	13
Tunisia	18
Turkey	16
Turkmenistan	24
Turks and Caicos Islands	..
Tuvalu	..
Uganda	38
Ukraine	9
United Arab Emirates	10
United Kingdom	11
United States	12
Uruguay	14
Uzbekistan	23
Vanuatu	30
Venezuela, RB	18
Vietnam	17
Virgin Islands (U.S.)	13
West Bank and Gaza	29
Yemen, Rep.	30
Zambia	36
Zimbabwe	31
World	18
East Asia & Pacific	13
Europe & Central Asia	12
Latin America & Caribbean	16
Middle East & North Africa	23
North America	11
South Asia	19
Sub-Saharan Africa	35
Low income	35
Lower middle income	22
Upper middle income	14
High income	10
