Country	Savings %
Afghanistan	13.2
Albania	18.9
Algeria	9
American Samoa	..
Andorra	..
Angola	42.7
Antigua and Barbuda	11
Argentina	12.6
Armenia	13.9
Aruba	10.9
Australia	18.6
Austria	18
Azerbaijan	7.7
Bahamas, The	20.1
Bahrain	7.5
Bangladesh	8.3
Barbados	11.2
Belarus	14.8
Belgium	18.8
Belize	17.5
Benin	17.1
Bermuda	..
Bhutan	9.2
Bolivia	14.7
Bosnia and Herzegovina	14.1
Botswana	21.8
Brazil	11.9
Brunei Darussalam	8.3
Bulgaria	13.8
Burkina Faso	12.4
Burundi	13.8
Cabo Verde	19.7
Cambodia	15.5
Cameroon	16.2
Canada	16.7
Cayman Islands	9.2
Central African Republic	14.8
Chad	12.8
Channel Islands	..
Chile	15
China	21.5
Hong Kong SAR, China	9.5
Macao SAR, China	11.1
Colombia	17.1
Comoros	8.6
Congo, Dem. Rep.	6.4
Congo, Rep.	24.5
Costa Rica	5.6
Cote d'Ivoire	1.6
Croatia	14
Cuba	12.6
Curacao	..
Cyprus	11.4
Czech Republic	21.2
Denmark	16.1
Djibouti	14
Dominica	30.2
Dominican Republic	5.3
Ecuador	18.5
Egypt, Arab Rep.	5.6
El Salvador	13
Equatorial Guinea	17.4
Eritrea	..
Estonia	15.6
Eswatini	12.4
Ethiopia	21.4
Faroe Islands	..
Fiji	11.3
Finland	18.1
France	17.8
French Polynesia	..
Gabon	16.2
Gambia, The	14.4
Georgia	11.1
Germany	17.7
Ghana	19.9
Greece	15.7
Greenland	..
Grenada	20.4
Guam	..
Guatemala	13.2
Guinea	14.1
Guinea-Bissau	3.8
Guyana	4.2
Haiti	7.1
Honduras	6.1
Hungary	16.6
Iceland	17.9
India	11.5
Indonesia	18.1
Iran, Islamic Rep.	16.6
Iraq	11.6
Ireland	30.6
Isle of Man	..
Israel	13.3
Italy	17.3
Jamaica	7.9
Japan	21.4
Jordan	8.3
Kazakhstan	13.4
Kenya	14.8
Kiribati	4.7
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	19.7
Kosovo	11.2
Kuwait	10.1
Kyrgyz Republic	11.5
Lao PDR	19.6
Latvia	21.8
Lebanon	19.8
Lesotho	13.9
Liberia	6.5
Libya	8.6
Liechtenstein	16
Lithuania	12.6
Luxembourg	19
Madagascar	12.6
Malawi	14.6
Malaysia	21.2
Maldives	13.9
Mali	7.1
Malta	13.4
Marshall Islands	7.8
Mauritania	8.6
Mauritius	15.8
Mexico	18.2
Micronesia, Fed. Sts.	8
Moldova	12.5
Monaco	..
Mongolia	8.8
Montenegro	13.1
Morocco	11.2
Mozambique	8.5
Myanmar	6.5
Namibia	10.4
Nepal	11.8
Netherlands	16.3
New Caledonia	..
New Zealand	15.4
Nicaragua	10.2
Niger	6
Nigeria	12.7
North Macedonia	18.8
Northern Mariana Islands	..
Norway	16.7
Oman	14.8
Pakistan	4.9
Palau	8
Panama	8
Papua New Guinea	7.5
Paraguay	17.2
Peru	10.7
Philippines	8.1
Poland	12.2
Portugal	17.8
Puerto Rico	14
Qatar	14.9
Romania	19.7
Russian Federation	13.5
Rwanda	15.1
Samoa	11.4
San Marino	..
Sao Tome and Principe	31.2
Saudi Arabia	10.8
Senegal	13
Serbia	16.5
Seychelles	13.7
Sierra Leone	5.1
Singapore	15.6
Sint Maarten (Dutch part)	..
Slovak Republic	20.9
Slovenia	19.3
Solomon Islands	9.2
Somalia	..
South Africa	14.3
South Sudan	..
Spain	15.4
Sri Lanka	7.5
St. Kitts and Nevis	12.7
St. Lucia	13.3
St. Martin (French part)	..
St. Vincent and the Grenadines	13.2
Sudan	7.2
Suriname	14.9
Sweden	16.9
Switzerland	21.7
Syrian Arab Republic	..
Tajikistan	4.3
Tanzania	15.4
Thailand	18.1
Timor-Leste	4.1
Togo	13.9
Tonga	8.8
Trinidad and Tobago	11.2
Tunisia	17.3
Turkey	16.9
Turkmenistan	15.7
Turks and Caicos Islands	8.8
Tuvalu	6.8
Uganda	21
Ukraine	12.4
United Arab Emirates	3.9
United Kingdom	14.8
United States	15.8
Uruguay	10.9
Uzbekistan	4.5
Vanuatu	9.3
Venezuela, RB	..
Vietnam	9.7
Virgin Islands (U.S.)	..
West Bank and Gaza	11.2
Yemen, Rep.	..
Zambia	15.6
Zimbabwe	8.6
World	17
East Asia & Pacific	20.3
Europe & Central Asia	16.8
Latin America & Caribbean	13.9
Middle East & North Africa	10.2
North America	15.8
South Asia	10.5
Sub-Saharan Africa	15.4
Low income	13.3
Lower middle income	11.1
Upper middle income	18.7
High income	16.8
