Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	-6.5	-0.1
Albania	0.2	3
Algeria	-0.9	3.7
American Samoa	..	..
Andorra	..	..
Angola	-24.4	0
Antigua and Barbuda	-4.2	-0.2
Argentina	13.1	18.3
Armenia	8.6	-3.1
Aruba	4.2	-0.8
Australia	1.1	1.9
Austria	..	..
Azerbaijan	8.2	-5.4
Bahamas, The	7	2.3
Bahrain	-0.5	..
Bangladesh	2.8	6.3
Barbados	1.6	0
Belarus	-4.7	-4.7
Belgium	..	..
Belize	1	1.5
Benin	-4.1	-14.4
Bermuda	..	..
Bhutan	-2.5	-5.4
Bolivia	-6.2	2.7
Bosnia and Herzegovina	2.3	-0.9
Botswana	20.2	3.3
Brazil	3.1	7
Brunei Darussalam	-6.4	1.7
Bulgaria	3.6	1
Burkina Faso	2.9	2.5
Burundi	5	15.5
Cabo Verde	-1.3	-4.5
Cambodia	0.4	-4.7
Cameroon	2.8	8.3
Canada	4.6	..
Cayman Islands	..	..
Central African Republic	10.4	11.4
Chad	9.2	-3.3
Channel Islands	..	..
Chile	-0.5	0.5
China	0.3	2.2
Hong Kong SAR, China	0.6	-1.6
Macao SAR, China	-23.3	-1.1
Colombia	-0.7	2.2
Comoros	-2.6	5.4
Congo, Dem. Rep.	-40.1	8
Congo, Rep.	-37.2	3
Costa Rica	0	-2.6
Cote d'Ivoire	4.5	4.9
Croatia	7.7	-1.8
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	1.9	-0.2
Denmark	0	4.2
Djibouti	0.2	1
Dominica	-1	8.9
Dominican Republic	0.1	5.5
Ecuador	4.3	0.3
Egypt, Arab Rep.	2.5	6.3
El Salvador	2	1.1
Equatorial Guinea	85.2	-1
Eritrea	12.6	..
Estonia	..	..
Eswatini	26	-0.4
Ethiopia	2.5	..
Faroe Islands	..	..
Fiji	-2.8	0.6
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	23.6	12
Gambia, The	19.3	7.7
Georgia	-1.7	-0.5
Germany	..	..
Ghana	11.7	6.1
Greece	..	..
Greenland	..	..
Grenada	0.6	-0.8
Guam	..	..
Guatemala	2.3	2.2
Guinea	84.1	5.7
Guinea-Bissau	11.4	2
Guyana	0.3	5
Haiti	-6.8	3.9
Honduras	1.4	-1.3
Hungary	0.1	0.8
Iceland	0.3	-1.5
India	5.4	4.7
Indonesia	-3.7	1.6
Iran, Islamic Rep.	7.8	5.7
Iraq	14.4	-21.4
Ireland	..	..
Isle of Man	..	..
Israel	0.7	0.1
Italy	..	..
Jamaica	-9.8	-3.6
Japan	2.7	1
Jordan	0.4	3.9
Kazakhstan	1.2	2.1
Kenya	12.8	1.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0.4	0.2
Kosovo	2.8	1.5
Kuwait	-12.9	-2.5
Kyrgyz Republic	3.1	-1.8
Lao PDR	1.5	..
Latvia	..	..
Lebanon	1.1	-21.3
Lesotho	15.2	-11.1
Liberia	-5.9	4.3
Libya	-19.6	-11.7
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	-5.4	-0.2
Malawi	-10.6	26
Malaysia	-0.2	0.1
Maldives	9.5	0.8
Mali	4.9	-7.1
Malta	..	..
Marshall Islands	..	..
Mauritania	3.3	-7
Mauritius	-0.1	-0.5
Mexico	0.8	5.1
Micronesia, Fed. Sts.	18.5	-10.6
Moldova	-4	1.9
Monaco	..	..
Mongolia	-4	-8.8
Montenegro	3.1	12.7
Morocco	-0.8	0.7
Mozambique	-0.8	-5.2
Myanmar	32.5	7.3
Namibia	7.5	7.1
Nepal	6.2	1.2
Netherlands	..	..
New Caledonia	..	..
New Zealand	2.1	1.6
Nicaragua	3.9	1.7
Niger	0.1	-22
Nigeria	19.7	13.9
North Macedonia	6.9	3
Northern Mariana Islands	..	..
Norway	-3.2	-1.9
Oman	-4.1	-2.8
Pakistan	8.5	13.1
Palau	..	..
Panama	-0.6	..
Papua New Guinea	-6.6	1.6
Paraguay	-6.3	0.8
Peru	-5.9	1.9
Philippines	2.9	2.2
Poland	1.2	2.4
Portugal	..	..
Puerto Rico	..	..
Qatar	4.2	2.9
Romania	8	6.4
Russian Federation	9.7	-5.4
Rwanda	3.9	-4.8
Samoa	-5.6	-2.1
San Marino	..	..
Sao Tome and Principe	19.4	-4.4
Saudi Arabia	-5.4	10.6
Senegal	4.2	1.7
Serbia	5.8	-4.7
Seychelles	5.1	1.1
Sierra Leone	25.7	14.1
Singapore	-4.9	-1.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	-15.4	-1.1
Somalia	..	..
South Africa	-0.2	0
South Sudan	103.5	18.9
Spain	..	..
Sri Lanka	0	-0.1
St. Kitts and Nevis	1.3	1.8
St. Lucia	-3.4	1.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-8.8	-4
Sudan	12.9	20.7
Suriname	1.5	-2
Sweden	-1.3	0.6
Switzerland	0.2	0
Syrian Arab Republic	1.9	..
Tajikistan	-24.5	1.5
Tanzania	7.7	-4.4
Thailand	-1.3	0.3
Timor-Leste	-46.5	-16.6
Togo	9.6	-9.5
Tonga	5.8	-0.6
Trinidad and Tobago	1.7	4.3
Tunisia	-2.2	0.5
Turkey	4	7.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	14.8	11
Ukraine	8.4	-4
United Arab Emirates	2	4.3
United Kingdom	2.9	0.8
United States	0.4	2.3
Uruguay	8.6	3.2
Uzbekistan	..	18.4
Vanuatu	2.6	-3.9
Venezuela, RB	3.7	..
Vietnam	2.3	-2.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1.3	-0.2
Yemen, Rep.	12.9	..
Zambia	11.5	8.7
Zimbabwe	-2.7	30.5
