Country	Hospital beds (2016)	Hospital beds (2017)	Change from previous year, average Proportional (%)	Occupancy	ICU-CCB beds 
Japan	13.11	13.05	−0.48	75.5	13.5
South Korea	11.98	12.27	2.85		10.6
Russia	8.16	08.05	−3.04		8.3
Germany	08.06	8.00	−0.86	62.1	38.7
Austria	7.42	7.37	−0.90	73.8	21.8
Hungary	7.00	07.02	−0.07	65.5	13.8
Czech Republic	6.66	6.63	−0.26	70.1	11.6
Poland	6.64	6.62	0.04		6.9
Lithuania	6.69	6.56	−2.65	73.2	15.5
France	06.06	5.98	−1.23	75.6	11.6
Slovakia	5.78	5.82	0.08	67.8	9.2
Belgium	5.76	5.76	−0.73	81.8	15.9
Latvia	5.72	5.57	−1.03	71.1	9.7
Hong Kong			0.00		7.1
Estonia	4.76	4.69	−1.68	70.4	14.6
Luxembourg	4.81	4.66	−2.63	70.7	24.8
Switzerland	4.55	4.53	−0.82	82.0	11.0
Slovenia	4.49	4.50	−0.28	69.5	6.4
China	04.05	4.34	6.55		3.6
Greece	4.20	4.21	−0.18	61.6	9.5
Australia	3.84		0.88		9.1
Norway	3.68	3.60	−1.76	80.7	8
Portugal	3.39	3.39	−0.01	66.8	4.2
Netherlands	3.44	3.32	0.00	65.4	6.4
Finland	3.97	3.28	−10.56		6.1
Italy	3.17	3.18	−1.01	78.9	12.5
Iceland	3.13	03.06	−1.29		9.1
Israel	2.99	03.02	−0.58	93.3	
Spain	2.97	2.97	0.08	75.3	9.7
Ireland	2.97	2.96	3.43	94.9	6.5
Turkey	2.75	2.81	1.45	68.0	46.5
United States	2.77		−1.42	64.0	29.4
New Zealand	2.73	2.71	−0.64		4.6
Denmark	2.60	2.61	−4.34		6.7
United Kingdom	2.57	2.54	−2.11	84.3	6.6
Canada	2.58	2.52	−1.84	91.6	13.5
Sweden	2.34	2.22	−3.94		5.8
Chile	2.12	2.11	−0.60	79.1	
India	0.48	0.53	0.00		
Mexico	1.39	1.38	−1.08	74.0	1.2
Ukraine		8.8	0.00		
Bangladesh		0.87	0.00		0.72
