Country	Expenditure % (2010)	Expenditure % (2018)
Afghanistan	2	10
Albania	45	53
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	30	11
Antigua and Barbuda	..	..
Argentina	..	66
Armenia	39	40
Aruba	..	..
Australia	69	67
Austria	71	74
Azerbaijan	35	36
Bahamas, The	21	22
Bahrain	..	..
Bangladesh	36	34
Barbados	40	38
Belarus	69	62
Belgium	81	84
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	4	10
Bolivia	47	..
Bosnia and Herzegovina	42	46
Botswana	..	19
Brazil	58	59
Brunei Darussalam	..	..
Bulgaria	46	46
Burkina Faso	12	18
Burundi	..	..
Cabo Verde	31	33
Cambodia	24	22
Cameroon	25	19
Canada	67	71
Cayman Islands	..	..
Central African Republic	12	..
Chad	..	..
Channel Islands	..	..
Chile	46	34
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	22	32
Colombia	42	55
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	14	35
Costa Rica	21	22
Cote d'Ivoire	11	39
Croatia	41	42
Cuba	..	..
Curacao	..	..
Cyprus	34	33
Czech Republic	46	49
Denmark	16	14
Djibouti	..	..
Dominica	..	..
Dominican Republic	26	15
Ecuador	..	..
Egypt, Arab Rep.	42	37
El Salvador	22	18
Equatorial Guinea	37	10
Eritrea	..	..
Estonia	62	63
Eswatini	..	..
Ethiopia	60	53
Faroe Islands	..	..
Fiji	25	35
Finland	50	54
France	51	56
French Polynesia	..	..
Gabon	32	15
Gambia, The	12	..
Georgia	51	55
Germany	78	83
Ghana	34	20
Greece	41	45
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	32	36
Guinea	..	..
Guinea-Bissau	..	17
Guyana	..	..
Haiti	..	..
Honduras	7	2
Hungary	60	46
Iceland	35	41
India	37	42
Indonesia	63	49
Iran, Islamic Rep.	34	..
Iraq	..	30
Ireland	28	40
Isle of Man	..	..
Israel	37	41
Italy	45	48
Jamaica	..	..
Japan	68	69
Jordan	29	29
Kazakhstan	67	67
Kenya	..	24
Kiribati	14	26
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	58	67
Kosovo	..	..
Kuwait	28	17
Kyrgyz Republic	..	42
Lao PDR	..	..
Latvia	52	56
Lebanon	34	38
Lesotho	24	23
Liberia	25	..
Libya	..	..
Liechtenstein	..	..
Lithuania	39	42
Luxembourg	55	54
Madagascar	17	30
Malawi	32	19
Malaysia	42	36
Maldives	5	..
Mali	16	22
Malta	33	31
Marshall Islands	16	20
Mauritania	..	..
Mauritius	31	34
Mexico	61	64
Micronesia, Fed. Sts.	6	1
Moldova	59	64
Monaco	..	..
Mongolia	42	55
Montenegro	..	..
Morocco	26	27
Mozambique	19	14
Myanmar	15	20
Namibia	32	30
Nepal	56	64
Netherlands	78	78
New Caledonia	..	..
New Zealand	47	47
Nicaragua	37	32
Niger	..	..
Nigeria	..	..
North Macedonia	65	73
Northern Mariana Islands	..	..
Norway	65	65
Oman	..	..
Pakistan	..	..
Palau	10	16
Panama	..	..
Papua New Guinea	..	42
Paraguay	22	25
Peru	47	46
Philippines	23	27
Poland	44	44
Portugal	43	45
Puerto Rico	..	..
Qatar	..	..
Romania	39	33
Russian Federation	61	69
Rwanda	..	35
Samoa	8	4
San Marino	34	45
Sao Tome and Principe	..	..
Saudi Arabia	7	8
Senegal	..	13
Serbia	58	..
Seychelles	16	23
Sierra Leone	..	..
Singapore	0	22
Sint Maarten (Dutch part)	..	..
Slovak Republic	51	49
Slovenia	49	47
Solomon Islands	6	8
Somalia	..	12
South Africa	62	60
South Sudan	..	..
Spain	69	67
Sri Lanka	20	29
St. Kitts and Nevis	11	26
St. Lucia	20	24
St. Martin (French part)	..	..
St. Vincent and the Grenadines	28	23
Sudan	48	25
Suriname	..	..
Sweden	71	73
Switzerland	75	75
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	58	54
Thailand	18	31
Timor-Leste	15	19
Togo	31	12
Tonga	8	9
Trinidad and Tobago	42	38
Tunisia	41	..
Turkey	48	46
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	18
Ukraine	69	60
United Arab Emirates	21	21
United Kingdom	57	55
United States	63	65
Uruguay	46	46
Uzbekistan	..	54
Vanuatu	13	14
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	17	22
Yemen, Rep.	..	..
Zambia	19	12
Zimbabwe	6	44
World	42	42
East Asia & Pacific	42	42
Europe & Central Asia	51	54
Latin America & Caribbean	39	36
Middle East & North Africa	34	27
North America	65	68
South Asia	36	37
Sub-Saharan Africa	26	21
Low income	..	..
Lower middle income	26	29
Upper middle income	44	46
High income	49	48
