Country	Index
Afghanistan	..
Albania	4.1
Algeria	3.4
American Samoa	..
Andorra	..
Angola	2.7
Antigua and Barbuda	..
Argentina	3.7
Armenia	2.5
Aruba	..
Australia	4.9
Austria	3.9
Azerbaijan	4.7
Bahamas, The	..
Bahrain	5.1
Bangladesh	3.6
Barbados	5.3
Belarus	..
Belgium	6.1
Belize	..
Benin	3.9
Bermuda	..
Bhutan	2
Bolivia	2.1
Bosnia and Herzegovina	2.1
Botswana	3.1
Brazil	3.1
Brunei Darussalam	3.9
Bulgaria	4.1
Burkina Faso	3.1
Burundi	2.8
Cabo Verde	3.6
Cambodia	3.7
Cameroon	3.1
Canada	5.4
Cayman Islands	..
Central African Republic	..
Chad	2
Channel Islands	..
Chile	4.9
China	4.6
Hong Kong SAR, China	6.5
Macao SAR, China	..
Colombia	3.8
Comoros	..
Congo, Dem. Rep.	2.7
Congo, Rep.	..
Costa Rica	3.4
Cote d'Ivoire	5.2
Croatia	4.6
Cuba	..
Curacao	..
Cyprus	4.6
Czech Republic	3.5
Denmark	5.7
Djibouti	..
Dominica	..
Dominican Republic	4.8
Ecuador	4.6
Egypt, Arab Rep.	4.7
El Salvador	3.4
Equatorial Guinea	..
Eritrea	..
Estonia	5.6
Ethiopia	2.7
Faroe Islands	..
Fiji	..
Finland	6.2
France	5.1
French Polynesia	..
Gabon	3.2
Gambia, The	4.4
Georgia	4.1
Germany	5.5
Ghana	3.6
Greece	4.5
Greenland	..
Grenada	..
Guam	..
Guatemala	3.6
Guinea	3.4
Guinea-Bissau	..
Guyana	3.6
Haiti	2.6
Honduras	4.4
Hungary	3.2
Iceland	5.9
India	4.6
Indonesia	4
Iran, Islamic Rep.	4
Iraq	..
Ireland	5.1
Isle of Man	..
Israel	4.7
Italy	4.4
Jamaica	4.9
Japan	5.3
Jordan	4.5
Kazakhstan	3.2
Kenya	4.5
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	5.2
Kosovo	..
Kuwait	3.8
Kyrgyz Republic	1.4
Lao PDR	2.3
Latvia	5.1
Lebanon	3.5
Lesotho	3
Liberia	3.2
Libya	2.6
Liechtenstein	..
Lithuania	4.8
Luxembourg	4.6
North Macedonia	3.6
Madagascar	3.6
Malawi	2.1
Malaysia	5.4
Maldives	..
Mali	1.9
Malta	5.3
Marshall Islands	..
Mauritania	2.6
Mauritius	4.2
Mexico	4.3
Micronesia, Fed. Sts.	..
Moldova	2.4
Monaco	..
Mongolia	1.4
Montenegro	4.1
Morocco	5
Mozambique	3.6
Myanmar	2.6
Namibia	5.2
Nepal	1.6
Netherlands	6.8
New Caledonia	..
New Zealand	5.5
Nicaragua	3.1
Niger	..
Nigeria	2.8
Northern Mariana Islands	..
Norway	5.5
Oman	4.6
Pakistan	4
Palau	..
Panama	6.2
Papua New Guinea	..
Paraguay	3.3
Peru	3.7
Philippines	2.9
Poland	4.2
Portugal	5.2
Puerto Rico	5.4
Qatar	5.6
Romania	3.5
Russian Federation	4.2
Rwanda	2.9
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	4.7
Senegal	4.4
Serbia	3
Seychelles	4.5
Sierra Leone	3.3
Singapore	6.7
Sint Maarten (Dutch part)	..
Slovak Republic	3
Slovenia	5
Solomon Islands	..
Somalia	..
South Africa	4.8
South Sudan	..
Spain	5.5
Sri Lanka	4.5
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	4.4
Eswatini	3.6
Sweden	5.5
Switzerland	4.5
Syrian Arab Republic	..
Tajikistan	2
Tanzania	3.4
Thailand	4.3
Timor-Leste	2.2
Togo	..
Tonga	..
Trinidad and Tobago	3.8
Tunisia	3.3
Turkey	4.5
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	2.6
Ukraine	3.5
United Arab Emirates	6.2
United Kingdom	5.5
United States	5.8
Uruguay	4.9
Uzbekistan	..
Vanuatu	..
Venezuela, RB	2.7
Vietnam	3.7
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	2.6
Zambia	2.3
Zimbabwe	3.1
World	4.1
East Asia & Pacific	4.4
Europe & Central Asia	4.4
Latin America & Caribbean	4
Middle East & North Africa	4.4
North America	5.6
South Asia	3.4
Sub-Saharan Africa	3.3
Low income	2.8
Lower middle income	3.3
Upper middle income	3.9
High income	5
