Country	$ (2010)	$ (2018)
Afghanistan	377	361
Albania	15	1
Algeria	834	1253
American Samoa	..	..
Andorra	..	..
Angola	20	270
Antigua and Barbuda	..	..
Argentina	11	25
Armenia	52	248
Aruba	..	..
Australia	1511	1575
Austria	7	4
Azerbaijan	155	322
Bahamas, The	1	12
Bahrain	103	65
Bangladesh	36	149
Barbados	10	..
Belarus	75	142
Belgium	32	1
Belize	..	..
Benin	0	..
Bermuda	..	..
Bhutan	..	1
Bolivia	1	1
Bosnia and Herzegovina	..	..
Botswana	10	4
Brazil	311	272
Brunei Darussalam	33	..
Bulgaria	8	2
Burkina Faso	0	23
Burundi	2	2
Cambodia	34	5
Cameroon	10	2
Canada	228	157
Cabo Verde	2	3
Cayman Islands	..	..
Central African Republic	7	1
Chad	38	3
Channel Islands	..	..
Chile	475	70
China	1020	1633
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	255	16
Comoros	1	..
Congo, Dem. Rep.	151	43
Congo, Rep.	27	..
Costa Rica	1	..
Cote d'Ivoire	..	9
Croatia	11	2
Cuba	..	..
Curacao	..	..
Cyprus	44	0
Czech Republic	13	7
Denmark	17	50
Djibouti	6	8
Dominica	..	..
Dominican Republic	51	0
Ecuador	90	5
Egypt, Arab Rep.	686	1674
El Salvador	2	1
Equatorial Guinea	3	7
Eritrea	..	..
Estonia	13	17
Ethiopia	54	10
Faroe Islands	..	..
Fiji	..	1
Finland	52	135
France	103	185
French Polynesia	..	..
Gabon	22	7
Gambia, The	16	..
Georgia	2	39
Germany	282	14
Ghana	2	0
Greece	631	39
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2	3
Guinea	4	2
Guinea-Bissau	..	..
Guyana	0	0
Haiti	..	..
Honduras	0	1
Hungary	18	36
Iceland	50	..
India	2909	1488
Indonesia	225	338
Iran, Islamic Rep.	99	4
Iraq	434	543
Ireland	5	7
Isle of Man	..	..
Israel	67	543
Italy	103	317
Jamaica	1	13
Japan	403	572
Jordan	89	215
Kazakhstan	58	304
Kenya	116	5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	1	..
Korea, Rep.	1284	1106
Kosovo	..	..
Kuwait	85	95
Kyrgyz Republic	..	1
Lao PDR	14	109
Latvia	15	19
Lebanon	64	52
Lesotho	..	1
Liberia	..	..
Libya	37	..
Liechtenstein	..	..
Lithuania	8	6
Luxembourg	7	0
North Macedonia	..	0
Madagascar	0	1
Malawi	1	1
Malaysia	423	98
Maldives	5	..
Mali	0	25
Malta	8	8
Marshall Islands	..	..
Mauritania	9	1
Mauritius	..	19
Mexico	112	16
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	27	17
Montenegro	..	15
Morocco	306	387
Mozambique	0	22
Myanmar	56	168
Namibia	3	35
Nepal	3	7
Netherlands	190	142
New Caledonia	..	..
New Zealand	58	6
Nicaragua	14	13
Niger	0	3
Nigeria	188	49
Northern Mariana Islands	..	..
Norway	159	549
Oman	30	277
Pakistan	2199	792
Palau	..	..
Panama	7	11
Papua New Guinea	..	7
Paraguay	3	2
Peru	46	92
Philippines	3	18
Poland	159	122
Portugal	894	26
Puerto Rico	..	..
Qatar	30	596
Romania	107	36
Russian Federation	25	26
Rwanda	11	3
Samoa	..	7
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	1083	3760
Senegal	4	12
Serbia	16	3
Seychelles	7	7
Sierra Leone	2	1
Singapore	958	592
Sint Maarten (Dutch part)	..	..
Slovak Republic	9	34
Slovenia	40	..
Solomon Islands	..	7
Somalia	..	8
South Africa	180	..
South Sudan	2	8
Spain	288	138
Sri Lanka	4	99
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	182	34
Suriname	0	..
Eswatini	..	..
Sweden	11	7
Switzerland	48	10
Syrian Arab Republic	426	181
Tajikistan	34	3
Tanzania	78	32
Thailand	46	630
Timor-Leste	18	..
Togo	1	2
Tonga	..	7
Trinidad and Tobago	24	30
Tunisia	7	180
Turkey	484	591
Turkmenistan	27	92
Turks and Caicos Islands	..	..
Tuvalu	..	7
Uganda	37	9
Ukraine	..	65
United Arab Emirates	643	1197
United Kingdom	490	518
United States	1083	380
Uruguay	20	10
Uzbekistan	30	131
Vanuatu	..	..
Venezuela, RB	208	137
Vietnam	152	577
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6	2
Yemen, Rep.	258	9
Zambia	1	38
Zimbabwe	..	..
World	25741	27114
East Asia & Pacific	6349	7543
Europe & Central Asia	4611	4064
Latin America & Caribbean	1608	535
Middle East & North Africa	5287	11031
North America	1311	537
South Asia	5530	2896
Sub-Saharan Africa	1045	..
Low income	1533	516
Lower middle income	7664	7493
Upper middle income	4573	5409
High income	11971	13549
