Country	Manufactoring %
Afghanistan	..
Albania	5
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	15
Armenia	..
Aruba	..
Australia	8
Austria	7
Azerbaijan	6
Bahamas, The	28
Bahrain	19
Bangladesh	11
Barbados	..
Belarus	..
Belgium	20
Belize	..
Benin	..
Bermuda	4
Bhutan	..
Bolivia	4
Bosnia and Herzegovina	..
Botswana	..
Brazil	12
Brunei Darussalam	..
Bulgaria	11
Burkina Faso	..
Burundi	..
Cambodia	0
Cameroon	2
Canada	8
Cabo Verde	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	12
Hong Kong SAR, China	4
Macao SAR, China	2
Colombia	16
Comoros	..
Congo, Dem. Rep.	3
Congo, Rep.	3
Costa Rica	12
Cote d'Ivoire	..
Croatia	11
Cuba	..
Curacao	..
Cyprus	6
Czech Republic	7
Denmark	10
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	10
Egypt, Arab Rep.	21
El Salvador	16
Equatorial Guinea	..
Eritrea	6
Estonia	4
Eswatini	..
Ethiopia	5
Faroe Islands	..
Fiji	7
Finland	5
France	12
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	7
Germany	10
Ghana	..
Greece	10
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	10
Iceland	4
India	21
Indonesia	11
Iran, Islamic Rep.	19
Iraq	..
Ireland	36
Isle of Man	..
Israel	10
Italy	8
Jamaica	..
Japan	10
Jordan	18
Kazakhstan	..
Kenya	5
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	10
Kosovo	..
Kuwait	3
Kyrgyz Republic	1
Lao PDR	2
Latvia	3
Lebanon	6
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	3
Luxembourg	6
Madagascar	2
Malawi	9
Malaysia	8
Maldives	..
Mali	..
Malta	2
Marshall Islands	..
Mauritania	..
Mauritius	..
Mexico	15
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	2
Montenegro	..
Morocco	12
Mozambique	..
Myanmar	..
Namibia	..
Nepal	10
Netherlands	14
New Caledonia	..
New Zealand	3
Nicaragua	..
Niger	51
Nigeria	..
North Macedonia	6
Northern Mariana Islands	..
Norway	13
Oman	5
Pakistan	17
Palau	..
Panama	7
Papua New Guinea	3
Paraguay	10
Peru	11
Philippines	10
Poland	8
Portugal	5
Puerto Rico	60
Qatar	21
Romania	5
Russian Federation	9
Rwanda	6
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	42
Senegal	24
Serbia	11
Seychelles	..
Sierra Leone	..
Singapore	14
Sint Maarten (Dutch part)	..
Slovak Republic	7
Slovenia	11
Solomon Islands	..
Somalia	..
South Africa	7
South Sudan	..
Spain	10
Sri Lanka	4
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	4
Suriname	..
Sweden	9
Switzerland	16
Syrian Arab Republic	..
Tajikistan	..
Tanzania	7
Thailand	6
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	27
Tunisia	10
Turkey	10
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	11
Ukraine	..
United Arab Emirates	..
United Kingdom	10
United States	12
Uruguay	8
Uzbekistan	..
Vanuatu	..
Venezuela, RB	34
Vietnam	6
Virgin Islands (U.S.)	..
West Bank and Gaza	4
Yemen, Rep.	5
Zambia	..
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
