Country	Rents %
Afghanistan	0.4
Albania	0.2
Algeria	0.2
American Samoa	0
Andorra	0
Angola	0.5
Antigua and Barbuda	0
Argentina	0.1
Armenia	0.2
Aruba	0
Australia	0.1
Austria	0.1
Azerbaijan	0
Bahamas, The	0
Bahrain	0
Bangladesh	0.2
Barbados	0
Belarus	0.9
Belgium	0
Belize	0.4
Benin	5.9
Bermuda	0
Bhutan	4.3
Bolivia	0.5
Bosnia and Herzegovina	0.6
Botswana	0.4
Brazil	0.7
Brunei Darussalam	0.1
Bulgaria	0.2
Burkina Faso	10.4
Burundi	16.5
Cambodia	1.9
Cameroon	3.9
Canada	0.1
Cabo Verde	0.8
Cayman Islands	..
Central African Republic	14
Chad	6.4
Channel Islands	..
Chile	0.6
China	0.1
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	0.2
Comoros	2.4
Congo, Dem. Rep.	17.4
Congo, Rep.	4.6
Costa Rica	1.2
Cote d'Ivoire	2.8
Croatia	0.3
Cuba	0.1
Curacao	..
Cyprus	0
Czech Republic	0.2
Denmark	0
Djibouti	0.7
Dominica	0.1
Dominican Republic	0.1
Ecuador	0.4
Egypt, Arab Rep.	0.2
El Salvador	1
Equatorial Guinea	1.6
Eritrea	..
Estonia	0.9
Eswatini	2.8
Ethiopia	10.9
Faroe Islands	0
Fiji	0.7
Finland	0.3
France	0
French Polynesia	..
Gabon	2.9
Gambia, The	5.9
Georgia	0.1
Germany	0
Ghana	6.4
Greece	0
Greenland	0
Grenada	0
Guam	0
Guatemala	1.3
Guinea	10.8
Guinea-Bissau	18.2
Guyana	7.4
Haiti	1.3
Honduras	1.7
Hungary	0.1
Iceland	0
India	0.3
Indonesia	0.5
Iran, Islamic Rep.	0
Iraq	0
Ireland	0
Isle of Man	0
Israel	0
Italy	0
Jamaica	0.2
Japan	0
Jordan	0
Kazakhstan	0
Kenya	2.7
Kiribati	0.1
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0
Kuwait	0
Kyrgyz Republic	0
Lao PDR	2.9
Latvia	1
Lebanon	0
Lesotho	6.3
Liberia	19.7
Libya	0.2
Liechtenstein	0
Lithuania	0.4
Luxembourg	0
North Macedonia	0.1
Madagascar	9.9
Malawi	11
Malaysia	1.9
Maldives	0
Mali	3.5
Malta	0
Marshall Islands	0
Mauritania	3.1
Mauritius	0
Mexico	0.2
Micronesia, Fed. Sts.	0
Moldova	0.3
Monaco	0
Mongolia	0.3
Montenegro	0.4
Morocco	0.2
Mozambique	13.2
Myanmar	3.6
Namibia	0.8
Nepal	1.3
Netherlands	0
New Caledonia	..
New Zealand	0.4
Nicaragua	2.1
Niger	11.7
Nigeria	1.5
Northern Mariana Islands	0
Norway	0
Oman	0
Pakistan	0.2
Palau	0
Panama	0.1
Papua New Guinea	3.1
Paraguay	1.7
Peru	0.2
Philippines	0.3
Poland	0.2
Portugal	0.1
Puerto Rico	0
Qatar	0
Romania	0.2
Russian Federation	0.4
Rwanda	6
Samoa	0.5
San Marino	0
Sao Tome and Principe	3.2
Saudi Arabia	0
Senegal	2.7
Serbia	0.4
Seychelles	0.1
Sierra Leone	11.8
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0.3
Slovenia	0.2
Solomon Islands	18.4
Somalia	15.4
South Africa	0.7
South Sudan	11.1
Spain	0
Sri Lanka	0.1
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	1.3
Suriname	1.6
Sweden	0.2
Switzerland	0
Syrian Arab Republic	..
Tajikistan	0
Tanzania	3.9
Thailand	0.5
Timor-Leste	0.2
Togo	7.2
Tonga	0
Trinidad and Tobago	0.1
Tunisia	0.3
Turkey	0.1
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	0
Uganda	14.6
Ukraine	0.4
United Arab Emirates	0
United Kingdom	0
United States	0
Uruguay	1.7
Uzbekistan	0
Vanuatu	0.8
Venezuela, RB	0.1
Vietnam	0.7
Virgin Islands (U.S.)	0
West Bank and Gaza	0
Yemen, Rep.	0
Zambia	4.2
Zimbabwe	3.2
World	0.2
East Asia & Pacific	0.2
Europe & Central Asia	0.1
Latin America & Caribbean	0.5
Middle East & North Africa	0
North America	0
South Asia	0.3
Sub-Saharan Africa	3.5
Low income	8.3
Lower middle income	0.7
Upper middle income	0.3
High income	0
