Country	Surface area
Afghanistan	652.9
Albania	28.8
Algeria	2,381.7
American Samoa	0.2
Andorra	0.5
Angola	1,246.7
Antigua and Barbuda	0.4
Argentina	2,780.4
Armenia	29.7
Aruba	0.2
Australia	7,741.2
Austria	83.9
Azerbaijan	86.6
Bahamas, The	13.9
Bahrain	0.8
Bangladesh	147.6
Barbados	0.4
Belarus	207.6
Belgium	30.5
Belize	23.0
Benin	114.8
Bermuda	4.3
Bhutan	38.4
Bolivia	1,098.6
Bosnia and Herzegovina	51.2
Botswana	581.7
Brazil	8,515.8
Brunei Darussalam	5.8
Bulgaria	111.0
Burkina Faso	274.2
Burundi	27.8
Cambodia	181.0
Cameroon	475.4
Canada	9,984.7
Cabo Verde	4.0
Cayman Islands	0.3
Central African Republic	623.0
Chad	1,284.0
Channel Islands	0.2
Chile	756.7
China	9,562.9
Hong Kong SAR, China	1.1
Macao SAR, China	0.0
Colombia	1,141.7
Comoros	1.9
Congo, Dem. Rep.	2,344.9
Congo, Rep.	342.0
Costa Rica	51.1
Cote d'Ivoire	322.5
Croatia	56.6
Cuba	109.9
Curacao	0.4
Cyprus	9.3
Czech Republic	78.9
Denmark	42.9
Djibouti	23.2
Dominica	0.8
Dominican Republic	48.7
Ecuador	256.4
Egypt, Arab Rep.	1,001.5
El Salvador	21.0
Equatorial Guinea	28.1
Eritrea	117.6
Estonia	45.3
Eswatini	17.4
Ethiopia	1,104.3
Faroe Islands	1.4
Fiji	18.3
Finland	338.5
France	549.1
French Polynesia	4.0
Gabon	267.7
Gambia, The	11.3
Georgia	69.7
Germany	357.6
Ghana	238.5
Greece	132.0
Greenland	410.5
Grenada	0.3
Guam	0.5
Guatemala	108.9
Guinea	245.9
Guinea-Bissau	36.1
Guyana	215.0
Haiti	27.8
Honduras	112.5
Hungary	93.0
Iceland	103.0
India	3,287.3
Indonesia	1,913.6
Iran, Islamic Rep.	1,745.2
Iraq	435.1
Ireland	70.3
Isle of Man	0.6
Israel	22.1
Italy	301.3
Jamaica	11.0
Japan	378.0
Jordan	89.3
Kazakhstan	2,724.9
Kenya	580.4
Kiribati	0.8
Korea, Dem. People’s Rep.	120.5
Korea, Rep.	100.3
Kosovo	10.9
Kuwait	17.8
Kyrgyz Republic	200.0
Lao PDR	236.8
Latvia	64.5
Lebanon	10.5
Lesotho	30.4
Liberia	111.4
Libya	1,759.5
Liechtenstein	0.2
Lithuania	65.3
Luxembourg	2.6
Madagascar	587.3
Malawi	118.5
Malaysia	330.3
Maldives	0.3
Mali	1,240.2
Malta	0.3
Marshall Islands	0.2
Mauritania	1,030.7
Mauritius	2.0
Mexico	1,964.4
Micronesia, Fed. Sts.	0.7
Moldova	33.9
Monaco	0.0
Mongolia	1,564.1
Montenegro	13.8
Morocco	446.6
Mozambique	786.4
Myanmar	676.6
Namibia	824.3
Nauru	0.0
Nepal	147.2
Netherlands	41.5
New Caledonia	18.6
New Zealand	267.7
Nicaragua	130.4
Niger	1,267.0
Nigeria	923.8
North Macedonia	25.7
Northern Mariana Islands	0.5
Norway	625.2
Oman	309.5
Pakistan	796.1
Palau	0.5
Panama	75.4
Papua New Guinea	462.8
Paraguay	406.8
Peru	1,285.2
Philippines	300.0
Poland	312.7
Portugal	92.2
Puerto Rico	8.9
Qatar	11.6
Romania	238.4
Russian Federation	17,098.3
Rwanda	26.3
Samoa	2.8
San Marino	0.1
Sao Tome and Principe	1.0
Saudi Arabia	2,149.7
Senegal	196.7
Serbia	88.4
Seychelles	0.5
Sierra Leone	72.3
Singapore	0.7
Sint Maarten (Dutch part)	0.0
Slovak Republic	49.0
Slovenia	20.7
Solomon Islands	28.9
Somalia	637.7
South Africa	1,219.1
South Sudan	..
Spain	505.9
Sri Lanka	65.6
St. Kitts and Nevis	0.3
St. Lucia	0.6
St. Martin (French part)	0.1
St. Vincent and the Grenadines	0.4
Sudan	..
Suriname	163.8
Sweden	447.4
Switzerland	41.3
Syrian Arab Republic	185.2
Tajikistan	141.4
Tanzania	947.3
Thailand	513.1
Timor-Leste	14.9
Togo	56.8
Tonga	0.8
Trinidad and Tobago	5.1
Tunisia	163.6
Turkey	785.4
Turkmenistan	488.1
Turks and Caicos Islands	1.0
Tuvalu	0.0
Uganda	241.6
Ukraine	603.6
United Arab Emirates	83.6
United Kingdom	243.6
United States	9,831.5
Uruguay	176.2
Uzbekistan	447.4
Vanuatu	12.2
Venezuela, RB	912.1
Vietnam	331.2
Virgin Islands (U.S.)	0.4
West Bank and Gaza	6.0
Yemen, Rep.	528.0
Zambia	752.6
Zimbabwe	390.8
World	132,025.2
East Asia & Pacific	24,827.7
Europe & Central Asia	28,691.0
Latin America & Caribbean	20,425.5
Middle East & North Africa	11,370.6
North America	19,820.5
South Asia	5,135.3
Sub-Saharan Africa	21,754.5
Low income	12,870.1
Lower middle income	22,578.8
Upper middle income	59,108.0
High income	37,468.3
