Country	Goods, Exports	Goods, Imports	Services, Exports
Afghanistan	0	0.2	16.2
Albania	0	1.9	3
Algeria	0	4.9	5.2
American Samoa	..	..	..
Andorra	2020.4	2020.3	..
Angola	0	2.5	2.5
Antigua and Barbuda	1.2	3.7	0.9
Argentina	0.1	2020.6	2020.6
Armenia	0.3	5.4	11
Aruba	2020.3	2020.2	2020.1
Australia	1	10.4	4.3
Austria	3.4	5.3	9.8
Azerbaijan	0	4.6	1.4
Bahamas, The	..	..	..
Bahrain	0.4	4.2	6.7
Bangladesh	..	..	13.6
Barbados	0.6	3.7	..
Belarus	0.7	2020.6	2020.4
Belgium	1.7	2.7	10.7
Belize	0.1	3.6	3.7
Benin	0.1	1.9	8
Bermuda	2020.4	3	2020.8
Bhutan	..	..	0.3
Bolivia	0.1	4.3	4.6
Bosnia and Herzegovina	0.2	2020.6	8
Botswana	0.2	3	2.2
Brazil	0.4	2020.8	2020.3
British Virgin Islands	..	..	..
Brunei Darussalam	0.2	3	0
Bulgaria	3.3	5	12.3
Burkina Faso	0	3.4	10.8
Burundi	0.1	4.8	3.2
Cabo Verde	0	3.5	5
Cambodia	1.9	2.2	1.4
Cameroon	0	3.4	6.8
Canada	1.8	7.2	8.3
Cayman Islands	..	..	..
Central African Republic	0	4.1	..
Chad	..	..	..
Channel Islands	..	..	..
Chile	0.3	2020.1	2020.4
China	27.3	22.7	12.7
Colombia	0.2	9.9	4.1
Comoros	..	..	..
Congo, Dem. Rep.	..	..	6.1
Congo, Rep.	..	..	6.4
Costa Rica	0.9	2020.6	2020.8
Cote d'Ivoire	0	3.2	10.7
Croatia	2.3	4.8	5.2
Cuba	..	..	..
Curacao	..	..	2
Cyprus	4.5	3.5	15.8
Czech Republic	15.1	16.3	14
Denmark	3.7	7	6.5
Djibouti	..	..	2.1
Dominica	..	..	2020.1
Dominican Republic	2.2	4.8	1.6
Ecuador	0.1	5.9	1.4
Egypt, Arab Rep.	2.4	5	3.5
El Salvador	0.2	5.1	8
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	8.5	8.5	10.5
