Country	Deaths
Afghanistan	0.11
Albania	1.43
Algeria	0.81
American Samoa	6.86
Andean Latin America	2.41
Andorra	18.15
Angola	0.76
Antigua and Barbuda	0.69
Argentina	02.04
Armenia	3.39
Australasia	13.78
Australia	14.60
Austria	48.24
Azerbaijan	3.84
Bahamas	1.22
Bahrain	0.35
Bangladesh	0.53
Barbados	1.41
Belarus	2.42
Belgium	17.34
Belize	0.59
Benin	0.30
Bermuda	0.57
Bhutan	0.92
Bolivia	1.92
Bosnia and Herzegovina	1.48
Botswana	02.03
Brazil	3.83
Brunei	46.66
Bulgaria	3.35
Burkina Faso	0.25
Burundi	0.23
Cambodia	0.09
Cameroon	1.00
Canada	14.67
Cape Verde	0.79
Caribbean	4.82
Central African Republic	0.45
Central Asia	04.06
Central Europe	5.81
Central Latin America	02.08
Central Sub-Saharan Africa	0.64
Chad	0.21
Chile	0.37
China	2.63
Colombia	0.28
Comoros	0.74
Congo	1.85
Costa Rica	0.35
Cote d'Ivoire	0.43
Croatia	4.47
Cuba	3.37
Cyprus	0.70
Czech Republic	03.09
Democratic Republic of Congo	0.47
Denmark	10.22
Djibouti	0.48
Dominica	1.65
Dominican Republic	12.84
East Asia	2.67
Eastern Europe	4.40
Eastern Sub-Saharan Africa	0.51
Ecuador	0.60
Egypt	0.61
El Salvador	2.85
England	20.77
Equatorial Guinea	1.74
Eritrea	0.49
Estonia	60.86
Ethiopia	0.20
Fiji	4.77
Finland	23.06
France	24.83
Gabon	1.81
Gambia	0.46
Georgia	05.01
Germany	33.57
Ghana	01.08
Greece	16.39
Greenland	9.81
Grenada	0.62
Guam	8.72
Guatemala	1.32
Guinea	0.31
Guinea-Bissau	0.33
Guyana	0.79
Haiti	0.27
High SDI	19.57
High-income	20.07
High-income Asia Pacific	38.74
High-middle SDI	03.06
Honduras	03.03
Hungary	2.96
Iceland	3.57
India	01.05
Indonesia	0.24
Iran	9.47
Iraq	0.29
Ireland	3.83
Israel	0.88
Italy	10.90
Jamaica	01.06
Japan	44.01
Jordan	0.97
Kazakhstan	3.81
Kenya	1.22
Kiribati	2.20
Kuwait	11.02
Kyrgyzstan	8.84
Laos	0.13
Latin America and Caribbean	3.10
Latvia	3.20
Lebanon	1.86
Lesotho	1.50
Liberia	0.31
Libya	2.85
Lithuania	0.42
Low SDI	0.40
Low-middle SDI	01.02
Luxembourg	61.81
Macedonia	2.74
Madagascar	0.37
Malawi	0.48
Malaysia	0.40
Maldives	0.12
Mali	0.22
Malta	16.06
Marshall Islands	6.55
Mauritania	0.52
Mauritius	0.32
Mexico	2.92
Micronesia (country)	4.40
Middle SDI	1.88
Moldova	19.78
Mongolia	3.70
Montenegro	2.78
Morocco	0.35
Mozambique	0.38
Myanmar	0.19
Namibia	1.52
Nepal	0.37
Netherlands	44.35
New Zealand	9.10
Nicaragua	2.00
Niger	0.13
Nigeria	0.74
North Africa and Middle East	02.06
North America	13.56
North Korea	0.62
Northern Ireland	24.67
Northern Mariana Islands	4.61
Norway	14.74
Oceania	02.06
Oman	0.51
Pakistan	0.97
Palestine	0.78
Panama	13.64
Papua New Guinea	1.52
Paraguay	12.30
Peru	3.51
Philippines	0.16
Poland	11.44
Portugal	0.25
Puerto Rico	09.04
Qatar	0.38
Romania	2.67
Russia	4.19
Rwanda	0.45
Saint Lucia	0.60
Saint Vincent and the Grenadines	0.51
Samoa	3.95
Sao Tome and Principe	0.99
Saudi Arabia	0.74
Scotland	27.68
Senegal	0.36
Serbia	1.95
Seychelles	0.42
Sierra Leone	0.33
Singapore	0.89
Slovakia	3.49
Slovenia	2.98
Solomon Islands	1.58
Somalia	0.20
South Africa	2.95
South Asia	0.99
South Korea	32.59
South Sudan	0.23
Southeast Asia	0.24
Southern Latin America	1.60
Southern Sub-Saharan Africa	2.59
Spain	6.36
Sri Lanka	0.30
Sub-Saharan Africa	0.76
Sudan	0.21
Suriname	0.66
Swaziland	1.88
Sweden	9.83
Switzerland	54.73
Syria	0.55
Taiwan	7.42
Tajikistan	2.76
Tanzania	0.64
Thailand	0.40
Timor	0.14
Togo	0.43
Tonga	3.16
Trinidad and Tobago	0.57
Tropical Latin America	04.08
Tunisia	0.52
Turkey	1.45
Turkmenistan	3.34
Uganda	0.48
Ukraine	2.81
United Arab Emirates	01.06
United Kingdom	21.43
United States	13.45
United States Virgin Islands	0.18
Uruguay	2.33
Uzbekistan	3.83
Vanuatu	3.14
Venezuela	0.39
Vietnam	0.21
Wales	20.53
Western Europe	21.37
Western Sub-Saharan Africa	0.62
World	4.11
Yemen	0.12
Zambia	0.96
Zimbabwe	1.47
