Country	Modeled estimates
Afghanistan	673
Albania	16
Algeria	113
American Samoa	..
Andorra	..
Angola	246
Antigua and Barbuda	43
Argentina	40
Armenia	26
Aruba	..
Australia	6
Austria	5
Azerbaijan	26
Bahamas, The	72
Bahrain	15
Bangladesh	186
Barbados	30
Belarus	3
Belgium	5
Belize	39
Benin	408
Bermuda	..
Bhutan	193
Bolivia	161
Bosnia and Herzegovina	10
Botswana	151
Brazil	62
Brunei Darussalam	31
Bulgaria	10
Burkina Faso	331
Burundi	558
Cabo Verde	59
Cambodia	168
Cameroon	538
Canada	10
Cayman Islands	..
Central African Republic	890
Chad	1140
Channel Islands	..
Chile	13
China	29
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	84
Comoros	279
Congo, Dem. Rep.	481
Congo, Rep.	397
Costa Rica	28
Cote d'Ivoire	636
Croatia	7
Cuba	37
Curacao	..
Cyprus	6
Czech Republic	4
Denmark	4
Djibouti	246
Dominica	..
Dominican Republic	94
Ecuador	61
Egypt, Arab Rep.	38
El Salvador	47
Equatorial Guinea	301
Eritrea	498
Estonia	11
Eswatini	436
Ethiopia	422
Faroe Islands	..
Fiji	34
Finland	3
France	8
French Polynesia	..
Gabon	256
Gambia, The	611
Georgia	26
Germany	5
Ghana	314
Greece	3
Greenland	..
Grenada	25
Guam	..
Guatemala	98
Guinea	621
Guinea-Bissau	679
Guyana	170
Haiti	489
Honduras	65
Hungary	12
Iceland	4
India	150
Indonesia	184
Iran, Islamic Rep.	16
Iraq	78
Ireland	6
Isle of Man	..
Israel	3
Italy	2
Jamaica	80
Japan	5
Jordan	47
Kazakhstan	10
Kenya	346
Kiribati	94
Korea, Dem. Peopleâ€™s Rep.	90
Korea, Rep.	11
Kosovo	..
Kuwait	12
Kyrgyz Republic	63
Lao PDR	196
Latvia	26
Lebanon	29
Lesotho	559
Liberia	661
Libya	73
Liechtenstein	..
Lithuania	8
Luxembourg	5
Madagascar	348
Malawi	358
Malaysia	29
Maldives	54
Mali	590
Malta	6
Marshall Islands	..
Mauritania	777
Mauritius	67
Mexico	34
Micronesia, Fed. Sts.	90
Moldova	20
Monaco	..
Mongolia	46
Montenegro	6
Morocco	72
Mozambique	301
Myanmar	245
Namibia	207
Nepal	200
Netherlands	6
New Caledonia	..
New Zealand	10
Nicaragua	100
Niger	530
Nigeria	925
North Macedonia	8
Northern Mariana Islands	..
Norway	3
Oman	19
Pakistan	143
Palau	..
Panama	55
Papua New Guinea	148
Paraguay	130
Peru	91
Philippines	124
Poland	2
Portugal	9
Puerto Rico	20
Qatar	9
Romania	21
Russian Federation	18
Rwanda	260
Samoa	44
San Marino	..
Sao Tome and Principe	130
Saudi Arabia	17
Senegal	330
Serbia	12
Seychelles	54
Sierra Leone	1120
Singapore	8
Sint Maarten (Dutch part)	..
Slovak Republic	6
Slovenia	7
Solomon Islands	108
Somalia	865
South Africa	122
South Sudan	1130
Spain	4
Sri Lanka	36
St. Kitts and Nevis	..
St. Lucia	117
St. Martin (French part)	..
St. Vincent and the Grenadines	67
Sudan	308
Suriname	121
Sweden	4
Switzerland	5
Syrian Arab Republic	30
Tajikistan	17
Tanzania	539
Thailand	37
Timor-Leste	152
Togo	395
Tonga	53
Trinidad and Tobago	68
Tunisia	45
Turkey	18
Turkmenistan	8
Turks and Caicos Islands	..
Tuvalu	..
Uganda	381
Ukraine	20
United Arab Emirates	3
United Kingdom	7
United States	19
Uruguay	18
Uzbekistan	29
Vanuatu	74
Venezuela, RB	121
Vietnam	44
Virgin Islands (U.S.)	..
West Bank and Gaza	29
Yemen, Rep.	165
Zambia	222
Zimbabwe	468
World	214
East Asia & Pacific	71
Europe & Central Asia	13
Latin America & Caribbean	76
Middle East & North Africa	58
North America	18
South Asia	169
Sub-Saharan Africa	545
Low income	468
Lower middle income	269
Upper middle income	59
High income	11
