Country	Political Rights (2015)	Civil Liberties (2015)	Political Rights  (2016)	Civil Liberties  (2016)	Political Rights (2017)	Civil Liberties (2017)	Political Rights (2018)	Civil Liberties (2018)	Political Rights (2019)	Civil Liberties (2019)	Political Rights (2020)	Civil Liberties (2020)
Afghanistan	6	6	6	6	6	6	5	6	5	6	5	6
Albania	3	3	3	3	3	3	3	3	3	3	3	3
Algeria	6	5	6	5	6	5	6	5	6	5	6	5
Andorra	1	1	1	1	1	1	1	1	1	1	1	1
Angola	6	5	6	6	6	6	6	6	6	5	6	5
Antigua and Barbuda	2	2	2	2	2	2	2	2	2	2	2	2
Argentina	2	2	2	2	2	2	2	2	2	2	1	1
Armenia	5	4	5	4	5	4	5	4	4	4	4	4
Australia	1	1	1	1	1	1	1	1	1	1	1	1
Austria	1	1	1	1	1	1	1	1	1	1	1	1
Azerbaijan	6	6	7	6	7	6	7	6	7	6	7	6
Bahamas	1	1	1	1	1	1	1	1	1	1	1	1
Bahrain	7	6	7	6	7	6	7	6	7	6	7	6
Bangladesh	4	4	4	4	4	4	4	4	5	5	5	5
Barbados	1	1	1	1	1	1	1	1	1	1	1	1
Belarus	7	6	7	6	7	6	6	6	7	6	7	6
Belgium	1	1	1	1	1	1	1	1	1	1	1	1
Belize	1	2	1	2	1	2	1	2	1	2	1	2
Benin	2	2	2	2	2	2	2	2	2	2	4	2
Bhutan	3	4	3	4	3	4	3	4	3	4	3	4
Bolivia	3	3	3	3	3	3	3	3	3	3	3	3
Bosnia and Herzegovina	4	3	4	3	4	4	4	4	4	4	4	4
Botswana	3	2	3	2	3	2	3	2	3	2	3	2
Brazil	2	2	2	2	2	2	2	2	2	2	2	2
Brunei	6	5	6	5	6	5	6	5	6	5	6	5
Bulgaria	2	2	2	2	2	2	2	2	2	2	2	2
Burkina Faso	6	3	4	3	4	3	4	3	4	3	4	3
Burundi	6	5	7	6	7	6	7	6	7	6	7	6
Cambodia	6	5	6	5	6	5	6	5	6	5	6	5
Cameroon	6	6	6	6	6	6	6	6	6	6	6	6
Canada	1	1	1	1	1	1	1	1	1	1	1	1
Cape Verde	1	1	1	1	1	1	1	1	1	1	1	1
Central African Republic	7	7	7	7	7	7	7	7	7	7	7	7
Chad	7	6	7	6	7	6	7	6	7	6	7	6
Chile	1	1	1	1	1	1	1	1	1	1	1	1
China	7	6	7	6	7	6	7	6	7	6	7	6
Colombia	3	4	3	4	3	3	3	3	3	3	3	3
Comoros	3	4	3	4	3	4	3	4	4	4	4	5
Congo, Democratic Republic of	6	6	6	6	7	6	7	6	7	6	7	5
Congo, Republic of	6	5	6	5	7	5	7	5	7	5	7	5
Costa Rica	1	1	1	1	1	1	1	1	1	1	1	1
Croatia	1	2	1	2	1	2	1	2	1	2	1	2
Cuba	7	6	7	6	7	6	7	6	7	6	7	6
CyPolitical Rightsus	1	1	1	1	1	1	1	1	1	1	1	1
Czech Republic	1	1	1	1	1	1	1	1	1	1	1	1
Denmark	1	1	1	1	1	1	1	1	1	1	1	1
Djibouti	6	5	6	5	6	5	6	5	6	5	7	5
Dominica	1	1	1	1	1	1	1	1	1	1	1	1
Dominican Republic	2	3	3	3	3	3	3	3	3	3	3	3
East Timor	3	3	3	3	3	3	2	3	2	3	2	3
Ecuador	3	3	3	3	3	4	3	3	3	3	3	3
Egypt	6	5	6	5	6	5	6	6	6	6	6	6
El Salvador	2	3	2	3	2	3	2	3	2	3	3	3
Equatorial Guinea	7	7	7	7	7	7	7	7	7	7	7	7
Eritrea	7	7	7	7	7	7	7	7	7	7	7	7
Estonia	1	1	1	1	1	1	1	1	1	1	1	1
Ethiopia	6	6	7	6	7	6	7	6	6	6	6	6
Eswatini	7	5	7	5	7	5	7	6	7	6	7	5
Fiji	3	4	3	3	3	4	3	3	3	3	3	3
Finland	1	1	1	1	1	1	1	1	1	1	1	1
France	1	1	1	1	1	2	1	2	1	2	1	2
Gabon	6	5	6	5	6	5	7	5	7	5	7	5
Gambia	6	6	7	6	6	6	4	5	4	5	4	4
Georgia	3	3	3	3	3	3	3	3	3	3	3	3
Germany	1	1	1	1	1	1	1	1	1	1	1	1
Ghana	1	2	1	2	1	2	1	2	1	2	2	2
Greece	2	2	2	2	2	2	2	2	1	2	1	2
Grenada	1	2	1	2	1	2	1	2	1	2	1	2
Guatemala	3	4	4	4	4	4	4	4	4	4	4	4
Guinea	5	5	5	5	5	5	5	5	5	4	5	5
Guinea-Bissau	5	5	5	5	5	5	5	5	5	4	5	4
Guyana	2	3	2	3	2	3	2	3	2	3	2	3
Haiti	5	5	5	5	5	5	5	5	5	5	5	5
Honduras	4	4	4	4	4	4	4	4	4	4	4	4
Hungary	2	2	2	2	3	2	3	2	3	3	3	3
Iceland	1	1	1	1	1	1	1	1	1	1	1	1
India	2	3	2	3	2	3	2	3	2	3	2	3
Indonesia	2	4	2	4	2	4	2	4	2	4	2	4
Iran	6	6	6	6	6	6	6	6	6	6	6	6
Iraq	6	6	5	6	5	6	5	6	5	6	5	6
Ireland	1	1	1	1	1	1	1	1	1	1	1	1
Israel	1	2	1	2	1	2	1	3	2	3	2	3
Italy	1	1	1	1	1	1	1	1	1	1	1	1
Ivory Coast	5	4	4	4	4	4	4	4	4	4	4	4
Jamaica	2	3	2	3	2	3	2	3	2	2	2	2
Japan	1	1	1	1	1	1	1	1	1	1	1	1
Jordan	6	5	6	5	5	5	5	5	5	5	5	5
Kazakhstan	6	5	6	5	7	5	7	5	7	5	7	5
Kenya	4	4	4	4	4	4	4	4	4	4	4	4
Kiribati	1	1	1	1	1	1	1	1	1	1	1	1
Kosovo	4	4	3	4	3	4	3	4	3	4	3	4
Kuwait	5	5	5	5	5	5	5	5	5	5	5	5
Kyrgyzstan	5	5	5	5	5	5	5	5	5	4	5	4
Laos	7	6	7	6	7	6	7	6	7	6	7	6
Latvia	2	2	2	2	1	2	2	2	2	2	1	2
Lebanon	5	4	5	4	5	4	6	4	5	4	5	4
Lesotho	2	3	3	3	3	3	3	3	3	3	3	3
Liberia	3	4	3	4	3	4	3	3	3	3	3	4
Libya	6	6	6	6	7	6	7	6	7	6	7	6
Liechtenstein	1	1	1	1	2	1	2	1	2	1	2	1
Lithuania	1	1	1	1	1	1	1	1	1	1	1	1
Luxembourg	1	1	1	1	1	1	1	1	1	1	1	1
Madagascar	4	4	3	4	3	4	3	4	3	4	3	3
Malawi	3	4	3	3	3	3	3	3	3	3	3	3
Malaysia	4	4	4	4	4	4	4	4	4	4	4	4
Maldives	4	4	4	5	5	5	5	5	5	5	4	5
Mali	5	4	5	4	5	4	5	4	4	4	5	5
Malta	1	1	1	1	1	1	1	1	2	1	2	1
Marshall Islands	1	1	1	1	1	1	1	1	1	1	1	1
Mauritania	6	5	6	5	6	5	6	5	6	5	5	5
Mauritius	1	2	1	2	1	2	1	2	1	2	1	2
Mexico	3	3	3	3	3	3	3	3	3	3	3	3
Micronesia	1	1	1	1	1	1	1	1	1	1	1	1
Moldova	3	3	3	3	3	3	3	3	3	4	3	4
Monaco	2	1	2	1	3	1	3	1	3	1	3	1
Mongolia	1	2	1	2	1	2	1	2	1	2	1	2
Montenegro	3	2	3	3	3	3	3	3	4	3	4	3
Morocco	5	4	5	4	5	4	5	5	5	5	5	5
Mozambique	4	3	4	4	4	4	4	4	4	4	5	4
Myanmar	6	6	6	5	5	5	5	5	5	5	5	6
Namibia	2	2	2	2	2	2	2	2	3	2	2	2
Nauru	1	2	2	2	2	2	2	2	2	2	2	3
Nepal	3	4	3	4	3	4	3	4	3	4	3	4
Netherlands	1	1	1	1	1	1	1	1	1	1	1	1
New Zealand	1	1	1	1	1	1	1	1	1	1	1	1
Nicaragua	4	3	4	3	5	4	5	4	6	5	6	5
Niger	3	4	3	4	4	4	4	4	4	4	4	4
Nigeria	4	5	4	5	3	5	3	5	3	5	4	5
North Korea	7	7	7	7	7	7	7	7	7	7	7	7
North Macedonia	4	3	4	3	4	3	4	3	4	3	3	3
Norway	1	1	1	1	1	1	1	1	1	1	1	1
Oman	6	5	6	5	6	5	6	5	6	5	6	5
Pakistan	4	5	4	5	4	5	4	5	5	5	5	5
Palau	1	1	1	1	1	1	1	1	1	1	1	1
Panama	2	2	2	2	2	2	2	2	1	2	1	2
Papua New Guinea	4	3	4	3	3	3	3	3	4	3	4	3
Paraguay	3	3	3	3	3	3	3	3	3	3	3	3
Peru	2	3	2	3	2	3	2	3	2	3	2	3
Philippines	3	3	3	3	3	3	3	3	3	3	3	4
Poland	1	1	1	1	1	2	1	2	2	2	2	2
Portugal	1	1	1	1	1	1	1	1	1	1	1	1
Qatar	6	5	6	5	6	5	6	5	6	5	6	5
Romania	2	2	2	2	2	2	2	2	2	2	2	2
Russia	6	6	6	6	7	6	7	6	7	6	7	6
Rwanda	6	6	6	6	6	6	6	6	6	6	6	6
Saint Kitts and Nevis	1	1	2	1	1	1	1	1	1	1	1	1
Saint Lucia	1	1	1	1	1	1	1	1	1	1	1	1
Saint Vincent and the Grenadines	1	1	1	1	1	1	1	1	1	1	1	1
Samoa	2	2	2	2	2	2	2	2	2	2	2	2
San Marino	1	1	1	1	1	1	1	1	1	1	1	1
São Tomé and Political Rightsíncipe	2	2	2	2	2	2	2	2	2	2	2	2
Saudi Arabia	7	7	7	7	7	7	7	7	7	7	7	7
Senegal	2	2	2	2	2	2	2	2	2	3	3	3
Serbia	2	2	2	2	3	2	3	2	3	3	4	3
Seychelles	3	3	3	3	3	3	3	3	3	3	3	3
Sierra Leone	3	3	3	3	3	3	3	3	3	3	3	3
Singapore	4	4	4	4	4	4	4	4	4	4	4	4
Slovakia	1	1	1	1	1	1	1	1	1	2	1	2
Slovenia	1	1	1	1	1	1	1	1	1	1	1	1
Solomon Islands	3	3	3	3	3	2	3	2	2	2	2	2
Somalia	7	7	7	7	7	7	7	7	7	7	7	7
South Africa	2	2	2	2	2	2	2	2	2	2	2	2
South Korea	2	2	2	2	2	2	2	2	2	2	2	2
South Sudan	7	6	7	6	7	7	7	7	7	7	7	7
Spain	1	1	1	1	1	1	1	1	1	1	1	1
Sri Lanka	5	5	4	4	3	4	3	4	3	4	4	4
Sudan	7	7	7	7	7	7	7	7	7	7	7	6
Suriname	2	2	2	3	2	3	2	2	2	3	2	3
Sweden	1	1	1	1	1	1	1	1	1	1	1	1
Switzerland	1	1	1	1	1	1	1	1	1	1	1	1
Syria	7	7	7	7	7	7	7	7	7	7	7	7
Taiwan	1	2	1	2	1	1	1	1	1	1	1	1
Tajikistan	6	6	7	6	7	6	7	6	7	6	7	6
Tanzania	3	3	3	4	3	4	4	4	4	5	5	5
Thailand	6	5	6	5	6	5	6	5	7	5	6	4
Togo	4	4	4	4	4	4	4	4	5	4	5	4
Tonga	2	2	2	2	2	2	2	2	2	2	2	2
Trinidad and Tobago	2	2	2	2	2	2	2	2	2	2	2	2
Tunisia	1	3	1	3	1	3	2	3	2	3	2	3
Turkey	3	4	3	4	4	5	5	6	5	6	5	6
Turkmenistan	7	7	7	7	7	7	7	7	7	7	7	7
Tuvalu	1	1	1	1	1	1	1	1	1	1	1	1
Uganda	6	5	6	5	6	5	6	4	6	5	6	5
Ukraine	3	3	3	3	3	3	3	3	3	4	3	3
United Arab Emirates	6	6	6	6	6	6	7	6	7	6	7	6
United Kingdom	1	1	1	1	1	1	1	1	1	1	1	1
United States	1	1	1	1	1	1	2	1	2	1	2	1
Uruguay	1	1	1	1	1	1	1	1	1	1	1	1
Uzbekistan	7	7	7	7	7	7	7	7	7	6	7	6
Vanuatu	2	2	2	2	2	2	2	2	2	2	2	2
Venezuela	5	5	5	5	6	5	6	5	7	6	7	6
Vietnam	7	5	7	5	7	5	7	5	7	5	7	5
Yemen	6	6	7	6	7	6	7	6	7	6	7	6
Zambia	3	4	3	4	4	4	4	4	4	4	4	4
Zimbabwe	5	6	5	5	5	5	6	5	5	5	5	5
