Country	Kg (2000)	Kg (2016)
Afghanistan	806	1982
Albania	3175	4716
Algeria	883	1020
American Samoa	..	..
Andorra	..	..
Angola	564	934
Antigua and Barbuda	1600	1587
Argentina	3473	5204
Armenia	1383	3076
Aruba	..	..
Australia	1962	2075
Austria	5404	7245
Azerbaijan	2335	3005
Bahamas, The	2476	8526
Bahrain	..	..
Bangladesh	3384	4601
Barbados	2609	2853
Belarus	1950	3207
Belgium	8021	6985
Belize	2418	3165
Benin	1102	1456
Bermuda	..	..
Bhutan	1438	3378
Bolivia	1642	2111
Bosnia and Herzegovina	2550	5192
Botswana	153	478
Brazil	2643	4181
Brunei Darussalam	650	1558
Bulgaria	2460	4818
Burkina Faso	856	1137
Burundi	1228	1525
Cabo Verde	795	178
Cambodia	2134	3478
Cameroon	1764	1644
Canada	2806	4159
Cayman Islands	..	..
Central African Republic	993	880
Chad	531	845
Channel Islands	..	..
Chile	4362	6858
China	4753	5981
Hong Kong SAR, China	1923	2000
Macao SAR, China	..	..
Colombia	3229	4342
Comoros	1322	1354
Congo, Dem. Rep.	787	770
Congo, Rep.	754	824
Costa Rica	3626	4018
Cote d'Ivoire	1682	2135
Croatia	4115	6691
Cuba	2528	2939
Curacao	..	..
Cyprus	931	436
Czech Republic	3906	6317
Denmark	6216	6222
Djibouti	1833	1922
Dominica	1357	1692
Dominican Republic	4159	3152
Ecuador	2306	3791
Egypt, Arab Rep.	7280	7249
El Salvador	2155	2746
Equatorial Guinea	..	..
Eritrea	377	641
Estonia	2115	2658
Eswatini	1633	1141
Ethiopia	1116	2484
Faroe Islands	..	..
Fiji	2434	3366
Finland	3499	3574
France	7232	5687
French Polynesia	..	..
Gabon	1630	1600
Gambia, The	1296	877
Georgia	1369	2517
Germany	6453	7182
Ghana	1309	1842
Greece	3869	4029
Greenland	..	..
Grenada	1003	1007
Guam	1917	2607
Guatemala	1776	2152
Guinea	1492	1144
Guinea-Bissau	1097	1551
Guyana	3799	3516
Haiti	932	1043
Honduras	1368	1759
Hungary	3633	6487
Iceland	..	..
India	2294	3021
Indonesia	4026	5252
Iran, Islamic Rep.	1835	2653
Iraq	363	3086
Ireland	7796	8223
Isle of Man	..	..
Israel	2443	4977
Italy	4994	5602
Jamaica	1147	1090
Japan	6257	6083
Jordan	1728	1872
Kazakhstan	943	1348
Kenya	1375	1383
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	2375	4084
Korea, Rep.	6380	6793
Kosovo	..	..
Kuwait	5611	5221
Kyrgyz Republic	2669	3104
Lao PDR	3018	4627
Latvia	2199	3828
Lebanon	2415	3032
Lesotho	719	468
Liberia	1278	1273
Libya	638	719
Liechtenstein	..	..
Lithuania	2708	3860
Luxembourg	5329	5000
North Macedonia	2565	3859
Madagascar	1891	3906
Malawi	1676	1347
Malaysia	3040	4013
Maldives	1477	2556
Mali	1007	1606
Malta	4008	4759
Marshall Islands	..	..
Mauritania	864	1265
Mauritius	8900	3455
Mexico	2761	3749
Micronesia, Fed. Sts.	1231	1638
Moldova	2033	3197
Monaco	..	..
Mongolia	770	1279
Montenegro	..	3262
Morocco	367	936
Mozambique	868	835
Myanmar	3054	3607
Namibia	391	443
Nepal	2136	2605
Netherlands	7906	7777
New Caledonia	3761	6894
New Zealand	6317	8384
Nicaragua	1688	1934
Niger	289	537
Nigeria	1172	1535
Northern Mariana Islands	..	..
Norway	3931	4650
Oman	5154	12931
Pakistan	2405	3021
Palau	..	..
Panama	2237	2610
Papua New Guinea	4024	4760
Paraguay	1980	4426
Peru	3084	4188
Philippines	2581	3529
Poland	2535	4034
Portugal	2794	4422
Puerto Rico	1724	3132
Qatar	4099	4693
Romania	1928	3971
Russian Federation	1561	2651
Rwanda	848	1461
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	2230	2087
Saudi Arabia	3516	5401
Senegal	879	1340
Serbia	..	6167
Seychelles	..	..
Sierra Leone	1078	1910
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2710	6430
Slovenia	4803	6467
Solomon Islands	4650	1705
Somalia	733	507
South Africa	2766	3819
South Sudan	..	1506
Spain	3603	3863
Sri Lanka	3338	3184
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	15000	24743
Sudan	..	685
Suriname	3896	4433
Sweden	4560	5438
Switzerland	6402	5155
Syrian Arab Republic	1149	1554
Tajikistan	1311	3349
Tanzania	1441	1546
Thailand	2719	2975
Timor-Leste	1937	2394
Togo	1058	1132
Tonga	..	..
Trinidad and Tobago	2277	1483
Tunisia	985	1542
Turkey	2371	3105
Turkmenistan	2122	844
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	1539	1886
Ukraine	1951	4652
United Arab Emirates	17505	28130
United Kingdom	7165	7023
United States	5854	8145
Uruguay	3892	4941
Uzbekistan	2695	4586
Vanuatu	515	609
Venezuela, RB	3248	3427
Vietnam	4112	5441
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2185	1808
Yemen, Rep.	1085	687
Zambia	1682	2418
Zimbabwe	1160	582
World	3089	3967
East Asia & Pacific	3998	5071
Europe & Central Asia	2891	3785
Latin America & Caribbean	2852	4178
Middle East & North Africa	1818	2626
North America	5131	7368
South Asia	2376	3132
Sub-Saharan Africa	1182	1400
Low income	977	1329
Lower middle income	2287	3034
Upper middle income	3165	4366
High income	4597	5957
