Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	11.4	12.6
Albania	8	5.9
Algeria	-7	8.7
American Samoa	..	..
Andorra	..	..
Angola	-6.9	-12.2
Antigua and Barbuda	9.3	6
Argentina	-8.6	10.4
Armenia	10.6	10.5
Aruba	11.1	5.2
Australia	6	1.7
Austria	..	..
Azerbaijan	6	17.6
Bahamas, The	5.9	2.8
Bahrain	-0.2	..
Bangladesh	4.7	4.9
Barbados	4.7	5.1
Belarus	-1.9	2.3
Belgium	..	..
Belize	12.2	8.9
Benin	4.2	5.5
Bermuda	..	..
Bhutan	7.6	12
Bolivia	1	9.2
Bosnia and Herzegovina	6.3	1.2
Botswana	2.3	5.7
Brazil	29.1	32
Brunei Darussalam	-9.6	9.1
Bulgaria	9.9	-0.1
Burkina Faso	1.3	3.1
Burundi	3.6	13.6
Cabo Verde	10.5	8.5
Cambodia	..	..
Cameroon	..	..
Canada	-0.3	0.2
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	-3.9	1.8
China	-1	2.7
Hong Kong SAR, China	4.7	1.3
Macao SAR, China	0.4	2.7
Colombia	5.4	7.2
Comoros	8.7	6.9
Congo, Dem. Rep.	29.6	28.9
Congo, Rep.	..	..
Costa Rica	9.9	6.9
Cote d'Ivoire	-0.3	7.1
Croatia	9.4	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	7.4	0.2
Denmark	..	..
Djibouti	..	..
Dominica	9.1	5
Dominican Republic	6.3	10.8
Ecuador	..	..
Egypt, Arab Rep.	0.8	2.2
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Eswatini	6.3	8.2
Ethiopia	-17.1	..
Faroe Islands	..	..
Fiji	3.1	4.7
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	20.2	21.7
Georgia	1.5	3.9
Germany	..	..
Ghana	..	..
Greece	..	..
Greenland	..	..
Grenada	10	5.6
Guam	..	..
Guatemala	7.8	9
Guinea	..	..
Guinea-Bissau	2.1	-0.8
Guyana	8.3	4.4
Haiti	14.2	-0.4
Honduras	13.6	12.5
Hungary	5.1	-2.6
Iceland	3.6	2.5
India	-2	7
Indonesia	-1.7	8.6
Iran, Islamic Rep.	-3.4	16.1
Iraq	-1.9	29.8
Ireland	..	..
Isle of Man	..	..
Israel	3.4	1.3
Italy	3.6	1.7
Jamaica	9.7	5
Japan	3.6	1.2
Jordan	0.5	7
Kazakhstan	..	..
Kenya	12	10.4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2.7	4.4
Kosovo	9.2	5.6
Kuwait	-5.1	9.3
Kyrgyz Republic	12.4	20
Lao PDR	12.3	..
Latvia	..	..
Lebanon	7.7	7.4
Lesotho	1.4	8.4
Liberia	7.3	15.8
Libya	-7.1	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	32.5	41.5
Malawi	11.1	24
Malaysia	-2.1	4.8
Maldives	7.3	9.2
Mali	0.7	3.1
Malta	0.7	..
Marshall Islands	..	..
Mauritania	-4.4	12.9
Mauritius	7.7	7.4
Mexico	0.7	5
Micronesia, Fed. Sts.	11.1	5.8
Moldova	-12.7	2.6
Monaco	..	..
Mongolia	-13.7	7.9
Montenegro	7.8	..
Morocco	..	..
Mozambique	7.7	15.5
Myanmar	9.3	7.5
Namibia	5.9	8.2
Nepal	..	..
Netherlands	0.8	..
New Caledonia	..	..
New Zealand	3	1.1
Nicaragua	6.8	7.4
Niger	1.7	3.8
Nigeria	1.1	4.5
North Macedonia	8.5	3.2
Northern Mariana Islands	..	..
Norway	..	..
Oman	-4.8	-2.1
Pakistan	2.9	3.3
Palau	..	..
Panama	5	5.7
Papua New Guinea	0.5	4.6
Paraguay	20.5	15.6
Peru	12.5	13
Philippines	3.2	6.3
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	0.3	9.4
Romania	10.2	0.2
Russian Federation	-3	4.8
Rwanda	13.4	16.1
Samoa	5.5	6.6
San Marino	3.9	0.8
Sao Tome and Principe	14.6	14.5
Saudi Arabia	..	..
Senegal	4	4.5
Serbia	0.8	..
Seychelles	17.7	9.1
Sierra Leone	3.5	13.5
Singapore	4.2	5.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	7.1	7
Somalia	..	..
South Africa	3.3	5.9
South Sudan	-23.5	..
Spain	..	..
Sri Lanka	-10.2	8.9
St. Kitts and Nevis	6.2	7
St. Lucia	5.9	6.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	4.5	6.9
Sudan	..	..
Suriname	4.1	-1
Sweden	..	..
Switzerland	2.4	2.2
Syrian Arab Republic	..	..
Tajikistan	9.7	21.3
Tanzania	4.7	11.8
Thailand	0.2	3.3
Timor-Leste	0.2	11.8
Togo	4.5	4.2
Tonga	7.6	4.3
Trinidad and Tobago	-3.1	8.2
Tunisia	..	..
Turkey	..	..
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	13.8	15.1
Ukraine	1.7	10.8
United Arab Emirates	..	..
United Kingdom	-1	..
United States	2.1	3.5
Uruguay	5.2	3.6
Uzbekistan	4	3.7
Vanuatu	2.8	0
Venezuela, RB	-18.9	..
Vietnam	0.9	5.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-6.3	1
Yemen, Rep.	0.2	..
Zambia	6.1	6.6
Zimbabwe	7.3	21.1
