Country	Reference Year	Gini Index
Afghanistan	..	..
Albania	2017	33.2
Algeria	2011	27.6
American Samoa	..	..
Andorra	..	..
Angola	2018	51.3
Antigua and Barbuda	..	..
Argentina	2018	41.4
Armenia	2018	34.4
Aruba	..	..
Australia	2014	34.4
Austria	2017	29.7
Azerbaijan	2005	26.6
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	2016	32.4
Barbados	..	..
Belarus	2018	25.2
Belgium	2017	27.4
Belize	1999	53.3
Benin	2015	47.8
Bermuda	..	..
Bhutan	2017	37.4
Bolivia	2018	42.2
Bosnia and Herzegovina	2011	33
Botswana	2015	53.3
Brazil	2018	53.9
Brunei Darussalam	..	..
Bulgaria	2017	40.4
Burkina Faso	2014	35.3
Burundi	2013	38.6
Cambodia	..	..
Cameroon	2014	46.6
Canada	2013	33.8
Cabo Verde	2015	42.4
Cayman Islands	..	..
Central African Republic	2008	56.2
Chad	2011	43.3
Channel Islands	..	..
Chile	2017	44.4
China	2016	38.5
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2018	50.4
Comoros	2014	45.3
Congo, Dem. Rep.	2012	42.1
Congo, Rep.	2011	48.9
Costa Rica	2018	48
Cote d'Ivoire	2015	41.5
Croatia	2017	30.4
Cuba	..	..
Curacao	..	..
Cyprus	2017	31.4
Czech Republic	2017	24.9
Denmark	2017	28.7
Djibouti	2017	41.6
Dominica	..	..
Dominican Republic	2018	43.7
Ecuador	2018	45.4
Egypt, Arab Rep.	2017	31.5
El Salvador	2018	38.6
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2017	30.4
Ethiopia	2015	35
Faroe Islands	..	..
Fiji	2013	36.7
Finland	2017	27.4
France	2017	31.6
French Polynesia	..	..
Gabon	2017	38
Gambia, The	2015	35.9
Georgia	2018	36.4
Germany	2016	31.9
Ghana	2016	43.5
Greece	2017	34.4
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2014	48.3
Guinea	2012	33.7
Guinea-Bissau	2010	50.7
Guyana	1998	44.6
Haiti	2012	41.1
Honduras	2018	52.1
Hungary	2017	30.6
Iceland	2015	26.8
India	2011	37.8
Indonesia	2018	39
Iran, Islamic Rep.	2017	40.8
Iraq	2012	29.5
Ireland	2016	32.8
Isle of Man	..	..
Israel	2016	39
Italy	2017	35.9
Jamaica	2004	45.5
Japan	2013	32.9
Jordan	2010	33.7
Kazakhstan	2017	27.5
Kenya	2015	40.8
Kiribati	2006	37
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2012	31.6
Kosovo	2017	29
Kuwait	..	..
Kyrgyz Republic	2018	27.7
Lao PDR	2012	36.4
Latvia	2017	35.6
Lebanon	2011	31.8
Lesotho	2017	44.9
Liberia	2016	35.3
Libya	..	..
Liechtenstein	..	..
Lithuania	2017	37.3
Luxembourg	2017	34.9
North Macedonia	2017	34.2
Madagascar	2012	42.6
Malawi	2016	44.7
Malaysia	2015	41
Maldives	2016	31.3
Mali	2009	33
Malta	2017	29.2
Marshall Islands	..	..
Mauritania	2014	32.6
Mauritius	2017	36.8
Mexico	2018	45.4
Micronesia, Fed. Sts.	2013	40.1
Moldova	2018	25.7
Monaco	..	..
Mongolia	2018	32.7
Montenegro	2015	39
Morocco	2013	39.5
Mozambique	2014	54
Myanmar	2017	30.7
Namibia	2015	59.1
Nepal	2010	32.8
Netherlands	2017	28.5
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2014	46.2
Niger	2014	34.3
Nigeria	2009	43
Northern Mariana Islands	..	..
Norway	2017	27
Oman	..	..
Pakistan	2015	33.5
Palau	..	..
Panama	2018	49.2
Papua New Guinea	2009	41.9
Paraguay	2018	46.2
Peru	2018	42.8
Philippines	2015	44.4
Poland	2017	29.7
Portugal	2017	33.8
Puerto Rico	..	..
Qatar	..	..
Romania	2017	36
Russian Federation	2018	37.5
Rwanda	2016	43.7
Samoa	2013	38.7
San Marino	..	..
Sao Tome and Principe	2017	56.3
Saudi Arabia	..	..
Senegal	2011	40.3
Serbia	2017	36.2
Seychelles	2013	46.8
Sierra Leone	2018	35.7
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2016	25.2
Slovenia	2017	24.2
Solomon Islands	2013	37.1
Somalia	..	..
South Africa	2014	63
South Sudan	2009	46.3
Spain	2017	34.7
Sri Lanka	2016	39.8
St. Kitts and Nevis	..	..
St. Lucia	2016	51.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	2014	34.2
Suriname	1999	57.6
Eswatini	2016	54.6
Sweden	2017	28.8
Switzerland	2017	32.7
Syrian Arab Republic	2004	35.8
Tajikistan	2015	34
Tanzania	2017	40.5
Thailand	2018	36.4
Timor-Leste	2014	28.7
Togo	2015	43.1
Tonga	2015	37.6
Trinidad and Tobago	..	..
Tunisia	2015	32.8
Turkey	2018	41.9
Turkmenistan	1998	40.8
Turks and Caicos Islands	..	..
Tuvalu	2010	39.1
Uganda	2016	42.8
Ukraine	2018	26.1
United Arab Emirates	2014	32.5
United Kingdom	2016	34.8
United States	2016	41.4
Uruguay	2018	39.7
Uzbekistan	2003	35.3
Vanuatu	2010	37.6
Venezuela, RB	2006	46.9
Vietnam	2018	35.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2016	33.7
Yemen, Rep.	2014	36.7
Zambia	2015	57.1
Zimbabwe	2017	44.3
