Country	Survey Year	Self-employed	Wage	Unpaid family
Afghanistan	2011	..	17.4	61.7
Albania	2010	3.8	1.9	94.3
Algeria	2013	..	14.4	85.6
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	2001	..	6.2	80.1
Antigua and Barbuda	..	..	..	..
Argentina	2012	10.8	12.8	76.4
Armenia	2010	..	..	97.5
Aruba	..	..	..	..
Australia	..	..	..	..
Austria	..	..	..	..
Azerbaijan	2005	4.1	3.8	92.1
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	2013	11.2	47.7	41.2
Barbados	..	..	..	..
Belarus	2012	..	14.2	82.4
Belgium	..	..	..	..
Belize	..	..	..	..
Benin	2012	..	4.8	80.5
Bermuda	..	..	..	..
Bhutan	..	..	..	..
Bolivia	2015	1.9	8.1	90
Bosnia and Herzegovina	2006	..	1.6	92.1
Botswana	..	..	..	..
Brazil	2015	8.8	27.5	63.7
Brunei Darussalam	..	..	..	..
Bulgaria	..	..	..	..
Burkina Faso	2010	1.9	1.3	89.8
Burundi	2010	..	6.2	85.3
Cabo Verde	..	..	..	..
Cambodia	2012	3.3	19.6	77.1
Cameroon	2011	2.5	2.5	68.3
Canada	..	..	..	..
Cayman Islands	..	..	..	..
Central African Republic	2010	..	4.3	81.6
Chad	2015	..	7.7	63.6
Channel Islands	..	..	..	..
Chile	2012	..	..	..
China	..	..	..	..
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	2015	15.4	14.6	70
Comoros	..	..	..	..
Congo, Dem. Rep.	2014	..	7.5	80.2
Congo, Rep.	2012	..	7.1	78.5
Costa Rica	2016	4.3	27.9	67.8
Cote d'Ivoire	2012	..	5.5	85.6
Croatia	..	..	..	..
Cuba	..	..	..	..
Curacao	..	..	..	..
Cyprus	..	..	..	..
Czech Republic	..	..	..	..
Denmark	..	..	..	..
Djibouti	..	..	..	..
Dominica	..	..	..	..
Dominican Republic	2014	32.3	26.3	41.4
Ecuador	2015	0.2	6.6	93.2
Egypt, Arab Rep.	2009	..	59	40.2
El Salvador	2013	3	15.5	79.9
Equatorial Guinea	..	..	..	..
Eritrea	..	..	..	..
Estonia	..	..	..	..
Eswatini	2010	..	16	75.2
Ethiopia	2011	..	3.3	90.7
Faroe Islands	..	..	..	..
Fiji	..	..	..	..
Finland	..	..	..	..
France	..	..	..	..
French Polynesia	..	..	..	..
Gabon	2012	..	8.6	78.5
Gambia, The	2015	4.5	0.9	94.6
Georgia	2006	..	4.3	77
Germany	..	..	..	..
Ghana	2012	1.5	0.5	96.9
Greece	..	..	..	..
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	2015	2.3	23.8	74
Guinea	2012	3.6	2.4	85.2
Guinea-Bissau	2014	..	4	87.7
Guyana	..	..	..	..
Haiti	2012	..	3.6	77.1
Honduras	2014	7.3	19.4	73.3
Hungary	..	..	..	..
Iceland	..	..	..	..
India	2012	5.2	40.9	53.9
Indonesia	2010	2.4	15.6	82
Iran, Islamic Rep.	..	..	..	..
Iraq	2011	..	12.7	81.2
Ireland	..	..	..	..
Isle of Man	..	..	..	..
Israel	..	..	..	..
Italy	..	..	..	..
Jamaica	2011	..	16.9	79.2
Japan	..	..	..	..
Jordan	2016	5.2	25.7	75
Kazakhstan	2006	..	4	75
Kenya	2009	..	..	..
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	..	..	..	..
Kosovo	..	..	..	..
Kuwait	..	..	..	..
Kyrgyz Republic	2014	3.2	0.5	96.3
Lao PDR	2010	16.4	3.6	80
Latvia	..	..	..	..
Lebanon	..	..	..	..
Lesotho	2002	..	3.6	83.3
Liberia	2010	18	0.9	80.6
Libya	..	..	..	..
Liechtenstein	..	..	..	..
Lithuania	..	..	..	..
Luxembourg	..	..	..	..
Madagascar	2007	0.1	10	90
Malawi	2015	10.5	4.5	85
Malaysia	..	..	..	..
Maldives	..	..	..	..
Mali	2013	13	2.8	83
Malta	..	..	..	..
Marshall Islands	..	..	..	..
Mauritania	2011	..	13	87
Mauritius	..	..	..	..
Mexico	2013	4	36.4	59.6
Micronesia, Fed. Sts.	..	..	..	..
Moldova	2009	0.9	1.7	97.4
Monaco	..	..	..	..
Mongolia	2013	2.1	0.2	97.6
Montenegro	..	..	..	..
Morocco	2004	..	..	..
Mozambique	2008	..	3.7	90.4
Myanmar	..	..	..	..
Namibia	..	..	..	..
Nepal	2014	5.5	2.1	92.3
Netherlands	..	..	..	..
New Caledonia	..	..	..	..
New Zealand	..	..	..	..
Nicaragua	2012	7.6	9.5	82.9
Niger	2012	5.7	7.5	70.8
Nigeria	2011	..	15.8	84.2
North Macedonia	2011	..	20.4	72.7
Northern Mariana Islands	..	..	..	..
Norway	..	..	..	..
Oman	..	..	..	..
Pakistan	2011	10.5	14.4	75.1
Palau	..	..	..	..
Panama	2014	10.9	11.7	77.4
Papua New Guinea	..	..	..	..
Paraguay	2014	12.1	25.9	62
Peru	2015	3.8	6	88.6
Philippines	2011	4.8	20.4	73.5
Poland	..	..	..	..
Portugal	2001	..	..	..
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	2000	4.5	..	92.9
Russian Federation	..	..	..	..
Rwanda	2014	12.3	31.1	56.6
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	..	..	..	..
Senegal	2015	3.3	1.4	85.5
Serbia	2014	..	5.2	89.4
Seychelles	..	..	..	..
Sierra Leone	2013	..	0.8	60.4
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	..	..
Slovenia	..	..	..	..
Solomon Islands	..	..	..	..
Somalia	2006	..	1.6	94.8
South Africa	..	..	..	..
South Sudan	2008	15.2	4.5	71.5
Spain	..	..	..	..
Sri Lanka	2009	2.7	4.4	92.9
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	2014	19.2	17.7	60.6
Suriname	..	..	..	..
Sweden	..	..	..	..
Switzerland	..	..	..	..
Syrian Arab Republic	2006	..	21.5	68.8
Tajikistan	2005	..	24.2	71.3
Tanzania	2014	2.2	1.6	96.2
Thailand	2006	..	13.5	80
Timor-Leste	2007	..	..	..
Togo	2014	8.3	2.2	89.5
Tonga	..	..	..	..
Trinidad and Tobago	2006	14.3	43.3	33.2
Tunisia	2012	..	13.8	78.1
Turkey	2006	2.1	34.1	63.8
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	2012	11.2	3	85.7
Ukraine	2012	..	13.2	84.6
United Arab Emirates	..	..	..	..
United Kingdom	..	..	..	..
United States	..	..	..	..
Uruguay	2009	14.1	40.8	45.1
Uzbekistan	2006	..	3.8	78.6
Vanuatu	..	..	..	..
Venezuela, RB	2013	27.4	25.9	46.7
Vietnam	2012	8.2	7.5	84.3
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	..	..	..	..
Yemen, Rep.	2010	2.8	7.4	89.9
Zambia	2008	2.9	3.9	93.1
Zimbabwe	..	..	..	..
