Country	Public and publicly guaranteed	Private nonguaranteed
Afghanistan	1949	17
Albania	4563	2924
Algeria	1523	202
American Samoa	..	..
Andorra	..	..
Angola	38208	12669
Antigua and Barbuda	..	..
Argentina	131182	50828
Armenia	5371	4063
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	13957	1471
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	36664	4892
Barbados	..	..
Belarus	19988	8741
Belgium	..	..
Belize	1259	93
Benin	3390	0
Bermuda	..	..
Bhutan	2482	55
Bolivia	9904	2445
Bosnia and Herzegovina	4966	10125
Botswana	1418	0
Brazil	190143	296820
Brunei Darussalam	..	..
Bulgaria	11138	18192
Burkina Faso	3006	11
Burundi	423	0
Cabo Verde	1721	0
Cambodia	6808	4056
Cameroon	9015	703
Canada	..	..
Cayman Islands	..	..
Central African Republic	409	0
Chad	2834	0
Channel Islands	..	..
Chile	..	..
China	243455	490227
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	76044	42764
Comoros	168	0
Congo, Dem. Rep.	4047	0
Congo, Rep.	4728	0
Costa Rica	11340	12891
Cote d'Ivoire	12696	1011
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	2041	943
Dominica	244	0
Dominican Republic	23485	8011
Ecuador	35567	7935
Egypt, Arab Rep.	78698	446
El Salvador	9605	5583
Equatorial Guinea	..	..
Eritrea	735	0
Estonia	..	..
Ethiopia	27036	0
Faroe Islands	..	..
Fiji	714	0
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	5978	0
Gambia, The	579	0
Georgia	6280	7754
Germany	..	..
Ghana	17921	253
Greece	..	..
Greenland	..	..
Grenada	489	0
Guam	..	..
Guatemala	8428	12727
Guinea	1939	0
Guinea-Bissau	326	0
Guyana	1206	157
Haiti	2012	0
Honduras	7194	1641
Hungary	..	..
Iceland	..	..
India	180508	231179
Indonesia	215147	113802
Iran, Islamic Rep.	382	0
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	9772	3468
Japan	..	..
Jordan	16482	3071
Kazakhstan	24181	123896
Kenya	26876	1210
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	300	941
Kuwait	..	..
Kyrgyz Republic	3685	3689
Lao PDR	9161	5952
Latvia	..	..
Lebanon	33070	40459
Lesotho	820	0
Liberia	815	51
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	4061	3248
Madagascar	2888	92
Malawi	1929	0
Malaysia	..	..
Maldives	2003	55
Mali	4344	0
Malta	..	..
Marshall Islands	..	..
Mauritania	3945	0
Mauritius	1430	4849
Mexico	295042	92888
Micronesia, Fed. Sts.	..	..
Moldova	1450	3441
Monaco	..	..
Mongolia	7856	18135
Montenegro	3422	4286
Morocco	32115	8700
Mozambique	11058	2626
Myanmar	13701	14
Namibia	..	..
Nepal	4941	129
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	5094	4966
Niger	2878	0
Nigeria	25232	19485
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	64493	10887
Palau	..	..
Panama	..	..
Papua New Guinea	3408	13674
Paraguay	6399	4635
Peru	18073	37778
Philippines	36346	25245
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	37954	56930
Russian Federation	177150	220600
Rwanda	3221	1769
Samoa	403	0
San Marino	..	..
Sao Tome and Principe	223	0
Saudi Arabia	..	..
Senegal	11589	442
Serbia	15088	16519
Seychelles	..	..
Sierra Leone	1023	0
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	96	232
Somalia	1889	0
South Africa	77029	63165
South Sudan	..	..
Spain	..	..
Sri Lanka	34319	8581
St. Kitts and Nevis	..	..
St. Lucia	500	0
St. Martin (French part)	..	..
St. Vincent and the Grenadines	310	0
Sudan	15672	0
Suriname	..	..
Eswatini	418	0
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	3652	0
Tajikistan	2857	2076
Tanzania	12792	3617
Thailand	35606	71980
Timor-Leste	145	0
Togo	1216	0
Tonga	180	0
Trinidad and Tobago	..	..
Tunisia	22151	2136
Turkey	121361	206867
Turkmenistan	469	35
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	7716	3865
Ukraine	36221	44604
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	9481	7061
Vanuatu	314	0
Venezuela, RB	70837	34303
Vietnam	53321	34752
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	6205	0
Zambia	9987	7748
Zimbabwe	3970	4471
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	327359	255795
Sub-Saharan Africa	..	..
Low income	118111	14254
Lower middle income	1031277	596524
Upper middle income	1784557	1974481
High income	..	..
