Country	Exports
Afghanistan	..
Albania	0
Algeria	0.6
American Samoa	..
Andorra	28.5
Angola	5.3
Antigua and Barbuda	0.6
Argentina	5.3
Armenia	7.1
Aruba	8.3
Australia	16.7
Austria	11.6
Azerbaijan	4
Bahamas, The	..
Bahrain	0.4
Bangladesh	0.3
Barbados	..
Belarus	4
Belgium	10.4
Belize	0.1
Benin	2.8
Bermuda	17.1
Bhutan	..
Bolivia	4.9
Bosnia and Herzegovina	5.2
Botswana	0.7
Brazil	13
Brunei Darussalam	0
Bulgaria	10.3
Burkina Faso	6
Burundi	17
Cambodia	1.4
Cameroon	4.9
Canada	15.8
Cabo Verde	0
Cayman Islands	..
Central African Republic	27.9
Chad	..
Channel Islands	..
Chile	6.4
China	31.4
Hong Kong SAR, China	64.6
Macao SAR, China	..
Colombia	7.3
Comoros	0.2
Congo, Dem. Rep.	..
Congo, Rep.	2.2
Costa Rica	18.5
Cote d'Ivoire	6.8
Croatia	8.9
Cuba	..
Curacao	..
Cyprus	19.9
Czech Republic	19.6
Denmark	13.09
Djibouti	..
Dominica	..
Dominican Republic	8.6
Ecuador	5.3
Egypt, Arab Rep.	0.9
El Salvador	6.1
Equatorial Guinea	..
Eritrea	..
Estonia	16.8
Ethiopia	51.8
Faroe Islands	..
Fiji	2.9
Finland	8.9
France	25.9
French Polynesia	11.8
Gabon	..
Gambia, The	0.2
Georgia	3.3
Germany	15.08
Ghana	8.3
Greece	12.8
Greenland	1.7
Grenada	..
Guam	..
Guatemala	4.9
Guinea	1
Guinea-Bissau	..
Guyana	0.1
Haiti	..
Honduras	3.1
Hungary	16.9
Iceland	23.05
India	9
Indonesia	8
Iran, Islamic Rep.	1.3
Iraq	..
Ireland	24.7
Isle of Man	..
Israel	22.8
Italy	7.5
Jamaica	2.1
Japan	17.3
Jordan	2.9
Kazakhstan	22
Kenya	3.6
Kiribati	2.8
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	36.3
Kosovo	..
Kuwait	4.1
Kyrgyz Republic	8.1
Lao PDR	37.1
Latvia	20.3
Lebanon	2.4
Lesotho	0.2
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	12.1
Luxembourg	7
North Macedonia	4
Madagascar	0.3
Malawi	11.5
Malaysia	52.8
Maldives	0.1
Mali	1.2
Malta	32.2
Marshall Islands	..
Mauritania	0
Mauritius	2.6
Mexico	21.1
Micronesia, Fed. Sts.	..
Moldova	2.5
Monaco	..
Mongolia	5
Montenegro	3.2
Morocco	4
Mozambique	5.6
Myanmar	4.3
Namibia	0.2
Nepal	1.2
Netherlands	22.7
New Caledonia	5.3
New Zealand	9.7
Nicaragua	0.7
Niger	3
Nigeria	1.9
Northern Mariana Islands	..
Norway	21.02
Oman	1.3
Pakistan	2.2
Palau	51.7
Panama	9.2
Papua New Guinea	..
Paraguay	9.7
Peru	4.6
Philippines	61.1
Poland	10.6
Portugal	5.3
Puerto Rico	..
Qatar	0
Romania	10.1
Russian Federation	11
Rwanda	12.5
Samoa	3.1
San Marino	..
Sao Tome and Principe	46
Saudi Arabia	0.6
Senegal	2.8
Serbia	..
Seychelles	5.3
Sierra Leone	0.1
Singapore	51.7
Sint Maarten (Dutch part)	..
Slovak Republic	10.6
Slovenia	6.8
Solomon Islands	1.4
Somalia	..
South Africa	5.3
South Sudan	..
Spain	7.2
Sri Lanka	1
St. Kitts and Nevis	34.6
St. Lucia	4.6
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	..
Suriname	7.9
Eswatini	0.9
Sweden	14.4
Switzerland	13.4
Syrian Arab Republic	..
Tajikistan	..
Tanzania	6.9
Thailand	23.3
Timor-Leste	..
Togo	0.2
Tonga	..
Trinidad and Tobago	0.1
Tunisia	7.4
Turkey	2.3
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	3.5
Ukraine	5.4
United Arab Emirates	10.8
United Kingdom	22.6
United States	18.9
Uruguay	7.2
Uzbekistan	0.5
Vanuatu	..
Venezuela, RB	..
Vietnam	40.2
Virgin Islands (U.S.)	..
West Bank and Gaza	0.7
Yemen, Rep.	8
Zambia	2
Zimbabwe	2.1
World	20.8
East Asia & Pacific	34.5
Europe & Central Asia	15.5
Latin America & Caribbean	14.3
Middle East & North Africa	6.8
North America	18.3
South Asia	8.7
Sub-Saharan Africa	4.3
Low income	..
Lower middle income	17.2
Upper middle income	23.5
High income	20.2
