Country	Value of shares traded (2010)	Value of shares traded (2019)
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	0.6	0.7
Armenia	..	..
Aruba	..	..
Australia	98.7	59.9
Austria	12.5	7.5
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	1.1	2
Bangladesh	4.2	4.3
Barbados	0.7	0.3
Belarus	..	0
Belgium	22.3	..
Belize	..	..
Benin	..	..
Bermuda	1.8	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	41.1	40.8
Brunei Darussalam	..	..
Bulgaria	0.7	0.3
Burkina Faso	..	..
Burundi	..	..
Cambodia	..	..
Cameroon	..	..
Canada	87.1	82.5
Cabo Verde	..	..
Cayman Islands	0	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	26.5	13
China	135.7	132.8
Hong Kong SAR, China	650.6	497.8
Macao SAR, China	..	..
Colombia	7.9	4.3
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	0.1	0.1
Cote d'Ivoire	..	..
Croatia	1.8	0.5
Cuba	..	..
Curacao	..	..
Cyprus	2.9	0.2
Czech Republic	10.6	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	..	..
Egypt, Arab Rep.	17	3.7
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	51.1	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	..	..
Germany	44	35.1
Ghana	0.3	..
Greece	13.6	7.4
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	20.2	5.4
Iceland	..	..
India	64.5	43.7
Indonesia	13.8	10.5
Iran, Islamic Rep.	3.5	2.6
Iraq	..	..
Ireland	4	8.4
Isle of Man	..	..
Israel	46.3	17.3
Italy	57.7	..
Jamaica	1.8	4.8
Japan	74.9	100.3
Jordan	32.1	5.6
Kazakhstan	0.4	0.2
Kenya	2	0.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	142.5	117.4
Kosovo	..	..
Kuwait	13.9	..
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	..	..
Lebanon	4.9	0.4
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	0.3	0.1
North Macedonia	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	45	29.8
Maldives	..	..
Mali	..	..
Malta	0.6	0.7
Marshall Islands	..	..
Mauritania	..	..
Mauritius	3.6	2.4
Mexico	10.5	6.7
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	..	..
Montenegro	1.1	..
Morocco	6.5	2.7
Mozambique	..	..
Myanmar	..	..
Namibia	0.2	0.8
Nepal	..	..
Netherlands	65.8	..
New Caledonia	..	..
New Zealand	1.3	6
Nicaragua	..	..
Niger	..	..
Nigeria	1.4	0.6
Northern Mariana Islands	..	..
Norway	49.5	25.2
Oman	5.8	2.2
Pakistan	6.6	..
Palau	..	..
Panama	0.2	0.6
Papua New Guinea	0.2	..
Paraguay	..	..
Peru	2.7	0.7
Philippines	10.7	8
Poland	14.5	8.5
Portugal	22.6	..
Puerto Rico	..	..
Qatar	14.7	7.3
Romania	1	0.8
Russian Federation	33.2	10.6
Rwanda	..	0
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	38.1	27.8
Senegal	..	..
Serbia	0.6	..
Seychelles	..	..
Sierra Leone	..	..
Singapore	127.5	30.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	0.3	..
Slovenia	1	0.3
Solomon Islands	..	..
Somalia	..	..
South Africa	73.9	81
South Sudan	..	..
Spain	96.7	43.9
Sri Lanka	8.8	1.1
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	..	..
Switzerland	149.9	137.4
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	65.2	67.5
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	4.2	..
Turkey	52.2	46.1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	2.1	0
United Arab Emirates	9.6	6.2
United Kingdom	93.6	..
United States	240.3	108.2
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	26.6	12
Virgin Islands (U.S.)	..	..
West Bank and Gaza	4.2	2.4
Yemen, Rep.	..	..
Zambia	0.1	..
Zimbabwe	..	..
World	114.6	87.5
East Asia & Pacific	111.2	114.6
Europe & Central Asia	48.1	..
Latin America & Caribbean	25	20.7
Middle East & North Africa	19.8	14.4
North America	225.3	106.3
South Asia	54.5	38.9
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	36.4	26.9
Upper middle income	72.7	93.9
High income	137.2	91.5
