Country	Savings %
Afghanistan	3.6
Albania	1.5
Algeria	3.2
American Samoa	..
Andorra	..
Angola	1.1
Antigua and Barbuda	1.7
Argentina	1.4
Armenia	1.8
Aruba	0.8
Australia	0.9
Austria	0.4
Azerbaijan	2.2
Bahamas, The	0.9
Bahrain	3.5
Bangladesh	1.2
Barbados	1.1
Belarus	3.2
Belgium	0.6
Belize	1.1
Benin	2.2
Bermuda	..
Bhutan	2.3
Bolivia	2.2
Bosnia and Herzegovina	4.7
Botswana	1.5
Brazil	1
Brunei Darussalam	2.8
Bulgaria	2.2
Burkina Faso	1.1
Burundi	0.6
Cabo Verde	0.9
Cambodia	1.5
Cameroon	0.8
Canada	1.1
Cayman Islands	0.7
Central African Republic	0.6
Chad	0.2
Channel Islands	..
Chile	1.1
China	3.1
Hong Kong SAR, China	0.4
Macao SAR, China	0
Colombia	1
Comoros	0.5
Congo, Dem. Rep.	0.5
Congo, Rep.	1.5
Costa Rica	0.5
Cote d'Ivoire	1.4
Croatia	1
Cuba	1.3
Curacao	..
Cyprus	0.9
Czech Republic	1.4
Denmark	0.3
Djibouti	0.8
Dominica	0.9
Dominican Republic	1
Ecuador	1.5
Egypt, Arab Rep.	3.2
El Salvador	0.9
Equatorial Guinea	1.2
Eritrea	..
Estonia	2.8
Eswatini	0.9
Ethiopia	0.6
Faroe Islands	..
Fiji	0.9
Finland	0.6
France	0.4
French Polynesia	..
Gabon	1.2
Gambia, The	1.5
Georgia	2.3
Germany	0.6
Ghana	0.9
Greece	1.1
Greenland	..
Grenada	1
Guam	..
Guatemala	0.9
Guinea	1.1
Guinea-Bissau	0.8
Guyana	2.1
Haiti	1.1
Honduras	1.7
Hungary	1
Iceland	0.3
India	3.9
Indonesia	1.9
Iran, Islamic Rep.	5.8
Iraq	3.2
Ireland	0.5
Isle of Man	..
Israel	0.6
Italy	0.5
Jamaica	1.5
Japan	0.8
Jordan	2.2
Kazakhstan	5.7
Kenya	0.7
Kiribati	0.7
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	1.4
Kosovo	3570.8
Kuwait	2.2
Kyrgyz Republic	5.5
Lao PDR	0.5
Latvia	0.8
Lebanon	1.6
Lesotho	2.6
Liberia	1.1
Libya	6
Liechtenstein	..
Lithuania	0.9
Luxembourg	0.7
Madagascar	1.1
Malawi	0.7
Malaysia	2.9
Maldives	1.3
Mali	0.4
Malta	0.7
Marshall Islands	1.5
Mauritania	2.2
Mauritius	1
Mexico	1.5
Micronesia, Fed. Sts.	1.5
Moldova	1.4
Monaco	..
Mongolia	9.1
Montenegro	1.5
Morocco	2
Mozambique	3.1
Myanmar	1.1
Namibia	1
Nepal	1.6
Netherlands	0.7
New Caledonia	..
New Zealand	0.7
Nicaragua	1.3
Niger	1.4
Nigeria	0.7
North Macedonia	1.8
Northern Mariana Islands	..
Norway	0.4
Oman	3.3
Pakistan	2
Palau	3.4
Panama	0.6
Papua New Guinea	1
Paraguay	0.6
Peru	1.2
Philippines	1.2
Poland	1.8
Portugal	0.6
Puerto Rico	0.2
Qatar	1.8
Romania	1
Russian Federation	3.5
Rwanda	0.4
Samoa	1.1
San Marino	..
Sao Tome and Principe	1.1
Saudi Arabia	2.9
Senegal	2
Serbia	..
Seychelles	0.9
Sierra Leone	1.1
Singapore	0.7
Sint Maarten (Dutch part)	..
Slovak Republic	0.9
Slovenia	0.9
Solomon Islands	0.5
Somalia	..
South Africa	4.7
South Sudan	..
Spain	0.5
Sri Lanka	0.8
St. Kitts and Nevis	0.9
St. Lucia	0.8
St. Martin (French part)	..
St. Vincent and the Grenadines	0.9
Sudan	1.5
Suriname	1.9
Sweden	0.3
Switzerland	0.2
Syrian Arab Republic	..
Tajikistan	2.5
Tanzania	1
Thailand	2.6
Timor-Leste	0.9
Togo	2.5
Tonga	0.9
Trinidad and Tobago	6.5
Tunisia	2.7
Turkey	1.9
Turkmenistan	6
Turks and Caicos Islands	1
Tuvalu	0.7
Uganda	0.9
Ukraine	5.3
United Arab Emirates	2.2
United Kingdom	0.5
United States	0.9
Uruguay	0.4
Uzbekistan	6.1
Vanuatu	0.8
Venezuela, RB	..
Vietnam	3.3
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	0.7
Zimbabwe	1.3
World	1.8
East Asia & Pacific	2.2
Europe & Central Asia	2.2
Latin America & Caribbean	1.2
Middle East & North Africa	2.4
North America	0.9
South Asia	3.4
Sub-Saharan Africa	1.8
Low income	1.1
Lower middle income	2.8
Upper middle income	3.9
High income	0.8
