Country	Expenditure % (2010)	Expenditure % (2018)
Afghanistan	75	55
Albania	9	9
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	26	25
Antigua and Barbuda	..	..
Argentina	..	4
Armenia	13	14
Aruba	..	..
Australia	10	10
Austria	7	6
Azerbaijan	10	11
Bahamas, The	19	20
Bahrain	..	..
Bangladesh	13	14
Barbados	14	13
Belarus	10	14
Belgium	2	3
Belize	24	21
Benin	..	..
Bermuda	..	..
Bhutan	37	23
Bolivia	14	..
Bosnia and Herzegovina	24	18
Botswana	28	26
Brazil	3	3
Brunei Darussalam	..	..
Bulgaria	11	9
Burkina Faso	17	21
Burundi	..	..
Cabo Verde	15	15
Cambodia	31	20
Cameroon	29	34
Canada	7	8
Cayman Islands	..	..
Central African Republic	58	24
Chad	..	..
Channel Islands	..	..
Chile	8	9
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	15	15
Colombia	11	13
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	41	15
Costa Rica	10	10
Cote d'Ivoire	20	13
Croatia	10	12
Cuba	..	..
Curacao	..	..
Cyprus	10	8
Czech Republic	10	9
Denmark	8	8
Djibouti	..	..
Dominica	..	..
Dominican Republic	19	17
Ecuador	..	..
Egypt, Arab Rep.	8	4
El Salvador	17	16
Equatorial Guinea	41	38
Eritrea	..	..
Estonia	10	10
Eswatini	..	..
Ethiopia	21	19
Faroe Islands	..	..
Fiji	14	18
Finland	8	8
France	5	5
French Polynesia	..	..
Gabon	23	11
Gambia, The	41	..
Georgia	16	13
Germany	4	5
Ghana	15	9
Greece	9	7
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	15	12
Guinea	..	..
Guinea-Bissau	..	29
Guyana	..	..
Haiti	..	..
Honduras	14	18
Hungary	10	14
Iceland	15	16
India	9	8
Indonesia	10	13
Iran, Islamic Rep.	11	..
Iraq	..	8
Ireland	7	12
Isle of Man	..	..
Israel	20	20
Italy	3	3
Jamaica	..	..
Japan	5	5
Jordan	9	8
Kazakhstan	22	18
Kenya	..	17
Kiribati	36	34
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	11	12
Kosovo	..	..
Kuwait	15	17
Kyrgyz Republic	..	16
Lao PDR	..	..
Latvia	12	10
Lebanon	4	4
Lesotho	22	23
Liberia	26	..
Libya	..	..
Liechtenstein	..	..
Lithuania	9	7
Luxembourg	7	6
Madagascar	12	8
Malawi	33	33
Malaysia	16	15
Maldives	55	..
Mali	32	27
Malta	14	18
Marshall Islands	29	29
Mauritania	..	..
Mauritius	12	13
Mexico	7	7
Micronesia, Fed. Sts.	45	53
Moldova	20	18
Monaco	..	..
Mongolia	20	14
Montenegro	..	..
Morocco	9	11
Mozambique	29	16
Myanmar	39	46
Namibia	17	11
Nepal	10	11
Netherlands	6	6
New Caledonia	..	..
New Zealand	12	12
Nicaragua	13	15
Niger	..	..
Nigeria	..	..
North Macedonia	11	6
Northern Mariana Islands	..	..
Norway	9	9
Oman	..	..
Pakistan	..	..
Palau	21	23
Panama	..	..
Papua New Guinea	..	26
Paraguay	13	13
Peru	21	20
Philippines	14	20
Poland	7	7
Portugal	9	9
Puerto Rico	..	..
Qatar	..	..
Romania	9	9
Russian Federation	13	8
Rwanda	..	32
Samoa	45	43
San Marino	24	21
Sao Tome and Principe	..	..
Saudi Arabia	19	19
Senegal	..	28
Serbia	13	..
Seychelles	40	40
Sierra Leone	..	..
Singapore	36	34
Sint Maarten (Dutch part)	..	..
Slovak Republic	10	9
Slovenia	11	12
Solomon Islands	52	53
Somalia	..	32
South Africa	13	11
South Sudan	..	..
Spain	4	4
Sri Lanka	8	8
St. Kitts and Nevis	22	23
St. Lucia	21	20
St. Martin (French part)	..	..
St. Vincent and the Grenadines	14	14
Sudan	10	14
Suriname	..	..
Sweden	6	5
Switzerland	6	7
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	15	12
Thailand	32	26
Timor-Leste	49	44
Togo	25	32
Tonga	39	39
Trinidad and Tobago	18	22
Tunisia	6	..
Turkey	12	10
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	28
Ukraine	11	13
United Arab Emirates	31	37
United Kingdom	13	14
United States	10	8
Uruguay	13	11
Uzbekistan	..	8
Vanuatu	31	30
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	15	20
Yemen, Rep.	..	..
Zambia	24	16
Zimbabwe	15	9
World	12	12
East Asia & Pacific	15	15
Europe & Central Asia	10	9
Latin America & Caribbean	13	12
Middle East & North Africa	11	14
North America	9	8
South Asia	10	9
Sub-Saharan Africa	22	19
Low income	..	..
Lower middle income	15	16
Upper middle income	13	12
High income	9	9
