Country	average annual (1990-2000)	average annual (2000-2019)
Afghanistan	..	..
Albania	..	2.1
Algeria	18.6	2.4
American Samoa	..	0.9
Andorra	..	..
Angola	..	-8
Antigua and Barbuda	..	..
Argentina	15.6	1.1
Armenia	-2.1	2.2
Aruba	..	..
Australia	7.8	2.7
Austria	4.8	3.2
Azerbaijan	15.5	..
Bahamas, The	8.5	0.9
Bahrain	..	4.2
Bangladesh	10.3	4.8
Barbados	..	..
Belarus	-8.7	2.1
Belgium	5.2	3.5
Belize	7.2	3.8
Benin	4.2	9.3
Bermuda	..	..
Bhutan	..	0.9
Bolivia	6	3.9
Bosnia and Herzegovina	..	3.9
Botswana	4.9	3.5
Brazil	12	-1.1
Brunei Darussalam	1.9	1.5
Bulgaria	-0.2	5.5
Burkina Faso	2	6.4
Burundi	..	6.9
Cabo Verde	..	4.1
Cambodia	14.8	9.3
Cameroon	11	3.7
Canada	7.3	2.2
Cayman Islands	..	..
Central African Republic	..	7.6
Chad	..	-3.7
Channel Islands	..	..
Chile	11.7	1.7
China	..	..
Hong Kong SAR, China	8.4	2.6
Macao SAR, China	1.7	5.7
Colombia	9.1	4.6
Comoros	1.6	6.4
Congo, Dem. Rep.	-2.5	5.7
Congo, Rep.	11.8	-7
Costa Rica	7.7	4.7
Cote d'Ivoire	..	4.7
Croatia	4.6	5.2
Cuba	-0.9	0
Curacao	..	..
Cyprus	4.2	4.3
Czech Republic	11.7	4.9
Denmark	5.8	3.5
Djibouti	..	..
Dominica	..	..
Dominican Republic	9.1	4.1
Ecuador	2.9	1
Egypt, Arab Rep.	3.5	7.6
El Salvador	10.3	2.1
Equatorial Guinea	..	-5.6
Eritrea	5.8	..
Estonia	9.2	4.9
Eswatini	6.2	2
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	6.6	2.6
France	5.9	3.7
French Polynesia	..	..
Gabon	0.1	-0.5
Gambia, The	..	11.8
Georgia	..	8.2
Germany	5.9	4
Ghana	..	3.6
Greece	8.2	0.8
Greenland	..	-4.2
Grenada	..	..
Guam	..	0.7
Guatemala	9.2	3.4
Guinea	..	12.7
Guinea-Bissau	..	8.4
Guyana	..	-1.5
Haiti	16.7	1
Honduras	3.8	3.2
Hungary	15	5.4
Iceland	5.5	7.3
India	14.5	2.9
Indonesia	5.6	2.4
Iran, Islamic Rep.	-6.2	-10.2
Iraq	..	..
Ireland	14.6	11.1
Isle of Man	..	..
Israel	8.7	4
Italy	4.6	1.9
Jamaica	..	1
Japan	3.9	3.3
Jordan	1.4	0.6
Kazakhstan	-11.2	3.8
Kenya	9.4	3.5
Kiribati	..	8.3
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	9.6	3.6
Kosovo	..	2.7
Kuwait	..	6
Kyrgyz Republic	-9.8	2.1
Lao PDR	..	11.5
Latvia	7.8	4.7
Lebanon	11.8	3.1
Lesotho	14.9	1
Liberia	..	0.1
Libya	..	-1.9
Liechtenstein	..	..
Lithuania	8.8	6.1
Luxembourg	8.3	4.9
Madagascar	4.1	6.5
Malawi	..	24.1
Malaysia	10.3	3
Maldives	..	..
Mali	3.8	3.9
Malta	..	3.7
Marshall Islands	..	1.5
Mauritania	0.4	0.1
Mauritius	5.1	3
Mexico	10.4	4.6
Micronesia, Fed. Sts.	..	..
Moldova	-0.1	4.6
Monaco	..	..
Mongolia	..	12.5
Montenegro	..	4.7
Morocco	3.7	5.2
Mozambique	4.6	9.4
Myanmar	..	15.3
Namibia	5.4	4.2
Nepal	..	11.9
Netherlands	7.4	4.3
New Caledonia	..	..
New Zealand	5.9	5.3
Nicaragua	10.7	3
Niger	5.1	2.6
Nigeria	2.8	-5.7
North Macedonia	7.5	8.7
Northern Mariana Islands	..	10.4
Norway	5.8	2.8
Oman	..	3.1
Pakistan	2.5	6.3
Palau	..	4.7
Panama	2.8	1.4
Papua New Guinea	..	..
Paraguay	2.2	2.6
Peru	9	3.5
Philippines	8.5	11.3
Poland	15.6	6.1
Portugal	7.6	4.5
Puerto Rico	..	..
Qatar	..	7.3
Romania	5.5	9
Russian Federation	-6.2	-1.2
Rwanda	9.6	11.4
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	-0.3
Senegal	2	8.1
Serbia	5.4	6.5
Seychelles	..	..
Sierra Leone	-0.2	8.1
Singapore	11.4	3.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	4.9	5.1
Slovenia	5.4	4.5
Solomon Islands	..	..
Somalia	..	..
South Africa	7.1	2.2
South Sudan	..	-13.2
Spain	9	2.7
Sri Lanka	8.6	5.9
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	10.9	-4.8
Suriname	..	..
Sweden	6.3	4
Switzerland	4.1	2
Syrian Arab Republic	..	..
Tajikistan	-3.9	..
Tanzania	4.8	1.4
Thailand	5.6	1.8
Timor-Leste	..	-4.2
Togo	1.1	4.2
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	3.7	..
Turkey	10.8	2.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	10.2	3.4
Ukraine	-6.6	-2.3
United Arab Emirates	..	5.3
United Kingdom	6.2	3.6
United States	9.8	3.8
Uruguay	9.8	0.1
Uzbekistan	-7.4	7.8
Vanuatu	..	..
Venezuela, RB	8.2	..
Vietnam	19.5	14
Virgin Islands (U.S.)	..	-20.1
West Bank and Gaza	7.5	3.6
Yemen, Rep.	..	..
Zambia	18.3	..
Zimbabwe	3.1	5.3
World	6.6	3.4
East Asia & Pacific	6.9	3.8
Europe & Central Asia	5.3	3.7
Latin America & Caribbean	9.9	2
Middle East & North Africa	..	2.9
North America	9.3	3.5
South Asia	11.1	3.4
Sub-Saharan Africa	5.4	1.5
Low income	..	..
Lower middle income	5.1	4.7
Upper middle income	..	..
High income	7.1	3.6
