Country	Modern methods
Afghanistan	19.8
Albania	3.7
Algeria	49.5
American Samoa	..
Andorra	..
Angola	12.5
Antigua and Barbuda	..
Argentina	78.2
Armenia	28
Aruba	..
Australia	64.7
Austria	63
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	54.1
Barbados	..
Belarus	60.5
Belgium	65.9
Belize	48.5
Benin	12.4
Bermuda	..
Bhutan	..
Bolivia	45.1
Bosnia and Herzegovina	..
Botswana	..
Brazil	77.7
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	29.9
Burundi	22.9
Cabo Verde	..
Cambodia	38.8
Cameroon	21
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	5
Channel Islands	..
Chile	69.8
China	80.5
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	75.9
Comoros	..
Congo, Dem. Rep.	7.8
Congo, Rep.	18.5
Costa Rica	74.9
Cote d'Ivoire	19.6
Croatia	..
Cuba	72.2
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	68
Ecuador	..
Egypt, Arab Rep.	56.9
El Salvador	68
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	65.5
Ethiopia	37.8
Faroe Islands	..
Fiji	..
Finland	81.6
France	..
French Polynesia	..
Gabon	..
Gambia, The	8.1
Georgia	..
Germany	..
Ghana	25
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	48.9
Guinea	10.6
Guinea-Bissau	14.4
Guyana	32.5
Haiti	31.8
Honduras	..
Hungary	..
Iceland	..
India	47.8
Indonesia	57.2
Iran, Islamic Rep.	..
Iraq	36.1
Ireland	..
Isle of Man	..
Israel	..
Italy	51.8
Jamaica	..
Japan	34.4
Jordan	37.4
Kazakhstan	51.9
Kenya	58.7
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	76.5
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	40
Lao PDR	49
Latvia	..
Lebanon	..
Lesotho	59.8
Liberia	30
Libya	16.3
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	38.6
Malawi	58.1
Malaysia	34.3
Maldives	14.9
Mali	16.4
Malta	..
Marshall Islands	..
Mauritania	15.6
Mauritius	32
Mexico	64.6
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	48.2
Montenegro	15.4
Morocco	58
Mozambique	25.3
Myanmar	51.3
Namibia	55.3
Nepal	42.8
Netherlands	70
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	10.5
Nigeria	12
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	18.8
Pakistan	25
Palau	..
Panama	60.1
Papua New Guinea	30.5
Paraguay	66.5
Peru	54.5
Philippines	40.4
Poland	..
Portugal	67.1
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	47.5
Samoa	24.3
San Marino	..
Sao Tome and Principe	37.4
Saudi Arabia	20.8
Senegal	26.3
Serbia	18.4
Seychelles	..
Sierra Leone	21.8
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	24.3
Somalia	..
South Africa	54
South Sudan	5
Spain	69.9
Sri Lanka	51.3
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	11.7
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	27.1
Tanzania	32
Thailand	75.5
Timor-Leste	24.1
Togo	17.3
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	47.3
Turkmenistan	47.1
Turks and Caicos Islands	..
Tuvalu	..
Uganda	36.3
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	67.7
Uruguay	78.3
Uzbekistan	..
Vanuatu	37.1
Venezuela, RB	..
Vietnam	65
Virgin Islands (U.S.)	..
West Bank and Gaza	44.1
Yemen, Rep.	29.2
Zambia	47.5
Zimbabwe	65.8
World	53.8
East Asia & Pacific	69.8
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	67.7
South Asia	45.2
Sub-Saharan Africa	27.1
Low income	27.2
Lower middle income	43.5
Upper middle income	71.1
High income	..
