Country	Strength of legal rights index	Depth of credit information index
Afghanistan	10	0
Albania	8	6
Algeria	2	0
American Samoa	..	..
Andorra	..	..
Angola	1	0
Antigua and Barbuda	5	0
Argentina	2	8
Armenia	6	8
Aruba	..	..
Australia	11	8
Austria	4	7
Azerbaijan	12	8
Bahamas, The	6	0
Bahrain	3	8
Bangladesh	5	4
Barbados	6	0
Belarus	3	7
Belgium	8	5
Belize	4	0
Benin	6	0
Bermuda	..	..
Bhutan	4	7
Bolivia	0	7
Bosnia and Herzegovina	7	6
Botswana	5	7
Brazil	2	8
Brunei Darussalam	12	8
Bulgaria	8	5
Burkina Faso	6	0
Burundi	2	1
Cambodia	10	6
Cameroon	6	6
Canada	9	8
Cabo Verde	1	6
Cayman Islands	..	..
Central African Republic	6	1
Chad	6	0
Channel Islands	..	..
Chile	4	7
China	4	8
Hong Kong SAR, China	8	7
Macao SAR, China	..	..
Colombia	11	7
Comoros	6	2
Congo, Dem. Rep.	6	0
Congo, Rep.	6	2
Costa Rica	10	7
Cote d'Ivoire	6	8
Croatia	5	5
Cuba	..	..
Curacao	..	..
Cyprus	7	5
Czech Republic	7	7
Denmark	8	6
Djibouti	8	0
Dominica	6	0
Dominican Republic	1	8
Ecuador	1	8
Egypt, Arab Rep.	5	8
El Salvador	9	7
Equatorial Guinea	6	2
Eritrea	0	0
Estonia	7	7
Ethiopia	3	0
Faroe Islands	..	..
Fiji	5	0
Finland	6	6
France	4	6
French Polynesia	..	..
Gabon	6	2
Gambia, The	6	0
Georgia	9	8
Germany	6	8
Ghana	6	6
Greece	2	7
Greenland	..	..
Grenada	6	0
Guam	..	..
Guatemala	9	8
Guinea	6	0
Guinea-Bissau	6	0
Guyana	3	8
Haiti	2	5
Honduras	8	8
Hungary	9	6
Iceland	4	7
India	9	7
Indonesia	6	8
Iran, Islamic Rep.	2	8
Iraq	0	0
Ireland	7	7
Isle of Man	..	..
Israel	6	8
Italy	2	7
Jamaica	9	8
Japan	5	6
Jordan	11	8
Kazakhstan	8	8
Kenya	11	8
Kiribati	4	0
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5	8
Kosovo	11	6
Kuwait	1	8
Kyrgyz Republic	9	8
Lao PDR	6	6
Latvia	9	8
Lebanon	2	6
Lesotho	5	6
Liberia	10	0
Libya	0	0
Liechtenstein	3	0
Lithuania	6	8
Luxembourg	3	0
North Macedonia	9	7
Madagascar	2	6
Malawi	11	7
Malaysia	7	8
Maldives	2	5
Mali	6	0
Malta	2	5
Marshall Islands	10	0
Mauritania	2	6
Mauritius	6	7
Mexico	10	8
Micronesia, Fed. Sts.	10	0
Moldova	8	6
Monaco	..	..
Mongolia	9	7
Montenegro	12	5
Morocco	2	7
Mozambique	1	4
Myanmar	2	0
Namibia	5	7
Nepal	10	5
Netherlands	2	7
New Caledonia	..	..
New Zealand	12	8
Nicaragua	2	8
Niger	6	8
Nigeria	9	8
Northern Mariana Islands	..	..
Norway	5	6
Oman	1	6
Pakistan	2	7
Palau	10	0
Panama	8	8
Papua New Guinea	9	5
Paraguay	1	7
Peru	7	8
Philippines	1	7
Poland	7	8
Portugal	2	7
Puerto Rico	12	7
Qatar	1	8
Romania	9	7
Russian Federation	9	7
Rwanda	11	8
Samoa	9	0
San Marino	1	5
Sao Tome and Principe	0	5
Saudi Arabia	4	8
Senegal	6	7
Serbia	6	7
Seychelles	2	5
Sierra Leone	5	0
Singapore	8	7
Sint Maarten (Dutch part)	..	..
Slovak Republic	7	7
Slovenia	3	6
Solomon Islands	10	0
Somalia	0	0
South Africa	5	7
South Sudan	2	0
Spain	5	7
Sri Lanka	2	6
St. Kitts and Nevis	5	0
St. Lucia	5	0
St. Martin (French part)	..	..
St. Vincent and the Grenadines	5	0
Sudan	3	0
Suriname	2	0
Eswatini	4	7
Sweden	7	5
Switzerland	6	7
Syrian Arab Republic	1	2
Tajikistan	11	7
Tanzania	5	8
Thailand	7	7
Timor-Leste	0	4
Togo	6	8
Tonga	10	4
Trinidad and Tobago	7	6
Tunisia	3	7
Turkey	7	8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	5	7
Ukraine	8	7
United Arab Emirates	6	8
United Kingdom	7	8
United States	11	8
Uruguay	4	8
Uzbekistan	6	7
Vanuatu	11	4
Venezuela, RB	1	7
Vietnam	8	8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	8	8
Yemen, Rep.	0	0
Zambia	11	8
Zimbabwe	6	7
World	6	5
East Asia & Pacific	7	5
Europe & Central Asia	7	6
Latin America & Caribbean	5	5
Middle East & North Africa	3	5
North America	10	8
South Asia	6	5
Sub-Saharan Africa	5	4
Low income	5	2
Lower middle income	6	5
Upper middle income	6	5
High income	6	6
