Country	Survey Year	Finance
Afghanistan	2014	3.9
Albania	2019	30.4
Algeria	2007	28.6
American Samoa	..	..
Andorra	..	..
Angola	2010	13.4
Antigua and Barbuda	2010	46.3
Argentina	2017	29.6
Armenia	2013	43
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	16.9
Bahamas, The	2010	28.5
Bahrain	..	..
Bangladesh	2013	29.9
Barbados	2010	38.7
Belarus	2018	31.1
Belgium	..	..
Belize	2010	57
Benin	2016	26
Bermuda	..	..
Bhutan	2015	42
Bolivia	2017	38
Bosnia and Herzegovina	2019	40.4
Botswana	2010	32.1
Brazil	2009	52.3
Brunei Darussalam	..	..
Bulgaria	2019	43.8
Burkina Faso	2009	33.1
Burundi	2014	57.9
Cambodia	2016	18.2
Cameroon	2016	20.2
Canada	..	..
Cabo Verde	2009	49.8
Cayman Islands	..	..
Central African Republic	2011	25.3
Chad	2018	9.8
Channel Islands	..	..
Chile	2010	55.1
China	2012	22.1
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	52.7
Comoros	..	..
Congo, Dem. Rep.	2013	8.7
Congo, Rep.	2009	9.7
Costa Rica	2010	30.1
Cote d'Ivoire	2016	15.3
Croatia	2019	31.2
Cuba	..	..
Curacao	..	..
Cyprus	2019	42.2
Czech Republic	2019	29.4
Denmark	..	..
Djibouti	2013	25.2
Dominica	2010	37.9
Dominican Republic	2016	45.8
Ecuador	2017	40.2
Egypt, Arab Rep.	2016	2.4
El Salvador	2016	35.2
Equatorial Guinea	..	..
Eritrea	2009	5.7
Estonia	2019	26.2
Ethiopia	2015	16.4
Faroe Islands	..	..
Fiji	2009	50.7
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	8.5
Gambia, The	2018	13.7
Georgia	2019	31.5
Germany	2005	42.2
Ghana	2013	25.3
Greece	2018	16.8
Greenland	..	..
Grenada	2010	50.3
Guam	..	..
Guatemala	2017	30
Guinea	2016	11.4
Guinea-Bissau	2006	1.1
Guyana	2010	59.3
Haiti	..	..
Honduras	2016	38.1
Hungary	2019	31.5
Iceland	..	..
India	2014	36.4
Indonesia	2015	32
Iran, Islamic Rep.	..	..
Iraq	2011	4.6
Ireland	2005	46.1
Isle of Man	..	..
Israel	2013	34.3
Italy	2019	27.8
Jamaica	2010	53.1
Japan	..	..
Jordan	2019	20
Kazakhstan	2019	13.2
Kenya	2018	36.2
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	41.2
Kosovo	2019	53.1
Kuwait	..	..
Kyrgyz Republic	2019	18.8
Lao PDR	2018	23.1
Latvia	2019	26.5
Lebanon	2019	44.5
Lesotho	2016	34.9
Liberia	2017	20.1
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	20.9
Luxembourg	..	..
North Macedonia	2019	38.6
Madagascar	2013	19.1
Malawi	2014	29.2
Malaysia	2015	42.6
Maldives	..	..
Mali	2016	51.7
Malta	2019	61.8
Marshall Islands	..	..
Mauritania	2014	29.4
Mauritius	2009	39.5
Mexico	2010	26.9
Micronesia, Fed. Sts.	2009	19.4
Moldova	2019	23.4
Monaco	..	..
Mongolia	2019	37.5
Montenegro	2019	26
Morocco	2019	45
Mozambique	2018	9
Myanmar	2016	11.2
Namibia	2014	11.8
Nepal	2013	13.7
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	30.4
Niger	2017	28.9
Nigeria	2014	16.9
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	8.6
Palau	..	..
Panama	2010	9
Papua New Guinea	2015	22.9
Paraguay	2017	41.9
Peru	2017	66.5
Philippines	2015	12.4
Poland	2019	43.9
Portugal	2019	27.2
Puerto Rico	..	..
Qatar	..	..
Romania	2013	41.3
Russian Federation	2019	33.4
Rwanda	2019	42.6
Samoa	2009	68.7
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	19.6
Serbia	2019	51
Seychelles	..	..
Sierra Leone	2017	8.6
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	24.2
Slovenia	2019	41.6
Solomon Islands	2015	35.5
Somalia	..	..
South Africa	2007	21.1
South Sudan	2014	6
Spain	2005	35.8
Sri Lanka	2011	40.6
St. Kitts and Nevis	2010	52
St. Lucia	2010	49.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	52.7
Sudan	2014	2.6
Suriname	2018	44.5
Eswatini	2016	32
Sweden	2014	26.6
Switzerland	..	..
Syrian Arab Republic	2009	16
Tajikistan	2019	12.8
Tanzania	2013	14.7
Thailand	2016	28.9
Timor-Leste	2015	19.1
Togo	2016	40.3
Tonga	2009	3
Trinidad and Tobago	2010	63.8
Tunisia	2013	44.7
Turkey	2019	34
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	21.4
Ukraine	2019	21.5
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	39.8
Uzbekistan	2019	23.7
Vanuatu	2009	33.2
Venezuela, RB	2010	27.1
Vietnam	2015	32.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	12.7
Yemen, Rep.	2013	4.6
Zambia	2019	13.1
Zimbabwe	2016	12
