Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	9	0.3
Albania	4.9	3
Algeria	2.2	5.5
American Samoa	..	..
Andorra	..	..
Angola	13.1	10.6
Antigua and Barbuda	0.1	0.6
Argentina	..	..
Armenia	26.4	22.2
Aruba	..	..
Australia	7.4	6.3
Austria	..	..
Azerbaijan	12.9	6.8
Bahamas, The	-5.3	-1
Bahrain	..	..
Bangladesh	19.7	9.8
Barbados	2.1	-1.2
Belarus	79.2	11.3
Belgium	..	..
Belize	-2.2	4.6
Benin	4.6	9.9
Bermuda	..	..
Bhutan	24	14
Bolivia	9.1	5.8
Bosnia and Herzegovina	3.4	5.1
Botswana	6.3	6.1
Brazil	21.1	6.6
Brunei Darussalam	-0.3	-0.9
Bulgaria	1.5	6.2
Burkina Faso	12.1	6.8
Burundi	24.7	9.8
Cabo Verde	7.3	2.4
Cambodia	14.8	28.1
Cameroon	12.5	9.8
Canada	23.1	..
Cayman Islands	..	..
Central African Republic	13.3	5.6
Chad	9.3	-2.6
Channel Islands	..	..
Chile	8.5	11.7
China	..	..
Hong Kong SAR, China	..	10
Macao SAR, China	13.9	4
Colombia	16.2	9.7
Comoros	14	1.4
Congo, Dem. Rep.	-1.9	8.8
Congo, Rep.	17.1	-5.2
Costa Rica	4.4	1.6
Cote d'Ivoire	8.6	4.4
Croatia	10.7	2.4
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	1.5	3.7
Denmark	13.2	42
Djibouti	7	3.7
Dominica	5.7	-2.6
Dominican Republic	13	8.3
Ecuador	16.4	9.9
Egypt, Arab Rep.	3.9	1.9
El Salvador	-0.4	5.5
Equatorial Guinea	19.1	1.1
Eritrea	1.6	..
Estonia	..	..
Eswatini	5	-0.3
Ethiopia	..	..
Faroe Islands	..	..
Fiji	2	4.1
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	1.9	23.5
Gambia, The	6.9	3.2
Georgia	22.2	25.7
Germany	..	..
Ghana	13	10.1
Greece	..	..
Greenland	..	..
Grenada	4.6	0.3
Guam	..	..
Guatemala	2.6	3.4
Guinea	..	..
Guinea-Bissau	7.8	4.6
Guyana	7.2	4.3
Haiti	-0.3	7.5
Honduras	4.3	9.8
Hungary	4	9.4
Iceland	-29.2	5.4
India	..	..
Indonesia	17.1	5.5
Iran, Islamic Rep.	..	..
Iraq	8.1	-2.8
Ireland	..	..
Isle of Man	..	..
Israel	9	5.3
Italy	..	..
Jamaica	-0.8	13.7
Japan	-1.3	3.3
Jordan	..	4.3
Kazakhstan	7.1	9.9
Kenya	14.3	5.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.9	10.4
Kosovo	10.9	9.1
Kuwait	2	4.2
Kyrgyz Republic	5.4	9.9
Lao PDR	..	..
Latvia	..	..
Lebanon	..	..
Lesotho	6.4	4.3
Liberia	14.6	1.9
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	8.9	11.1
Malawi	..	..
Malaysia	8.1	5.1
Maldives	-2.3	3.2
Mali	13.9	3.9
Malta	..	..
Marshall Islands	..	..
Mauritania	10.4	10.2
Mauritius	9.9	6.4
Mexico	8.7	7.6
Micronesia, Fed. Sts.	..	..
Moldova	9.7	5.5
Monaco	..	..
Mongolia	23.8	1.1
Montenegro	..	..
Morocco	8.3	4.3
Mozambique	19.5	2.7
Myanmar	10.9	6.7
Namibia	11.2	6.4
Nepal	8.9	13.2
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	8.1
Nicaragua	4.8	-20.6
Niger	10.6	9.8
Nigeria	-12.7	9.6
North Macedonia	6.4	5.6
Northern Mariana Islands	..	..
Norway	14.1	11.2
Oman	16.1	9.4
Pakistan	1.8	2.8
Palau	..	..
Panama	2.5	..
Papua New Guinea	9.3	3.6
Paraguay	27.2	9
Peru	12.3	8.8
Philippines	7.5	10.3
Poland	8.3	4.4
Portugal	..	..
Puerto Rico	..	..
Qatar	21.6	22.1
Romania	5.8	4.6
Russian Federation	12.4	8.8
Rwanda	9.8	15.5
Samoa	4.2	4.7
San Marino	..	..
Sao Tome and Principe	33.1	2.2
Saudi Arabia	..	..
Senegal	14.5	6.1
Serbia	29.1	7.9
Seychelles	8.1	9.9
Sierra Leone	8.2	3.4
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	-3.2	2.4
Somalia	..	..
South Africa	6.8	6.4
South Sudan	3.5	7.3
Spain	..	..
Sri Lanka	21.7	13.8
St. Kitts and Nevis	4.5	2
St. Lucia	3.2	-1.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-2.3	-0.2
Sudan	10.8	12.8
Suriname	7	-0.4
Sweden	13.5	14
Switzerland	..	..
Syrian Arab Republic	10.3	..
Tajikistan	-15	5.7
Tanzania	11.4	1.3
Thailand	10.7	2.5
Timor-Leste	2.3	1.6
Togo	5.9	4.4
Tonga	-6.5	2.9
Trinidad and Tobago	-0.8	4.2
Tunisia	18.7	4.1
Turkey	27.6	16.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	20.8	8.4
Ukraine	2.1	-8
United Arab Emirates	2.1	1.2
United Kingdom	..	..
United States	-2.6	4.4
Uruguay	11.3	6.1
Uzbekistan	..	50
Vanuatu	4.8	0.3
Venezuela, RB	19	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9	5.7
Yemen, Rep.	..	..
Zambia	8.2	8.7
Zimbabwe	70.8	97.2
