Country	Total (1990)	Total (2014)	Per Capita (1990)	Per Capita (2014)	Fossil fuel (1990)	Fossil fuel (2014)	Combustible renewable and waste (1990)	Combustible renewable and waste (2014)	Alternative and nuclear energy (1990)	Alternative and nuclear energy (2014)
Afghanistan	..	..	..	..	..	..	..	..	..	..
Albania	2.7	2.3	813	808	76.6	61.4	13.6	9.4	4.7	24.5
Algeria	22.2	51.7	861	1328	99.9	100	0	0	0	0
American Samoa	..	..	..	..	..	..	..	..	..	..
Andorra	..	..	..	..	..	..	..	..	..	..
Angola	5.9	14.7	497	545	25.5	48.3	54.2	36.4	0.7	2.5
Antigua and Barbuda	0.1	..	1581	..	0	..	..	..	..	..
Argentina	46.1	86.6	1412	2030	88.7	87.7	2.8	3.2	6.8	5.5
Armenia	7.7	3	2179	1016	97	74.6	0.2	1.1	1.5	25.7
Aruba	..	..	..	..	..	..	..	..	..	..
Australia	86.4	125.2	5062	5335	93.9	93.4	3.6	3.3	1.3	2.4
Austria	24.9	32.2	3240	3763	79.1	64.8	8.8	13.8	9.6	13.2
Azerbaijan	22.7	14.3	3165	1502	99.9	98.4	0.1	0.6	0.4	0.6
Bahamas, The	0.6	..	2519	..	0	..	..	..	..	..
Bahrain	5.2	14.2	10555	10597	99.8	99.4	0	0	0	0
Bangladesh	12.7	35.4	123	229	45.5	73.8	53.1	25.6	0.4	0.2
Barbados	0.3	..	1234	..	0	..	..	..	..	..
Belarus	45.5	27.7	4465	2929	95.6	92.4	0.4	4	0	0.1
Belgium	47.9	52.8	4810	4708	75.8	72.7	0.7	3.5	23.3	18.6
Belize	0.1	..	566	..	0	..	..	..	..	..
Benin	1.7	4.3	334	417	4.8	36.7	81	41.3	0	0
Bermuda	..	..	..	..	..	..	..	..	..	..
Bhutan	0.1	..	105	..	0	..	..	..	..	..
Bolivia	2.6	8.3	380	778	67.2	84.2	27.7	11.1	3	2
Bosnia and Herzegovina	7	7.8	1572	2247	93.9	77.5	2.3	17.8	2.6	4.3
Botswana	1.2	2.7	947	1301	64.8	74.7	34.5	20	0	0
Brazil	140.2	303.2	941	1496	51.2	59.1	24.2	20.4	12.4	10.8
Brunei Darussalam	1.7	3.6	6675	8673	99.9	100	0.1	0	0	0
Bulgaria	28.2	17.9	3237	2478	84.1	71	0.6	6	14	25.8
Burkina Faso	..	..	..	..	..	..	..	..	..	..
Burundi	..	..	..	..	..	..	..	..	..	..
Cabo Verde	0	..	86	..	0	..	..	..	..	..
Cambodia	..	6.4	..	417	..	30.6	..	55.2	..	3.3
Cameroon	5	7.6	423	335	18.7	38.3	73.2	61.9	4	4.6
Canada	211.3	279.9	7630	7898	73.6	73.2	4.8	4.1	19.7	19.7
Cayman Islands	..	..	..	..	..	..	..	..	..	..
Central African Republic	..	..	..	..	..	..	..	..	..	..
Chad	..	..	..	..	..	..	..	..	..	..
Channel Islands	..	..	..	..	..	..	..	..	..	..
Chile	14	36.1	1055	2033	72.2	73.3	20.1	12.3	4.6	5.6
China	870.7	3051.5	767	2237	75.7	87.7	23	2020.9	0.9	2020.1
Hong Kong SAR, China	8.6	14.2	1511	1970	..	93.2	0.6	0.5	0	0.1
Macao SAR, China	..	..	..	..	..	..	..	..	..	..
Colombia	24.2	34	732	724	67.4	76.7	22.2	8.9	7.2	9.2
Comoros	0	..	43	..	0	..	..	..	..	..
Congo, Dem. Rep.	11.8	28.7	341	389	11.2	5.4	80.9	67.2	1.5	2.4
Congo, Rep.	0.8	2.6	334	555	34.3	40.5	46.4	45.7	3.8	1.4
Costa Rica	1.7	4.9	538	1023	58.5	49.9	23	12.8	16.5	14.2
Cote d'Ivoire	4.3	13.9	364	613	23.7	26.5	45.8	38.5	2.4	0.8
Croatia	9.5	8	1981	1898	81.1	70.7	9.1	13.6	5.5	11.9
Cuba	17.4	11.7	1643	1035	61.7	85.6	33.4	11.4	0	0.1
Curacao	1.5	2	10030	12651	..	..	0	..	0	..
Cyprus	1.4	2	1781	1712	99.6	92.9	0.3	1.3	0	5.2
Czech Republic	49.6	41.2	4797	3915	91.6	75.3	2.1	6.6	6.8	20.8
Denmark	17.4	16.2	3377	2873	89.6	67.7	4	13.7	1.3	9.9
Djibouti	0.1	..	220	..	0	..	..	..	..	..
Dominica	0	..	301	..	0	..	..	..	..	..
Dominican Republic	4	7.6	563	752	76.5	86.6	15.1	10	0.6	2.3
Ecuador	6.3	14.2	619	889	78.2	86.9	15	4.1	5.1	6.2
Egypt, Arab Rep.	32.3	74.8	575	827	94.1	97.9	3.3	2.3	2.3	1.5
El Salvador	2.5	4.1	468	646	31.4	48.4	47.9	9.5	5.9	6.3
Equatorial Guinea	..	..	..	..	..	..	..	..	..	..
Eritrea	0.9	0.8	389	..	19.4	23.1	63	53.2	0	0
Estonia	9.8	6	6233	4593	43.7	14.5	1.9	11	0	0.6
