Country	Total
Afghanistan	0.07
Albania	0.06
Algeria	0.08
American Samoa	..
Andorra	..
Angola	1.49
Antigua and Barbuda	..
Argentina	0.24
Armenia	0.1
Aruba	..
Australia	0.07
Austria	..
Azerbaijan	0.1
Bahamas, The	..
Bahrain	..
Bangladesh	..
Barbados	0.35
Belarus	0.4
Belgium	..
Belize	..
Benin	0.55
Bermuda	..
Bhutan	..
Bolivia	0.15
Bosnia and Herzegovina	..
Botswana	8.76
Brazil	..
Brunei Darussalam	..
Bulgaria	0.08
Burkina Faso	0.21
Burundi	0.24
Cabo Verde	0.3
Cambodia	0.08
Cameroon	1.22
Canada	..
Cayman Islands	..
Central African Republic	2.14
Chad	0.55
Channel Islands	..
Chile	0.47
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0.39
Comoros	0.01
Congo, Dem. Rep.	0.35
Congo, Rep.	2.48
Costa Rica	0.32
Cote d'Ivoire	0.92
Croatia	0.04
Cuba	0.28
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	0.18
Dominica	..
Dominican Republic	0.46
Ecuador	0.26
Egypt, Arab Rep.	0.08
El Salvador	0.25
Equatorial Guinea	6.41
Eritrea	0.16
Estonia	..
Eswatini	11.56
Ethiopia	0.25
Faroe Islands	..
Fiji	0.24
Finland	..
France	0.19
French Polynesia	..
Gabon	1.14
Gambia, The	1.79
Georgia	..
Germany	..
Ghana	1.13
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	0.13
Guinea	0.74
Guinea-Bissau	02.02
Guyana	0.74
Haiti	0.81
Honduras	0.2
Hungary	..
Iceland	..
India	..
Indonesia	..
Iran, Islamic Rep.	0.08
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	0.09
Jamaica	0.93
Japan	..
Jordan	..
Kazakhstan	0.35
Kenya	1.52
Kiribati	..
Korea, Dem. People’s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	0.26
Lao PDR	0.2
Latvia	0.38
Lebanon	0.05
Lesotho	11.83
Liberia	0.81
Libya	0.11
Liechtenstein	..
Lithuania	0.19
Luxembourg	..
Madagascar	0.39
Malawi	4.1
Malaysia	0.31
Maldives	..
Mali	..
Malta	..
Marshall Islands	..
Mauritania	..
Mauritius	0.94
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	0.46
Monaco	..
Mongolia	0.02
Montenegro	0.1
Morocco	0.04
Mozambique	9.44
Myanmar	0.34
Namibia	5.72
Nepal	0.05
Netherlands	0.04
New Caledonia	..
New Zealand	0.06
Nicaragua	0.11
Niger	0.09
Nigeria	0.8
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	0.07
Pakistan	0.19
Palau	..
Panama	..
Papua New Guinea	0.63
Paraguay	0.28
Peru	0.19
Philippines	0.25
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	0.08
Russian Federation	..
Rwanda	0.81
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	0.15
Serbia	0.05
Seychelles	..
Sierra Leone	0.98
Singapore	0.04
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	..
Somalia	0.04
South Africa	7.6
South Sudan	2.51
Spain	0.13
Sri Lanka	0.01
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	0.14
Suriname	0.79
Sweden	..
Switzerland	0.07
Syrian Arab Republic	0.01
Tajikistan	0.25
Tanzania	2.83
Thailand	0.18
Timor-Leste	0.25
Togo	0.97
Tonga	..
Trinidad and Tobago	0.13
Tunisia	0.09
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	2.83
Ukraine	0.56
United Arab Emirates	..
United Kingdom	..
United States	0.22
Uruguay	..
Uzbekistan	0.19
Vanuatu	..
Venezuela, RB	0.32
Vietnam	0.1
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0.07
Zambia	6.71
Zimbabwe	4.94
World	0.38
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	0.07
North America	0.22
South Asia	..
Sub-Saharan Africa	1.74
Low income	01.02
Lower middle income	..
Upper middle income	..
High income	..
